------Generation 0------
Rule  1: 11312c73c9122, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 111151112111c, Class:  1, CF:0.976359, Len: 13, Fitness_tra: 0
Rule  3: 111121b321228, Class:  1, CF:0.235312, Len: 13, Fitness_tra: 0
Rule  4: 1151811111553, Class:  0, CF:0.973518, Len: 13, Fitness_tra: 0
Rule  5: e2911318111d3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 111855d851115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 1115811151151, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule  8: e451191215511, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule  9: 825d2112545e2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 1cd511c181552, Class:  1, CF:0.986336, Len: 13, Fitness_tra: 0
Rule 11: 11d5112511211, Class:  1, CF:0.92224, Len: 13, Fitness_tra: 0
Rule 12: 313815d888535, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 1211191551113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 9218815211515, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 15: 0000000000500, Class:  1, CF:0.511853, Len:  1, Fitness_tra: 13
Rule 16: 92118d5111511, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 17: 2700000000020, Class:  0, CF:0.385582, Len:  3, Fitness_tra: -1
Rule 18: 11511141c5228, Class:  0, CF:0.99482, Len: 13, Fitness_tra: 0
Rule 19: 125521c512112, Class:  1, CF:0.0323976, Len: 13, Fitness_tra: 0
Rule 20: 3c51111812515, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 0000705050000, Class:  0, CF:0.827547, Len:  3, Fitness_tra: 0
Rule 22: 2451118111312, Class:  0, CF:0.978744, Len: 13, Fitness_tra: 0
Rule 23: 3115519111111, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 24: 0000090007004, Class:  0, CF:0.361767, Len:  3, Fitness_tra: -1
Rule 25: 2251c15111112, Class:  0, CF:0.996177, Len: 13, Fitness_tra: 0
Rule 26: 0000804940000, Class:  0, CF:0.450276, Len:  4, Fitness_tra: 0
Rule 27: 15158c1511211, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 28: 0700400000d50, Class:  0, CF:0.0159857, Len:  4, Fitness_tra: 0
Rule 29: 0700000000050, Class:  0, CF:0.286825, Len:  2, Fitness_tra: -2
Rule 30: 000000b00000c, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 311111411341c, Class:  1, CF:0.95591, Len: 13, Fitness_tra: 0
Rule 32: 00008040c0000, Class:  0, CF:0.701819, Len:  3, Fitness_tra: 4
Rule 33: 000000c000000, Class:  0, CF:0.196693, Len:  1, Fitness_tra: -2
Rule 34: 1458131251215, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 11d111b925112, Class:  2, CF:  1, Len: 13, Fitness_tra: 0
Rule 36: 5115811121428, Class:  1, CF:0.348719, Len: 13, Fitness_tra: 0
Rule 37: 1c588132d5831, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 21d31c1311552, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 39: 5111c12111152, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 40: 1551814112c18, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 41: c200c08004000, Class:  0, CF:0.924481, Len:  5, Fitness_tra: 0
Rule 42: 115111112121c, Class:  0, CF:0.719261, Len: 13, Fitness_tra: 0
Rule 43: 000000c0b0500, Class:  1, CF:0.16682, Len:  3, Fitness_tra: 0
Rule 44: 1251115115513, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: e211191251511, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 46: 1111119cd1535, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: d03000004840c, Class:  0, CF:0.997823, Len:  6, Fitness_tra: 0
Rule 48: 00008070c0000, Class:  0, CF:0.431178, Len:  3, Fitness_tra: 0
Rule 49: 2115211311111, Class:  2, CF:0.696575, Len: 13, Fitness_tra: 0
Rule 50: 8411188182111, Class:  0, CF:0.811408, Len: 13, Fitness_tra: 0
Rule 51: 1412533111531, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 900000d008005, Class:  0, CF:  1, Len:  4, Fitness_tra: 0
Rule 53: 0000060000000, Class:  2, CF:0.423606, Len:  1, Fitness_tra: 22
Rule 54: 1cd1111111193, Class:  0, CF:0.0215204, Len: 13, Fitness_tra: 0
Rule 55: 81111151821e1, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 56: 211111c552112, Class:  0, CF:0.9332, Len: 13, Fitness_tra: 0
Rule 57: 1199112111112, Class:  1, CF:0.170561, Len: 13, Fitness_tra: 0
Rule 58: 1238811121115, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 59: 15118121c3118, Class:  0, CF:0.572081, Len: 13, Fitness_tra: 0
Rule 60: 1c35511115531, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: e21c113211111, Class:  2, CF:0.997496, Len: 13, Fitness_tra: 0
Rule 62: 9115118121111, Class:  1, CF:0.723912, Len: 13, Fitness_tra: 0
Rule 63: 3111515511531, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 000000b0c0400, Class:  1, CF:0.679613, Len:  3, Fitness_tra: 17
Rule 65: 1211117321211, Class:  1, CF:0.635041, Len: 13, Fitness_tra: 0
Rule 66: 8185152121112, Class:  0, CF:0.308701, Len: 13, Fitness_tra: 0
Rule 67: 000000c0b0000, Class:  0, CF:0.217009, Len:  2, Fitness_tra: 0
Rule 68: 511112c821422, Class:  0, CF:0.998739, Len: 13, Fitness_tra: 0
Rule 69: 1211551118533, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 311211128c115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 1c51851818533, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 121d115151831, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 2000000007004, Class:  0, CF:0.378228, Len:  3, Fitness_tra: 3
Rule 74: 1155814111118, Class:  0, CF:0.0346828, Len: 13, Fitness_tra: 0
Rule 75: 0c0300c004550, Class:  1, CF:0.479697, Len:  6, Fitness_tra: 0
Rule 76: 111111151c131, Class:  2, CF:0.753299, Len: 13, Fitness_tra: 0
Rule 77: 1121112222511, Class:  1, CF:0.782033, Len: 13, Fitness_tra: 0
Rule 78: 00d000b00040c, Class:  0, CF:0.371645, Len:  4, Fitness_tra: 0
Rule 79: 5221215512512, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 80: 1481412211132, Class:  2, CF:0.564058, Len: 13, Fitness_tra: 0
Rule 81: 11315111c1441, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 82: 2211c11321152, Class:  0, CF:0.96722, Len: 13, Fitness_tra: 0
Rule 83: 11111114d8235, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: cc00000057500, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 85: 1211111211111, Class:  2, CF:0.500458, Len: 13, Fitness_tra: 0
Rule 86: 11118dd851d11, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 87: 11d512c181851, Class:  1, CF:0.974068, Len: 13, Fitness_tra: 0
Rule 88: 0000000000004, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
