------Generation 0------
Rule  1: 50e00000002008000d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 000000005000000000, Class:  0, CF:0.409091, Len:  1, Fitness_tra: 0
Rule  3: 000000000000000002, Class:  0, CF:0.404377, Len:  1, Fitness_tra: 0
Rule  4: 000000000000085000, Class:  1, CF:0.2, Len:  2, Fitness_tra: 0
Rule  5: 080000004000000000, Class:  0, CF:0.237454, Len:  2, Fitness_tra: 0
Rule  6: 00000c004040009c00, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 591182c54311dc22c5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 288417194241822117, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule  9: 00000000000000000a, Class:  0, CF:0.747467, Len:  1, Fitness_tra: 2
Rule 10: 008080004000000000, Class:  0, CF:  1, Len:  3, Fitness_tra: 0
Rule 11: 000000000000000000, Class:  0, CF:0.485564, Len:  0, Fitness_tra: 90
Rule 12: 000000000000000000, Class:  0, CF:0.485564, Len:  0, Fitness_tra: 0
Rule 13: 00d000000000000000, Class:  0, CF:0.330949, Len:  1, Fitness_tra: 0
Rule 14: d00070000000000000, Class:  0, CF:0.0723276, Len:  2, Fitness_tra: 0
Rule 15: 2d5131814154511211, Class:  0, CF:0.81963, Len: 18, Fitness_tra: 0
Rule 16: 112c4711b822872255, Class:  0, CF:0.663028, Len: 18, Fitness_tra: 0
Rule 17: 0000000000000000d0, Class:  0, CF:0.546185, Len:  1, Fitness_tra: 8
Rule 18: c152772321115c1524, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 19: 000000000d000c0030, Class:  0, CF:  1, Len:  3, Fitness_tra: 0
Rule 20: 000000000000050800, Class:  0, CF:  1, Len:  2, Fitness_tra: 0
Rule 21: 000000000600000002, Class:  0, CF:0.383954, Len:  2, Fitness_tra: 0
Rule 22: 000000000000000000, Class:  0, CF:0.485564, Len:  0, Fitness_tra: 0
Rule 23: 8112b2c148c2557174, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 91324211115d5151d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 00000c0000400800c0, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 2d14b221c1121c2182, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
