------Generation 0------
Rule  1: 3127151151de8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 41313d4115821, Class:  1, CF:  1, Len: 13, Fitness_tra: 1
Rule  3: 391111d919185, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 3a311d1988811, Class:  0, CF:0.979643, Len: 13, Fitness_tra: 1
Rule  5: b8f151d51d811, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 2475231211135, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: b5a19ede55382, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 1165113118551, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule  9: 63681311815c8, Class:  0, CF:0.980201, Len: 13, Fitness_tra: 0
Rule 10: f1b1813585c13, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 11: f368113118826, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 12: 451855255131d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: aa15dd9121851, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 14: 3515d81159118, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 7daca173d5111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 2728913215119, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 18711e1512951, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 000800000e00d, Class:  0, CF:  1, Len:  3, Fitness_tra: 4
Rule 19: a3135125822d1, Class:  1, CF:  1, Len: 13, Fitness_tra: 7
Rule 20: 1a3295115e118, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: fe79928221921, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 5122153891131, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 23: 124323d15d591, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 3facd93128129, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 25: 0005608400000, Class:  0, CF:  1, Len:  4, Fitness_tra: 12
Rule 26: a9b1513518552, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 75a4ad1115515, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: b149de1211331, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 14b25c353d312, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 30: 2ca1511191352, Class:  1, CF:0.974546, Len: 13, Fitness_tra: 4
Rule 31: b145533112339, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
