------Generation 0------
Rule  1: a6a1ac1551181, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule  2: 1772813295d52, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 41611e232d911, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 72f5151119182, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: a1111d1155d81, Class:  1, CF:0.504594, Len: 13, Fitness_tra: 10
Rule  6: f1a1c1318c111, Class:  0, CF:0.567072, Len: 13, Fitness_tra: -3
Rule  7: 000c000c80000, Class:  0, CF:0.434913, Len:  3, Fitness_tra: 0
Rule  8: b83d85151d151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 12bcc35199112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 2cad231321c19, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: b241218111ddd, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 6941812d55195, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 1422d39511831, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 6d7b11add8256, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 31b25d9553111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 25f2352521151, Class:  0, CF:0.563818, Len: 13, Fitness_tra: 0
Rule 17: 72b4593123111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 4da5121511121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 632cd511e5551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: f6ad12d38d223, Class:  0, CF:  1, Len: 13, Fitness_tra: 2
Rule 21: aebc1d6518125, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: b563518511115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 11f41359113c4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: a1713118c1138, Class:  1, CF:  1, Len: 13, Fitness_tra: 2
Rule 25: 11415e911d851, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 711115152d121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 7771819255111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 722e82119d3d3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 0e0000f000000, Class:  0, CF:  1, Len:  2, Fitness_tra: 0
Rule 30: 72121311511cc, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
