------Generation 0------
Rule  1: 227811158e21e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 69b75a3852881, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 11119ed111112, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule  4: 1265811111171, Class:  0, CF:  1, Len: 13, Fitness_tra: 52
Rule  5: f9b9341231111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 1311589251c59, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule  7: 41291521d1131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 21f1551213116, Class:  1, CF:  1, Len: 13, Fitness_tra: 1
Rule  9: 6e63911d15825, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 0007000d00000, Class:  1, CF:0.29484, Len:  2, Fitness_tra: 178
Rule 11: a113211115818, Class:  0, CF:0.407578, Len: 13, Fitness_tra: -65
Rule 12: 442151e915111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 6171535895515, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 3118191981511, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 15: 4117318311145, Class:  1, CF:  1, Len: 13, Fitness_tra: 2
Rule 16: 28712312125a3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: b2611d1583511, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 18: a335411e924d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 6638e22191111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 71f191c15e112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 45311e15511c1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 1115331351111, Class:  0, CF:  1, Len: 13, Fitness_tra: 23
Rule 23: a3411151d1893, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 14415194511ed, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 44711321c3319, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 72415c5c58552, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 31425e65dc516, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 72f5312155115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: fe25d51511881, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: f91c5111ddd52, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 3921518211138, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 32: 781153d11d118, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 1f3d512d31519, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 1a6b1165cc211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 1114115315111, Class:  0, CF:0.617498, Len: 13, Fitness_tra: -21
Rule 36: 7211229235921, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 11111311815c1, Class:  0, CF:0.216585, Len: 13, Fitness_tra: 31
Rule 38: 4141512511592, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 39: 153ce51113111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 7111331511521, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 19211118598e5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 21312e9538c59, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: a652155128515, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 44: b1f1d58151819, Class:  1, CF:  1, Len: 13, Fitness_tra: 1
Rule 45: 79623221d3521, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 411d9d5155111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 3ff118c551c53, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 48: 6114131515311, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 49: b141d8651815c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 183d151618181, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 1665de1982213, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 42423d91312e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 126813515d115, Class:  0, CF:0.998406, Len: 13, Fitness_tra: 0
Rule 54: 11411819e2931, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 221238d1ce812, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 56: 651411955153d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 617321d119951, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 481985e512219, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 3332391d85384, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
