------Generation 0------
Rule  1: b8fb91c5251b8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 45a455592385b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: a63158851d183, Class:  1, CF:  1, Len: 13, Fitness_tra: 2
Rule  4: bdf1f81521183, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: b5a1518851dd5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 7173141515119, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: a3411111d315c, Class:  1, CF:  1, Len: 13, Fitness_tra: 3
Rule  8: 4518d81181153, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 1312153121515, Class:  0, CF:0.662254, Len: 13, Fitness_tra: 1
Rule 10: b1ac155112851, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 11: 7c525155dd511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 1812111325111, Class:  1, CF:  1, Len: 13, Fitness_tra: 4
Rule 13: a94e115185555, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 1338551181521, Class:  0, CF:0.95719, Len: 13, Fitness_tra: 2
Rule 15: f1f11111511c9, Class:  1, CF:0.874094, Len: 13, Fitness_tra: 21
Rule 16: 7532911129d1d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 11ad388111211, Class:  0, CF:  1, Len: 13, Fitness_tra: 35
Rule 18: 24189531551e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 79a161c12111e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 0700000260e00, Class:  0, CF:  1, Len:  4, Fitness_tra: 11
Rule 21: 72118151d5359, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 3e213d125d138, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 194156181253a, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: a131511355111, Class:  1, CF:0.654489, Len: 13, Fitness_tra: 26
Rule 25: 3e21583115528, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: b4115139e53d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 39b92111911d8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 772528e538521, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 1a3191119e1cd, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 3613d12552511, Class:  1, CF:  1, Len: 13, Fitness_tra: 5
Rule 31: 0005000000e0d, Class:  0, CF:  1, Len:  3, Fitness_tra: 21
Rule 32: 0d08e000de005, Class:  0, CF:  1, Len:  6, Fitness_tra: 2
