------Generation 0------
Rule  1: 3af2d9ee18821, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 75f43151c91d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 2114338e85e12, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 63a1318151115, Class:  1, CF:0.637473, Len: 13, Fitness_tra: 42
Rule  5: 36a8d31522c15, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule  6: 1321511512281, Class:  1, CF:0.990473, Len: 13, Fitness_tra: 83
Rule  7: 1f183d368c819, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 78b1855515339, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: b5f4e551235d4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 22455118153d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 4429911881e53, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 1541d19535516, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: a118e11113551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 12185512e5599, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 1da151214e945, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: bcf2e5d389121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 74b159e1e1112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 1112216525813, Class:  0, CF:  1, Len: 13, Fitness_tra: 1
Rule 19: 21be415de9155, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 6971d55218512, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 3a18ee8d51351, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 714c5111e5d32, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 69b2111831315, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 22f13589115d2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: a121289991111, Class:  0, CF:  1, Len: 13, Fitness_tra: 8
Rule 26: f9b3914131538, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: b86213ded5941, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 3d49551111d11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: bc39115385525, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: b1295c2155858, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 123c119311856, Class:  0, CF:0.913577, Len: 13, Fitness_tra: 1
Rule 32: b5f1912111512, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 11b25591151dd, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: a33295a111885, Class:  0, CF:  1, Len: 13, Fitness_tra: 1
Rule 35: a1ac111e81c41, Class:  0, CF:  1, Len: 13, Fitness_tra: 1
Rule 36: 18f4161911988, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: f312d19121c11, Class:  1, CF:0.540315, Len: 13, Fitness_tra: 29
Rule 38: 7c64e81e11511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 00050000d000e, Class:  0, CF:  1, Len:  3, Fitness_tra: 4
Rule 40: bd11533171153, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 33fd13e122881, Class:  0, CF:  1, Len: 13, Fitness_tra: 2
Rule 42: adb119518153d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 6a12191e8881d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: a947111151816, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 47b5191818139, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 4471d511e5551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 65b5151518511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: b214515119111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 1111133d15123, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 50: 6fa81913242c8, Class:  0, CF:  1, Len: 13, Fitness_tra: 1
Rule 51: 27b31c151d155, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: f917119119511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 2218819d129d5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 48a5118515118, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 2441811395d38, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 14121c11ed915, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: b5abd15381328, Class:  1, CF:  1, Len: 13, Fitness_tra: 3
Rule 58: 6e1b5d5513165, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 71f59d2116111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 1c29dd6c8c39e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 311799953c535, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: f1b11115d18e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 6941951519311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: a112391152118, Class:  0, CF:0.813192, Len: 13, Fitness_tra: 8
Rule 65: 72b1d91599d31, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 1c6459291d9c1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 7861213311251, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 447c19d535359, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 0b00e00000d00, Class:  0, CF:0.637163, Len:  3, Fitness_tra: 11
Rule 70: a111d315181d5, Class:  1, CF:  1, Len: 13, Fitness_tra: 4
Rule 71: a341e2155991d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 716812d113581, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 7b1cd51968312, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: a11211d1e2998, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 1314131211113, Class:  0, CF:0.161675, Len: 13, Fitness_tra: 29
Rule 76: b1f389238e525, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 3a61e32252e8c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 020ce000d00b0, Class:  0, CF:  1, Len:  5, Fitness_tra: 16
Rule 79: 744759529551e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 15211d1111398, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 654995c2d3191, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 21a8198125111, Class:  0, CF:  1, Len: 13, Fitness_tra: 2
Rule 83: f917e11131191, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: f3a2319181218, Class:  0, CF:0.695172, Len: 13, Fitness_tra: 9
Rule 85: 33b1185219515, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 117c1d51e51ee, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 44b1111131818, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 2d37538921111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 5121531811111, Class:  0, CF:0.998847, Len: 13, Fitness_tra: 25
Rule 90: f372928513955, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 24115d3235111, Class:  0, CF:0.995675, Len: 13, Fitness_tra: 1
Rule 92: 72615351d551c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: f1f1199e12812, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 632921c125595, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 753753852591d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 772459d513d11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 7835d52181552, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 21f1582111d12, Class:  0, CF:0.571029, Len: 13, Fitness_tra: -14
Rule 99: 21a53d5111518, Class:  0, CF:  1, Len: 13, Fitness_tra: 1
Rule100: 191133119515c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:76.358
