------Generation 0------
Rule  1: 4b715ab7b7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 2174232722, Class:  4, CF:0.796095, Len: 10, Fitness_tra: 0
Rule  3: 2722112177, Class:  4, CF:0.394773, Len: 10, Fitness_tra: 0
Rule  4: 7521252711, Class:  1, CF:0.906642, Len: 10, Fitness_tra: 0
Rule  5: 7522152214, Class:  0, CF:0.266726, Len: 10, Fitness_tra: 0
Rule  6: 47b7517147, Class:  2, CF:0.367413, Len: 10, Fitness_tra: 0
Rule  7: 47b2197714, Class:  0, CF:0.00682251, Len: 10, Fitness_tra: 0
Rule  8: b41b3a7122, Class:  4, CF:0.948235, Len: 10, Fitness_tra: 0
Rule  9: 0000000000, Class:  0, CF:0.795797, Len:  0, Fitness_tra: 3484
Rule 10: 44414e4124, Class:  2, CF:0.85063, Len: 10, Fitness_tra: 0
Rule 11: 0000000000, Class:  0, CF:0.795797, Len:  0, Fitness_tra: 0
Rule 12: 1172551717, Class:  0, CF:0.781964, Len: 10, Fitness_tra: 0
Rule 13: 4271812421, Class:  2, CF:0.107935, Len: 10, Fitness_tra: 0
Rule 14: 4712114721, Class:  4, CF:0.00735935, Len: 10, Fitness_tra: 0
Rule 15: b12b567b14, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 41b4114722, Class:  4, CF:0.176756, Len: 10, Fitness_tra: 0
Rule 17: bcb21a442b, Class:  4, CF:0.998718, Len: 10, Fitness_tra: 0
Rule 18: 4d4b21b44c, Class:  2, CF:0.829882, Len: 10, Fitness_tra: 0
Rule 19: 12b4512427, Class:  1, CF:0.373732, Len: 10, Fitness_tra: 0
Rule 20: b112512141, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 77b2861b71, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: b2b2114bb4, Class:  4, CF:0.27966, Len: 10, Fitness_tra: 0
Rule 23: 0000000000, Class:  0, CF:0.795797, Len:  0, Fitness_tra: 0
Rule 24: 7b2421777b, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 241bc17422, Class:  2, CF:0.195011, Len: 10, Fitness_tra: 0
Rule 26: 7bb2562247, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: bc241d2217, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 14b2562722, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 4db723b411, Class:  4, CF:0.830437, Len: 10, Fitness_tra: 0
Rule 30: 17272a1b21, Class:  4, CF:0.980679, Len: 10, Fitness_tra: 0
Rule 31: 22223a722b, Class:  4, CF:0.999827, Len: 10, Fitness_tra: 0
Rule 32: 7177167447, Class:  4, CF:0.996887, Len: 10, Fitness_tra: 0
Rule 33: b1215eb117, Class:  2, CF:0.448915, Len: 10, Fitness_tra: 0
Rule 34: 41b5337444, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 0000000000, Class:  0, CF:0.795797, Len:  0, Fitness_tra: 0
Rule 36: 4247217b74, Class:  4, CF:0.0940587, Len: 10, Fitness_tra: 0
Rule 37: bc14114214, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 724bcd27b1, Class:  0, CF:0.730646, Len: 10, Fitness_tra: 0
Rule 39: b2b72abb14, Class:  4, CF:0.998078, Len: 10, Fitness_tra: 0
Rule 40: 444b1174b1, Class:  4, CF:0.563911, Len: 10, Fitness_tra: 0
Rule 41: b777797222, Class:  2, CF:0.809981, Len: 10, Fitness_tra: 0
Rule 42: 2b27211214, Class:  2, CF:0.302719, Len: 10, Fitness_tra: 0
Rule 43: 27111a4b4b, Class:  4, CF:0.988796, Len: 10, Fitness_tra: 0
Rule 44: 111b331724, Class:  4, CF:0.30913, Len: 10, Fitness_tra: 0
Rule 45: b1b28e2724, Class:  2, CF:0.438984, Len: 10, Fitness_tra: 0
Rule 46: 2871134bb2, Class:  4, CF:0.949446, Len: 10, Fitness_tra: 0
Rule 47: b41423b212, Class:  4, CF:0.258352, Len: 10, Fitness_tra: 0
Rule 48: 0000000000, Class:  0, CF:0.795797, Len:  0, Fitness_tra: 0
Rule 49: 17112ab744, Class:  4, CF:0.998733, Len: 10, Fitness_tra: 0
Rule 50: b7128e2421, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 21712e4b22, Class:  2, CF:0.719808, Len: 10, Fitness_tra: 0
Rule 52: 0000000000, Class:  0, CF:0.795797, Len:  0, Fitness_tra: 0
Rule 53: 4421567b41, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 777bd3b127, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 4b2126bb74, Class:  4, CF:0.993802, Len: 10, Fitness_tra: 0
