------Generation 0------
Rule  1: b221df471b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: b127c67742, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule  3: b2211f7774, Class:  4, CF:0.99998, Len: 10, Fitness_tra: 0
Rule  4: 1271812117, Class:  0, CF:0.315077, Len: 10, Fitness_tra: 0
Rule  5: 0000000880, Class:  2, CF:  1, Len:  2, Fitness_tra: 0
Rule  6: 1b71c172b7, Class:  2, CF:0.626627, Len: 10, Fitness_tra: 0
Rule  7: b447231474, Class:  4, CF:0.835901, Len: 10, Fitness_tra: 0
Rule  8: 0000000000, Class:  0, CF:0.795797, Len:  0, Fitness_tra: 2446
Rule  9: b324b1b211, Class:  4, CF:0.27698, Len: 10, Fitness_tra: 0
Rule 10: b1b413b477, Class:  4, CF:0.87724, Len: 10, Fitness_tra: 0
Rule 11: 7b415a41b4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 0000000000, Class:  0, CF:0.795797, Len:  0, Fitness_tra: 0
Rule 13: 741b231b4b, Class:  4, CF:0.427643, Len: 10, Fitness_tra: 0
Rule 14: 211213b144, Class:  4, CF:0.712549, Len: 10, Fitness_tra: 0
Rule 15: 147b2647b7, Class:  4, CF:0.997079, Len: 10, Fitness_tra: 0
Rule 16: b171c34b42, Class:  0, CF:0.803698, Len: 10, Fitness_tra: 0
Rule 17: 4212834727, Class:  0, CF:0.968536, Len: 10, Fitness_tra: 0
Rule 18: 47441e2b71, Class:  0, CF:0.809968, Len: 10, Fitness_tra: 0
Rule 19: 7742557427, Class:  2, CF:0.86755, Len: 10, Fitness_tra: 0
Rule 20: 1bb416b227, Class:  4, CF:0.983741, Len: 10, Fitness_tra: 0
Rule 21: 124b5fb742, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 2b2b1eb44b, Class:  2, CF:0.947986, Len: 10, Fitness_tra: 0
Rule 23: b521157424, Class:  2, CF:0.744639, Len: 10, Fitness_tra: 0
Rule 24: 744251b4b7, Class:  2, CF:0.0418441, Len: 10, Fitness_tra: 0
Rule 25: 4172864427, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 7142814244, Class:  2, CF:0.651888, Len: 10, Fitness_tra: 0
Rule 27: 214183b2b4, Class:  0, CF:0.925192, Len: 10, Fitness_tra: 0
Rule 28: 0000030000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: b8124a7221, Class:  4, CF:0.99135, Len: 10, Fitness_tra: 0
Rule 30: b172817b17, Class:  0, CF:0.538275, Len: 10, Fitness_tra: 0
Rule 31: 0000000000, Class:  0, CF:0.795797, Len:  0, Fitness_tra: 0
Rule 32: 1214dab247, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 2174437211, Class:  4, CF:0.610651, Len: 10, Fitness_tra: 0
Rule 34: 4bb7864174, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: cccb11b111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: b222112474, Class:  4, CF:0.57893, Len: 10, Fitness_tra: 0
Rule 37: b1221e7772, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 14bb111147, Class:  0, CF:0.772398, Len: 10, Fitness_tra: 0
Rule 39: 222183b477, Class:  0, CF:0.967078, Len: 10, Fitness_tra: 0
Rule 40: 0000000000, Class:  0, CF:0.795797, Len:  0, Fitness_tra: 0
Rule 41: 17b121b72b, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 0000000000, Class:  0, CF:0.795797, Len:  0, Fitness_tra: 0
Rule 43: 7b41c92b7b, Class:  0, CF:0.999956, Len: 10, Fitness_tra: 0
Rule 44: b22b161147, Class:  4, CF:0.989988, Len: 10, Fitness_tra: 0
Rule 45: 4841194111, Class:  0, CF:0.743713, Len: 10, Fitness_tra: 0
Rule 46: 282b897b41, Class:  0, CF:0.520305, Len: 10, Fitness_tra: 0
Rule 47: b1471a7224, Class:  4, CF:0.999688, Len: 10, Fitness_tra: 0
Rule 48: 214d151441, Class:  1, CF:0.93761, Len: 10, Fitness_tra: 0
Rule 49: 441b892bb1, Class:  0, CF:0.431519, Len: 10, Fitness_tra: 0
Rule 50: 47275e1224, Class:  2, CF:0.913863, Len: 10, Fitness_tra: 0
Rule 51: 2bbb8924b4, Class:  2, CF:0.602372, Len: 10, Fitness_tra: 0
Rule 52: 74b211747b, Class:  4, CF:0.191231, Len: 10, Fitness_tra: 0
Rule 53: 4b14c112b1, Class:  0, CF:0.0657126, Len: 10, Fitness_tra: 0
Rule 54: 0000000000, Class:  0, CF:0.795797, Len:  0, Fitness_tra: 0
Rule 55: 71772a722b, Class:  4, CF:0.999902, Len: 10, Fitness_tra: 0
Rule 56: 2c7b232142, Class:  4, CF:0.74635, Len: 10, Fitness_tra: 0
