------Generation 0------
Rule  1: c131, Class:  0, CF:0.829457, Len:  4, Fitness_tra: 0
Rule  2: 113b, Class:  0, CF:0.569231, Len:  4, Fitness_tra: 0
Rule  3: 1131, Class:  0, CF:0.596587, Len:  4, Fitness_tra: 0
Rule  4: 2025, Class:  0, CF:0.784051, Len:  3, Fitness_tra: 0
Rule  5: 1911, Class:  0, CF:0.963171, Len:  4, Fitness_tra: 1
Rule  6: 6115, Class:  0, CF:0.950794, Len:  4, Fitness_tra: 1
Rule  7: 2050, Class:  0, CF:0.80814, Len:  2, Fitness_tra: 0
Rule  8: 1122, Class:  0, CF:0.968082, Len:  4, Fitness_tra: 0
Rule  9: 1652, Class:  0, CF:0.998529, Len:  4, Fitness_tra: 1
Rule 10: 2111, Class:  0, CF:0.856719, Len:  4, Fitness_tra: 0
Rule 11: 1611, Class:  0, CF:0.581963, Len:  4, Fitness_tra: 0
Rule 12: 0000, Class:  0, CF:0.843416, Len:  0, Fitness_tra: 220
Rule 13: 1111, Class:  0, CF:0.656999, Len:  4, Fitness_tra: 0
Rule 14: 2331, Class:  0, CF:0.821429, Len:  4, Fitness_tra: 0
Rule 15: 6611, Class:  0, CF:0.515666, Len:  4, Fitness_tra: 0
Rule 16: 3211, Class:  0, CF:0.81441, Len:  4, Fitness_tra: 0
Rule 17: 1311, Class:  0, CF:0.591837, Len:  4, Fitness_tra: 0
Rule 18: 1f12, Class:  0, CF:0.897252, Len:  4, Fitness_tra: 0
Rule 19: 2144, Class:  0, CF:0.849624, Len:  4, Fitness_tra: 0
Rule 20: 054f, Class:  0, CF:0.957447, Len:  3, Fitness_tra: 2
Rule 21: 4511, Class:  0, CF:0.98466, Len:  4, Fitness_tra: 1
Rule 22: 2113, Class:  0, CF:0.881927, Len:  4, Fitness_tra: 0
Rule 23: 7511, Class:  0, CF:0.980015, Len:  4, Fitness_tra: 0
Rule 24: 3112, Class:  0, CF:0.871044, Len:  4, Fitness_tra: 0
Rule 25: 0502, Class:  0, CF:0.818966, Len:  2, Fitness_tra: 0
Rule 26: 1111, Class:  0, CF:0.656999, Len:  4, Fitness_tra: 0
Rule 27: 4133, Class:  0, CF:0.873418, Len:  4, Fitness_tra: 1
Rule 28: 1111, Class:  0, CF:0.656999, Len:  4, Fitness_tra: 0
Rule 29: 2252, Class:  0, CF:0.651253, Len:  4, Fitness_tra: 0
Rule 30: 1465, Class:  0, CF:0.880597, Len:  4, Fitness_tra: 0
Rule 31: 1141, Class:  0, CF:0.744323, Len:  4, Fitness_tra: 0
Rule 32: 6002, Class:  0, CF:0.901079, Len:  2, Fitness_tra: 16
Rule 33: 0005, Class:  0, CF:0.854651, Len:  1, Fitness_tra: 41
Rule 34: 5305, Class:  0, CF:0.774436, Len:  3, Fitness_tra: 0
Rule 35: 1111, Class:  0, CF:0.656999, Len:  4, Fitness_tra: 0
Rule 36: 1321, Class:  0, CF:0.877612, Len:  4, Fitness_tra: 0
Rule 37: 0055, Class:  0, CF:0.87619, Len:  2, Fitness_tra: 13
Rule 38: 1113, Class:  0, CF:0.598447, Len:  4, Fitness_tra: 0
Rule 39: 0302, Class:  0, CF:0.891496, Len:  2, Fitness_tra: 17
Rule 40: 1651, Class:  0, CF:0.95303, Len:  4, Fitness_tra: 1
Rule 41: 2f11, Class:  0, CF:0.784491, Len:  4, Fitness_tra: 0
Rule 42: 3551, Class:  0, CF:0.595331, Len:  4, Fitness_tra: 0
Rule 43: 1113, Class:  0, CF:0.598447, Len:  4, Fitness_tra: 0
Rule 44: 4455, Class:  0, CF:0.984127, Len:  4, Fitness_tra: 1
Rule 45: 2232, Class:  0, CF:0.965443, Len:  4, Fitness_tra: 1
Rule 46: 0403, Class:  0, CF:0.882353, Len:  2, Fitness_tra: 15
Rule 47: 1233, Class:  0, CF:0.932203, Len:  4, Fitness_tra: 0
Rule 48: 1131, Class:  0, CF:0.596587, Len:  4, Fitness_tra: 0
Rule 49: 2511, Class:  0, CF:0.992098, Len:  4, Fitness_tra: 1
Rule 50: 6662, Class:  0, CF:0.909558, Len:  4, Fitness_tra: 0
Rule 51: 5251, Class:  0, CF:0.884712, Len:  4, Fitness_tra: 0
Rule 52: 0264, Class:  0, CF:0.892308, Len:  3, Fitness_tra: 4
Rule 53: 2546, Class:  0, CF:  1, Len:  4, Fitness_tra: 0
Rule 54: 1323, Class:  0, CF:0.815725, Len:  4, Fitness_tra: 0
Rule 55: 0520, Class:  0, CF:0.80117, Len:  2, Fitness_tra: 0
Rule 56: 3500, Class:  0, CF:0.831683, Len:  2, Fitness_tra: 0
Rule 57: 1122, Class:  0, CF:0.968082, Len:  4, Fitness_tra: 0
Rule 58: 5111, Class:  0, CF:0.930479, Len:  4, Fitness_tra: 1
Rule 59: 1313, Class:  0, CF:0.464, Len:  4, Fitness_tra: 0
Rule 60: 3151, Class:  0, CF:0.952886, Len:  4, Fitness_tra: 0
Rule 61: 11f1, Class:  0, CF:0.587973, Len:  4, Fitness_tra: 0
Rule 62: 4453, Class:  0, CF:0.957447, Len:  4, Fitness_tra: 1
Rule 63: 1236, Class:  0, CF:0.947977, Len:  4, Fitness_tra: 0
Rule 64: 0030, Class:  0, CF:0.826866, Len:  1, Fitness_tra: 0
Rule 65: 1336, Class:  0, CF:0.288136, Len:  4, Fitness_tra: 0
Rule 66: 1232, Class:  0, CF:0.772825, Len:  4, Fitness_tra: 0
Rule 67: 0206, Class:  0, CF:0.898182, Len:  2, Fitness_tra: 13
Rule 68: 2411, Class:  0, CF:0.927337, Len:  4, Fitness_tra: 1
Rule 69: 6020, Class:  0, CF:0.901926, Len:  2, Fitness_tra: 20
Rule 70: 3231, Class:  0, CF:0.824971, Len:  4, Fitness_tra: 0
Rule 71: 5500, Class:  0, CF:0.871921, Len:  2, Fitness_tra: 17
Rule 72: 0000, Class:  0, CF:0.843416, Len:  0, Fitness_tra: 0
Rule 73: 0252, Class:  0, CF:0.779685, Len:  3, Fitness_tra: 0
Rule 74: 1311, Class:  0, CF:0.591837, Len:  4, Fitness_tra: 0
Rule 75: 2251, Class:  0, CF:0.866715, Len:  4, Fitness_tra: 0
Rule 76: 9514, Class:  0, CF:0.996324, Len:  4, Fitness_tra: 1
Rule 77: 3131, Class:  0, CF:0.461847, Len:  4, Fitness_tra: 0
Rule 78: 5435, Class:  0, CF:0.901961, Len:  4, Fitness_tra: 1
Rule 79: 2114, Class:  0, CF:0.817826, Len:  4, Fitness_tra: 0
Rule 80: 0225, Class:  0, CF:0.790462, Len:  3, Fitness_tra: 0
Rule 81: 3126, Class:  0, CF:0.80536, Len:  4, Fitness_tra: 0
Rule 82: 1211, Class:  0, CF:0.862176, Len:  4, Fitness_tra: 0
Rule 83: 1213, Class:  0, CF:0.883852, Len:  4, Fitness_tra: 0
Rule 84: 1123, Class:  0, CF:0.815284, Len:  4, Fitness_tra: 0
Rule 85: 1141, Class:  0, CF:0.744323, Len:  4, Fitness_tra: 0
Rule 86: 1614, Class:  0, CF:0.781141, Len:  4, Fitness_tra: 0
Rule 87: 4316, Class:  0, CF:0.684783, Len:  4, Fitness_tra: 0
Rule 88: 1136, Class:  0, CF:0.548387, Len:  4, Fitness_tra: 0
Rule 89: d519, Class:  0, CF:0.88, Len:  4, Fitness_tra: 1
Rule 90: 2006, Class:  0, CF:0.900812, Len:  2, Fitness_tra: 16
Rule 91: 0000, Class:  0, CF:0.843416, Len:  0, Fitness_tra: 0
Rule 92: 7111, Class:  0, CF:0.708682, Len:  4, Fitness_tra: 0
Rule 93: 0050, Class:  0, CF:0.854651, Len:  1, Fitness_tra: 48
Rule 94: 0440, Class:  0, CF:0.782235, Len:  2, Fitness_tra: 0
Rule 95: 1161, Class:  0, CF:0.59305, Len:  4, Fitness_tra: 0
Rule 96: 2313, Class:  0, CF:0.825175, Len:  4, Fitness_tra: 0
Rule 97: d311, Class:  0, CF:0.717314, Len:  4, Fitness_tra: 0
Rule 98: 6122, Class:  0, CF:0.99347, Len:  4, Fitness_tra: 0
Rule 99: 0640, Class:  0, CF:0.881104, Len:  2, Fitness_tra: 17
Rule100: 1111, Class:  0, CF:0.656999, Len:  4, Fitness_tra: 0
------Current------
Miss_rate(tra)	:7.82918
------Result------
Miss_rate(tra)	:7.82918
Miss_rate(tst)	:7.93651
ARL				:3.45

------Generation 0------
Rule  1: c131, Class:  0, CF:0.829457, Len:  4, Fitness_tra: 0
Rule  2: 113b, Class:  0, CF:0.569231, Len:  4, Fitness_tra: 0
Rule  3: 1131, Class:  0, CF:0.596587, Len:  4, Fitness_tra: 0
Rule  4: 2025, Class:  0, CF:0.784051, Len:  3, Fitness_tra: 0
Rule  5: 1911, Class:  0, CF:0.963171, Len:  4, Fitness_tra: 1
Rule  6: 6115, Class:  0, CF:0.950794, Len:  4, Fitness_tra: 1
Rule  7: 2050, Class:  0, CF:0.80814, Len:  2, Fitness_tra: 0
Rule  8: 1122, Class:  0, CF:0.968082, Len:  4, Fitness_tra: 0
Rule  9: 1652, Class:  0, CF:0.998529, Len:  4, Fitness_tra: 1
Rule 10: 2111, Class:  0, CF:0.856719, Len:  4, Fitness_tra: 0
Rule 11: 1611, Class:  0, CF:0.581963, Len:  4, Fitness_tra: 0
Rule 12: 0000, Class:  0, CF:0.843416, Len:  0, Fitness_tra: 220
Rule 13: 1111, Class:  0, CF:0.656999, Len:  4, Fitness_tra: 0
Rule 14: 2331, Class:  0, CF:0.821429, Len:  4, Fitness_tra: 0
Rule 15: 6611, Class:  0, CF:0.515666, Len:  4, Fitness_tra: 0
Rule 16: 3211, Class:  0, CF:0.81441, Len:  4, Fitness_tra: 0
Rule 17: 1311, Class:  0, CF:0.591837, Len:  4, Fitness_tra: 0
Rule 18: 1f12, Class:  0, CF:0.897252, Len:  4, Fitness_tra: 0
Rule 19: 2144, Class:  0, CF:0.849624, Len:  4, Fitness_tra: 0
Rule 20: 054f, Class:  0, CF:0.957447, Len:  3, Fitness_tra: 2
Rule 21: 4511, Class:  0, CF:0.98466, Len:  4, Fitness_tra: 1
Rule 22: 2113, Class:  0, CF:0.881927, Len:  4, Fitness_tra: 0
Rule 23: 7511, Class:  0, CF:0.980015, Len:  4, Fitness_tra: 0
Rule 24: 3112, Class:  0, CF:0.871044, Len:  4, Fitness_tra: 0
Rule 25: 0502, Class:  0, CF:0.818966, Len:  2, Fitness_tra: 0
Rule 26: 1111, Class:  0, CF:0.656999, Len:  4, Fitness_tra: 0
Rule 27: 4133, Class:  0, CF:0.873418, Len:  4, Fitness_tra: 1
Rule 28: 1111, Class:  0, CF:0.656999, Len:  4, Fitness_tra: 0
Rule 29: 2252, Class:  0, CF:0.651253, Len:  4, Fitness_tra: 0
Rule 30: 1465, Class:  0, CF:0.880597, Len:  4, Fitness_tra: 0
Rule 31: 1141, Class:  0, CF:0.744323, Len:  4, Fitness_tra: 0
Rule 32: 6002, Class:  0, CF:0.901079, Len:  2, Fitness_tra: 16
Rule 33: 0005, Class:  0, CF:0.854651, Len:  1, Fitness_tra: 41
Rule 34: 5305, Class:  0, CF:0.774436, Len:  3, Fitness_tra: 0
Rule 35: 1111, Class:  0, CF:0.656999, Len:  4, Fitness_tra: 0
Rule 36: 1321, Class:  0, CF:0.877612, Len:  4, Fitness_tra: 0
Rule 37: 0055, Class:  0, CF:0.87619, Len:  2, Fitness_tra: 13
Rule 38: 1113, Class:  0, CF:0.598447, Len:  4, Fitness_tra: 0
Rule 39: 0302, Class:  0, CF:0.891496, Len:  2, Fitness_tra: 17
Rule 40: 1651, Class:  0, CF:0.95303, Len:  4, Fitness_tra: 1
Rule 41: 2f11, Class:  0, CF:0.784491, Len:  4, Fitness_tra: 0
Rule 42: 3551, Class:  0, CF:0.595331, Len:  4, Fitness_tra: 0
Rule 43: 1113, Class:  0, CF:0.598447, Len:  4, Fitness_tra: 0
Rule 44: 4455, Class:  0, CF:0.984127, Len:  4, Fitness_tra: 1
Rule 45: 2232, Class:  0, CF:0.965443, Len:  4, Fitness_tra: 1
Rule 46: 0403, Class:  0, CF:0.882353, Len:  2, Fitness_tra: 15
Rule 47: 1233, Class:  0, CF:0.932203, Len:  4, Fitness_tra: 0
Rule 48: 1131, Class:  0, CF:0.596587, Len:  4, Fitness_tra: 0
Rule 49: 2511, Class:  0, CF:0.992098, Len:  4, Fitness_tra: 1
Rule 50: 6662, Class:  0, CF:0.909558, Len:  4, Fitness_tra: 0
Rule 51: 5251, Class:  0, CF:0.884712, Len:  4, Fitness_tra: 0
Rule 52: 0264, Class:  0, CF:0.892308, Len:  3, Fitness_tra: 4
Rule 53: 2546, Class:  0, CF:  1, Len:  4, Fitness_tra: 0
Rule 54: 1323, Class:  0, CF:0.815725, Len:  4, Fitness_tra: 0
Rule 55: 0520, Class:  0, CF:0.80117, Len:  2, Fitness_tra: 0
Rule 56: 3500, Class:  0, CF:0.831683, Len:  2, Fitness_tra: 0
Rule 57: 1122, Class:  0, CF:0.968082, Len:  4, Fitness_tra: 0
Rule 58: 5111, Class:  0, CF:0.930479, Len:  4, Fitness_tra: 1
Rule 59: 1313, Class:  0, CF:0.464, Len:  4, Fitness_tra: 0
Rule 60: 3151, Class:  0, CF:0.952886, Len:  4, Fitness_tra: 0
Rule 61: 11f1, Class:  0, CF:0.587973, Len:  4, Fitness_tra: 0
Rule 62: 4453, Class:  0, CF:0.957447, Len:  4, Fitness_tra: 1
Rule 63: 1236, Class:  0, CF:0.947977, Len:  4, Fitness_tra: 0
