------Generation 0------
Rule  1: 615e, Class:  0, CF:  1, Len:  4, Fitness_tra: 1
Rule  2: 5111, Class:  0, CF:0.940624, Len:  4, Fitness_tra: 0
Rule  3: 0003, Class:  0, CF:0.845238, Len:  1, Fitness_tra: 41
Rule  4: 5203, Class:  0, CF:0.98568, Len:  3, Fitness_tra: 0
Rule  5: 7500, Class:  0, CF:0.857988, Len:  2, Fitness_tra: 0
Rule  6: 1111, Class:  0, CF:0.697411, Len:  4, Fitness_tra: 0
Rule  7: 1214, Class:  0, CF:0.836277, Len:  4, Fitness_tra: 0
Rule  8: 1126, Class:  0, CF:0.829429, Len:  4, Fitness_tra: 0
Rule  9: 0325, Class:  0, CF:0.985748, Len:  3, Fitness_tra: 4
Rule 10: f155, Class:  0, CF:  1, Len:  4, Fitness_tra: 0
Rule 11: 1262, Class:  0, CF:0.803048, Len:  4, Fitness_tra: 0
Rule 12: 4546, Class:  0, CF:0.990566, Len:  4, Fitness_tra: 1
Rule 13: 0340, Class:  0, CF:0.877698, Len:  2, Fitness_tra: 21
Rule 14: 1331, Class:  0, CF:0.542707, Len:  4, Fitness_tra: 0
Rule 15: 5131, Class:  0, CF:0.940492, Len:  4, Fitness_tra: 0
Rule 16: 1115, Class:  0, CF:0.936851, Len:  4, Fitness_tra: 1
Rule 17: 4119, Class:  0, CF:0.939055, Len:  4, Fitness_tra: 1
Rule 18: 2111, Class:  0, CF:0.867192, Len:  4, Fitness_tra: 0
Rule 19: 5363, Class:  0, CF:0.959184, Len:  4, Fitness_tra: 0
Rule 20: 1313, Class:  0, CF:0.550062, Len:  4, Fitness_tra: 0
Rule 21: 5624, Class:  0, CF:0.941284, Len:  4, Fitness_tra: 1
Rule 22: 2253, Class:  0, CF:0.944828, Len:  4, Fitness_tra: 0
Rule 23: 9132, Class:  0, CF:0.680899, Len:  4, Fitness_tra: 0
Rule 24: 1111, Class:  0, CF:0.697411, Len:  4, Fitness_tra: 0
Rule 25: 5460, Class:  0, CF:0.977778, Len:  3, Fitness_tra: 4
Rule 26: 522b, Class:  0, CF:0.922261, Len:  4, Fitness_tra: 1
Rule 27: 5004, Class:  0, CF:0.875, Len:  2, Fitness_tra: 16
Rule 28: 1151, Class:  0, CF:0.942209, Len:  4, Fitness_tra: 1
Rule 29: 9111, Class:  0, CF:0.96431, Len:  4, Fitness_tra: 0
Rule 30: 1543, Class:  0, CF:0.905063, Len:  4, Fitness_tra: 0
Rule 31: 1113, Class:  0, CF:0.663859, Len:  4, Fitness_tra: 0
Rule 32: 0050, Class:  0, CF:0.84438, Len:  1, Fitness_tra: 33
Rule 33: 9131, Class:  0, CF:0.963865, Len:  4, Fitness_tra: 0
Rule 34: 0023, Class:  0, CF:0.83161, Len:  2, Fitness_tra: 0
Rule 35: 2331, Class:  0, CF:0.817427, Len:  4, Fitness_tra: 0
Rule 36: 3215, Class:  0, CF:0.798429, Len:  4, Fitness_tra: 0
Rule 37: 1111, Class:  0, CF:0.697411, Len:  4, Fitness_tra: 0
Rule 38: 3004, Class:  0, CF:0.881041, Len:  2, Fitness_tra: 20
Rule 39: 6111, Class:  0, CF:0.648709, Len:  4, Fitness_tra: 0
Rule 40: 1114, Class:  0, CF:0.750361, Len:  4, Fitness_tra: 0
