------Generation 0------
Rule  1: 335b, Class:  2, CF:  1, Len:  4, Fitness_tra: 5
Rule  2: 54c0, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 6007, Class:  2, CF:0.0825038, Len:  2, Fitness_tra: 1
Rule  4: 0405, Class:  2, CF:0.0930599, Len:  2, Fitness_tra: 1
Rule  5: 5300, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 1351, Class:  2, CF:0.613983, Len:  4, Fitness_tra: 3
Rule  7: 0000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 3215, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 1321, Class:  2, CF:0.37977, Len:  4, Fitness_tra: 0
Rule 10: 0000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 9505, Class:  0, CF:0.179833, Len:  3, Fitness_tra: 0
Rule 12: 1122, Class:  2, CF:0.755222, Len:  4, Fitness_tra: 20
Rule 13: 2055, Class:  2, CF:0.35176, Len:  3, Fitness_tra: 12
Rule 14: 0005, Class:  2, CF:0.0187562, Len:  1, Fitness_tra: -1
Rule 15: 1619, Class:  2, CF:0.858023, Len:  4, Fitness_tra: 5
Rule 16: 351f, Class:  0, CF:0.736301, Len:  4, Fitness_tra: 5
Rule 17: 0050, Class:  2, CF:0.0368655, Len:  1, Fitness_tra: 0
Rule 18: 2211, Class:  0, CF:0.765083, Len:  4, Fitness_tra: 5
Rule 19: 6c50, Class:  2, CF:0.887255, Len:  3, Fitness_tra: 8
Rule 20: 5121, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 5040, Class:  0, CF:0.0987216, Len:  2, Fitness_tra: 0
Rule 22: 4400, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 0b00, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 1253, Class:  1, CF:0.194891, Len:  4, Fitness_tra: 0
Rule 25: 2050, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 0304, Class:  2, CF:0.186504, Len:  2, Fitness_tra: 0
Rule 27: 020b, Class:  0, CF:0.104289, Len:  2, Fitness_tra: 0
Rule 28: 3311, Class:  1, CF:0.327627, Len:  4, Fitness_tra: 0
Rule 29: 11a3, Class:  1, CF:0.348996, Len:  4, Fitness_tra: 0
Rule 30: 3025, Class:  2, CF:0.899388, Len:  3, Fitness_tra: 37
Rule 31: 1131, Class:  1, CF:0.290756, Len:  4, Fitness_tra: 0
Rule 32: 5213, Class:  0, CF:0.985605, Len:  4, Fitness_tra: 4
Rule 33: 3040, Class:  2, CF:0.133092, Len:  2, Fitness_tra: 4
Rule 34: 5540, Class:  0, CF:0.73824, Len:  3, Fitness_tra: 20
Rule 35: 4211, Class:  0, CF:0.543809, Len:  4, Fitness_tra: 17
Rule 36: 5112, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 0403, Class:  0, CF:0.12696, Len:  2, Fitness_tra: 10
Rule 38: 2451, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 3312, Class:  2, CF:0.707839, Len:  4, Fitness_tra: 4
Rule 40: 1311, Class:  1, CF:0.251195, Len:  4, Fitness_tra: 0
Rule 41: b153, Class:  2, CF:0.0149402, Len:  4, Fitness_tra: 0
Rule 42: 1221, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 1127, Class:  2, CF:0.392938, Len:  4, Fitness_tra: 1
Rule 44: 1593, Class:  1, CF:0.452115, Len:  4, Fitness_tra: -2
Rule 45: 3312, Class:  2, CF:0.707839, Len:  4, Fitness_tra: 0
Rule 46: 5242, Class:  0, CF:0.114453, Len:  4, Fitness_tra: 0
Rule 47: 111c, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 0005, Class:  2, CF:0.0187562, Len:  1, Fitness_tra: 0
Rule 49: 3341, Class:  2, CF:0.281086, Len:  4, Fitness_tra: 0
Rule 50: 1311, Class:  1, CF:0.251195, Len:  4, Fitness_tra: 0
Rule 51: 1124, Class:  2, CF:0.560856, Len:  4, Fitness_tra: 10
Rule 52: 1321, Class:  2, CF:0.37977, Len:  4, Fitness_tra: 0
Rule 53: 3151, Class:  2, CF:0.592906, Len:  4, Fitness_tra: 2
Rule 54: 2231, Class:  0, CF:0.937052, Len:  4, Fitness_tra: 4
Rule 55: 5123, Class:  1, CF:0.147966, Len:  4, Fitness_tra: 0
Rule 56: 6000, Class:  2, CF:0.00250473, Len:  1, Fitness_tra: 0
Rule 57: 0000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 1251, Class:  1, CF:0.0454712, Len:  4, Fitness_tra: 0
Rule 59: 9215, Class:  0, CF:0.402025, Len:  4, Fitness_tra: 1
Rule 60: 2405, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 1111, Class:  1, CF:0.144595, Len:  4, Fitness_tra: 0
Rule 62: 3640, Class:  2, CF:0.634044, Len:  3, Fitness_tra: 10
Rule 63: 9511, Class:  0, CF:  1, Len:  4, Fitness_tra: 2
Rule 64: 1136, Class:  1, CF:0.36941, Len:  4, Fitness_tra: -3
Rule 65: 1115, Class:  2, CF:0.504795, Len:  4, Fitness_tra: 9
Rule 66: 4256, Class:  0, CF:0.433589, Len:  4, Fitness_tra: 4
Rule 67: 4069, Class:  0, CF:0.226175, Len:  3, Fitness_tra: 0
Rule 68: 1261, Class:  0, CF:0.429585, Len:  4, Fitness_tra: 0
Rule 69: 0320, Class:  2, CF:0.341399, Len:  2, Fitness_tra: 19
Rule 70: 1111, Class:  1, CF:0.144595, Len:  4, Fitness_tra: 0
Rule 71: 0256, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 0340, Class:  2, CF:0.234837, Len:  2, Fitness_tra: 11
Rule 73: 3141, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 5312, Class:  1, CF:0.0590957, Len:  4, Fitness_tra: 0
Rule 75: 5560, Class:  0, CF:  1, Len:  3, Fitness_tra: 4
Rule 76: 3131, Class:  1, CF:0.411437, Len:  4, Fitness_tra: 2
Rule 77: 2400, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 3304, Class:  2, CF:0.632529, Len:  3, Fitness_tra: 11
Rule 79: 1141, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 5111, Class:  0, CF:0.437335, Len:  4, Fitness_tra: 5
Rule 81: a111, Class:  1, CF:0.228181, Len:  4, Fitness_tra: 0
Rule 82: 4232, Class:  0, CF:0.52053, Len:  4, Fitness_tra: 4
Rule 83: 5000, Class:  0, CF:0.0474741, Len:  1, Fitness_tra: 1
Rule 84: 3611, Class:  1, CF:0.331052, Len:  4, Fitness_tra: 0
Rule 85: 1c11, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 2411, Class:  0, CF:0.533439, Len:  4, Fitness_tra: 14
Rule 87: 0230, Class:  0, CF:0.46853, Len:  2, Fitness_tra: 28
Rule 88: 5060, Class:  0, CF:0.542618, Len:  2, Fitness_tra: 24
Rule 89: 4121, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 5020, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 2205, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 0255, Class:  2, CF:0.387439, Len:  3, Fitness_tra: 10
Rule 93: 1161, Class:  1, CF:0.305093, Len:  4, Fitness_tra: 0
Rule 94: 1117, Class:  1, CF:0.120031, Len:  4, Fitness_tra: 0
Rule 95: 5507, Class:  0, CF:  1, Len:  3, Fitness_tra: 20
Rule 96: 0534, Class:  0, CF:0.683005, Len:  3, Fitness_tra: 4
Rule 97: 1531, Class:  0, CF:0.762205, Len:  4, Fitness_tra: 5
Rule 98: 1121, Class:  2, CF:0.11392, Len:  4, Fitness_tra: 0
Rule 99: 3541, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 1111, Class:  1, CF:0.144595, Len:  4, Fitness_tra: 0
------Current------
Miss_rate(tra)	:14
------Result------
Miss_rate(tra)	:14
Miss_rate(tst)	:21.6
ARL				:3.35526

------Generation 0------
Rule  1: 3025, Class:  2, CF:0.899388, Len:  3, Fitness_tra: 30
Rule  2: 0230, Class:  0, CF:0.46853, Len:  2, Fitness_tra: 25
Rule  3: 5060, Class:  0, CF:0.542618, Len:  2, Fitness_tra: 15
Rule  4: 5507, Class:  0, CF:  1, Len:  3, Fitness_tra: 20
Rule  5: 1122, Class:  2, CF:0.755222, Len:  4, Fitness_tra: 8
Rule  6: 5540, Class:  0, CF:0.73824, Len:  3, Fitness_tra: 19
Rule  7: 0320, Class:  2, CF:0.341399, Len:  2, Fitness_tra: 13
Rule  8: 4211, Class:  0, CF:0.543809, Len:  4, Fitness_tra: 13
Rule  9: 2411, Class:  0, CF:0.533439, Len:  4, Fitness_tra: 11
Rule 10: 2055, Class:  2, CF:0.35176, Len:  3, Fitness_tra: 0
Rule 11: 3304, Class:  2, CF:0.632529, Len:  3, Fitness_tra: 11
Rule 12: 0340, Class:  2, CF:0.234837, Len:  2, Fitness_tra: 7
Rule 13: 1124, Class:  2, CF:0.560856, Len:  4, Fitness_tra: 10
Rule 14: 0255, Class:  2, CF:0.387439, Len:  3, Fitness_tra: 0
Rule 15: 0403, Class:  0, CF:0.12696, Len:  2, Fitness_tra: 1
Rule 16: 3640, Class:  2, CF:0.634044, Len:  3, Fitness_tra: 10
Rule 17: 1115, Class:  2, CF:0.504795, Len:  4, Fitness_tra: 7
Rule 18: 6c50, Class:  2, CF:0.887255, Len:  3, Fitness_tra: 8
Rule 19: 335b, Class:  2, CF:  1, Len:  4, Fitness_tra: 5
Rule 20: 1531, Class:  0, CF:0.762205, Len:  4, Fitness_tra: 4
Rule 21: 2211, Class:  0, CF:0.765083, Len:  4, Fitness_tra: 3
Rule 22: 5111, Class:  0, CF:0.437335, Len:  4, Fitness_tra: 5
Rule 23: 1619, Class:  2, CF:0.858023, Len:  4, Fitness_tra: 5
