------Generation 0------
Rule  1: 0b00, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 0600, Class:  2, CF:0.064194, Len:  1, Fitness_tra: 0
Rule  3: 1166, Class:  0, CF:0.176848, Len:  4, Fitness_tra: 0
Rule  4: 3312, Class:  2, CF:0.594025, Len:  4, Fitness_tra: 0
Rule  5: 2500, Class:  0, CF:0.182459, Len:  2, Fitness_tra: 10
Rule  6: 1533, Class:  0, CF:0.801724, Len:  4, Fitness_tra: 1
Rule  7: 5311, Class:  0, CF:0.204701, Len:  4, Fitness_tra: 0
Rule  8: 0580, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 1116, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 0503, Class:  0, CF:0.675127, Len:  2, Fitness_tra: 23
Rule 11: a311, Class:  2, CF:0.36803, Len:  4, Fitness_tra: 1
Rule 12: 0500, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 1211, Class:  0, CF:0.153382, Len:  4, Fitness_tra: 0
Rule 14: 1133, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 0620, Class:  2, CF:0.35497, Len:  2, Fitness_tra: 20
Rule 16: 251f, Class:  0, CF:  1, Len:  4, Fitness_tra: 1
Rule 17: 1316, Class:  1, CF:0.00575374, Len:  4, Fitness_tra: 0
Rule 18: 00b0, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 4312, Class:  2, CF:0.00894234, Len:  4, Fitness_tra: 0
Rule 20: 1211, Class:  0, CF:0.153382, Len:  4, Fitness_tra: 0
Rule 21: 3361, Class:  1, CF:0.122821, Len:  4, Fitness_tra: 0
Rule 22: 11c1, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 2005, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 0500, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 2000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
