------Generation 0------
Rule  1: f145, Class:  2, CF:  1, Len:  4, Fitness_tra: 4
Rule  2: 6006, Class:  1, CF:0.000557724, Len:  2, Fitness_tra: 0
Rule  3: 2111, Class:  0, CF:0.113189, Len:  4, Fitness_tra: 0
Rule  4: f111, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 4030, Class:  0, CF:0.0947368, Len:  2, Fitness_tra: 6
Rule  6: 0700, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 3121, Class:  2, CF:0.311465, Len:  4, Fitness_tra: 0
Rule  8: 2122, Class:  2, CF:0.262154, Len:  4, Fitness_tra: 2
Rule  9: 4211, Class:  0, CF:0.534176, Len:  4, Fitness_tra: 6
Rule 10: 0095, Class:  2, CF:0.433311, Len:  2, Fitness_tra: 28
Rule 11: 000b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 0050, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 1333, Class:  1, CF:0.0697674, Len:  4, Fitness_tra: 0
Rule 14: 4556, Class:  0, CF:0.967742, Len:  4, Fitness_tra: 4
Rule 15: 111b, Class:  1, CF:0.0723926, Len:  4, Fitness_tra: 0
Rule 16: 2161, Class:  0, CF:0.391941, Len:  4, Fitness_tra: 5
Rule 17: 3111, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 1122, Class:  2, CF:0.756446, Len:  4, Fitness_tra: 23
Rule 19: 1411, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 1125, Class:  2, CF:0.921948, Len:  4, Fitness_tra: 18
Rule 21: 6313, Class:  1, CF:0.152527, Len:  4, Fitness_tra: 0
Rule 22: 1116, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 6c40, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 0304, Class:  2, CF:0.174532, Len:  2, Fitness_tra: 0
Rule 25: 2b12, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 6322, Class:  2, CF:0.990152, Len:  4, Fitness_tra: 5
Rule 27: 1132, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 22f3, Class:  0, CF:  1, Len:  4, Fitness_tra: 4
Rule 29: 2111, Class:  0, CF:0.113189, Len:  4, Fitness_tra: 0
Rule 30: 5053, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 5111, Class:  0, CF:0.38396, Len:  4, Fitness_tra: 0
Rule 32: 15c1, Class:  0, CF:0.625, Len:  4, Fitness_tra: 4
Rule 33: 1111, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 6161, Class:  1, CF:0.0569296, Len:  4, Fitness_tra: 0
Rule 35: 1233, Class:  0, CF:0.708786, Len:  4, Fitness_tra: 4
Rule 36: 6020, Class:  2, CF:0.410004, Len:  2, Fitness_tra: 20
Rule 37: 0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 0050, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 9133, Class:  0, CF:0.853035, Len:  4, Fitness_tra: 0
Rule 40: 1111, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 1211, Class:  0, CF:0.181385, Len:  4, Fitness_tra: 0
Rule 42: 2263, Class:  0, CF:0.988961, Len:  4, Fitness_tra: 0
