------Generation 0------
Rule  1: d5cb7, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule  2: 18247, Class:  1, CF:0.54553, Len:  5, Fitness_tra: 0
Rule  3: 1c444, Class:  2, CF:0.406563, Len:  5, Fitness_tra: 0
Rule  4: 95474, Class:  1, CF:0.998298, Len:  5, Fitness_tra: 0
Rule  5: 21174, Class:  0, CF:0.94901, Len:  5, Fitness_tra: 4
Rule  6: e4211, Class:  1, CF:0.355879, Len:  5, Fitness_tra: 0
Rule  7: 92221, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 91c4b, Class:  1, CF:0.751321, Len:  5, Fitness_tra: 0
Rule  9: 9d1bb, Class:  1, CF:0.98476, Len:  5, Fitness_tra: 0
Rule 10: 55211, Class:  1, CF:0.976175, Len:  5, Fitness_tra: 0
Rule 11: 95c47, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 12: 121b7, Class:  0, CF:0.313558, Len:  5, Fitness_tra: 0
Rule 13: 12712, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 00000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: e1221, Class:  0, CF:0.916339, Len:  5, Fitness_tra: 0
Rule 16: d5412, Class:  1, CF:0.610736, Len:  5, Fitness_tra: 0
Rule 17: 31272, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 51112, Class:  0, CF:0.851892, Len:  5, Fitness_tra: 4
Rule 19: 1c214, Class:  2, CF:0.167048, Len:  5, Fitness_tra: 0
Rule 20: d541b, Class:  1, CF:0.610736, Len:  5, Fitness_tra: 0
Rule 21: 2312b, Class:  0, CF:0.972097, Len:  5, Fitness_tra: 0
Rule 22: 31241, Class:  1, CF:0.778881, Len:  5, Fitness_tra: 0
Rule 23: d5714, Class:  1, CF:0.452391, Len:  5, Fitness_tra: 0
Rule 24: 51214, Class:  0, CF:0.59316, Len:  5, Fitness_tra: 0
Rule 25: 15c14, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 26: 91472, Class:  0, CF:0.986344, Len:  5, Fitness_tra: 0
Rule 27: 12472, Class:  0, CF:0.680283, Len:  5, Fitness_tra: 0
Rule 28: 9d447, Class:  1, CF:0.995457, Len:  5, Fitness_tra: 0
Rule 29: 12477, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 5121b, Class:  0, CF:0.364879, Len:  5, Fitness_tra: 0
Rule 31: 122b1, Class:  1, CF:0.703398, Len:  5, Fitness_tra: 0
Rule 32: 00000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 35221, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 34: 18c47, Class:  1, CF:0.966071, Len:  5, Fitness_tra: 0
Rule 35: 11414, Class:  0, CF:0.104458, Len:  5, Fitness_tra: 0
Rule 36: 35444, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 37: 51474, Class:  0, CF:0.944009, Len:  5, Fitness_tra: 0
Rule 38: 11117, Class:  0, CF:0.259077, Len:  5, Fitness_tra: 0
Rule 39: 5141b, Class:  0, CF:0.364879, Len:  5, Fitness_tra: 0
Rule 40: 11111, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 511bb, Class:  0, CF:0.949565, Len:  5, Fitness_tra: 1
Rule 42: 52124, Class:  0, CF:0.895365, Len:  5, Fitness_tra: 0
Rule 43: e114b, Class:  0, CF:0.996269, Len:  5, Fitness_tra: 1
Rule 44: d2411, Class:  2, CF:0.249829, Len:  5, Fitness_tra: 7
Rule 45: 58277, Class:  2, CF:0.257022, Len:  5, Fitness_tra: 0
Rule 46: 00000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 11121, Class:  0, CF:0.616183, Len:  5, Fitness_tra: 0
Rule 48: 12414, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 52224, Class:  0, CF:0.796267, Len:  5, Fitness_tra: 0
Rule 50: 92c27, Class:  1, CF:0.956281, Len:  5, Fitness_tra: 0
Rule 51: 92121, Class:  0, CF:0.653226, Len:  5, Fitness_tra: 0
Rule 52: 00000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
