------Generation 0------
Rule  1: d24bb, Class:  0, CF:0.24657, Len:  5, Fitness_tra: 0
Rule  2: 15121, Class:  1, CF:0.966337, Len:  5, Fitness_tra: 0
Rule  3: e2211, Class:  1, CF:0.801156, Len:  5, Fitness_tra: 0
Rule  4: 12412, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 1c147, Class:  2, CF:0.747935, Len:  5, Fitness_tra: 0
Rule  6: 9122b, Class:  0, CF:0.969555, Len:  5, Fitness_tra: 0
Rule  7: 15c14, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule  8: 98bbb, Class:  1, CF:0.139467, Len:  5, Fitness_tra: 0
Rule  9: 00000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 00000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: d111b, Class:  0, CF:0.495638, Len:  5, Fitness_tra: 0
Rule 12: d1724, Class:  0, CF:0.9456, Len:  5, Fitness_tra: 0
Rule 13: 11124, Class:  0, CF:0.945885, Len:  5, Fitness_tra: 0
Rule 14: 911b1, Class:  0, CF:0.964533, Len:  5, Fitness_tra: 3
Rule 15: 11177, Class:  0, CF:0.864124, Len:  5, Fitness_tra: 0
Rule 16: 00000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 98441, Class:  1, CF:0.851625, Len:  5, Fitness_tra: 0
Rule 18: 327c2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: a4000, Class:  1, CF:  1, Len:  2, Fitness_tra: 1
Rule 20: 98c14, Class:  1, CF:0.977393, Len:  5, Fitness_tra: 0
Rule 21: 51112, Class:  0, CF:0.869381, Len:  5, Fitness_tra: 0
Rule 22: 15577, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 23: dc411, Class:  2, CF:0.602323, Len:  5, Fitness_tra: 22
Rule 24: 151b2, Class:  1, CF:0.869824, Len:  5, Fitness_tra: 0
Rule 25: 11121, Class:  0, CF:0.63101, Len:  5, Fitness_tra: 0
Rule 26: d1112, Class:  0, CF:0.854203, Len:  5, Fitness_tra: 0
Rule 27: 03000, Class:  0, CF:0.416622, Len:  1, Fitness_tra: -90
Rule 28: e1411, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 00500, Class:  1, CF:  1, Len:  1, Fitness_tra: 3
Rule 30: 9d212, Class:  1, CF:0.997863, Len:  5, Fitness_tra: 0
Rule 31: c1542, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
