------Generation 0------
Rule  1: 18c2b, Class:  1, CF:0.992822, Len:  5, Fitness_tra: 0
Rule  2: 9d414, Class:  1, CF:0.99676, Len:  5, Fitness_tra: 0
Rule  3: d0000, Class:  0, CF:0.173153, Len:  1, Fitness_tra: -14
Rule  4: 31447, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 12211, Class:  1, CF:0.799593, Len:  5, Fitness_tra: 15
Rule  6: 981b2, Class:  1, CF:0.138014, Len:  5, Fitness_tra: 0
Rule  7: 00000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 11142, Class:  0, CF:0.955554, Len:  5, Fitness_tra: 0
Rule  9: 38477, Class:  1, CF:0.973764, Len:  5, Fitness_tra: 0
Rule 10: e0000, Class:  0, CF:0.427889, Len:  1, Fitness_tra: 0
Rule 11: 12224, Class:  0, CF:0.260055, Len:  5, Fitness_tra: 0
Rule 12: 12171, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: d1124, Class:  0, CF:0.985679, Len:  5, Fitness_tra: 1
Rule 14: 1557b, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 15: 21242, Class:  0, CF:0.955132, Len:  5, Fitness_tra: 0
Rule 16: d1217, Class:  0, CF:0.23187, Len:  5, Fitness_tra: 0
Rule 17: 12441, Class:  1, CF:0.502342, Len:  5, Fitness_tra: 0
Rule 18: 9122b, Class:  0, CF:0.971564, Len:  5, Fitness_tra: 0
Rule 19: 11717, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 00000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 00b00, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 91418, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 23: 11577, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 24: d1444, Class:  0, CF:0.933285, Len:  5, Fitness_tra: 0
Rule 25: 11411, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 9c2b4, Class:  2, CF:0.512287, Len:  5, Fitness_tra: 0
Rule 27: e5222, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 28: 31421, Class:  1, CF:0.561812, Len:  5, Fitness_tra: 0
