------Generation 0------
Rule  1: 1511b2cd4118d81281, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: d111122d2cc1211113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 00e000000000000000, Class:  1, CF:0.449556, Len:  1, Fitness_tra: -8
Rule  5: 111514121133311121, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule  6: 000d00000500000000, Class:  1, CF:0.189882, Len:  2, Fitness_tra: 0
Rule  7: 1e652411991de11411, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 000000000000000080, Class:  1, CF:0.0784951, Len:  1, Fitness_tra: -2
Rule  9: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: d11517d88d15541811, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 258c2125b8c7111259, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 000000004000000c00, Class:  1, CF:0.194798, Len:  2, Fitness_tra: -1
Rule 13: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 020000000000000000, Class:  1, CF:0.0381691, Len:  1, Fitness_tra: 0
Rule 15: 15d11185211c5c1511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: c0000000000000c060, Class:  0, CF:0.547922, Len:  3, Fitness_tra: 3
Rule 17: 00900b000000000008, Class:  1, CF:0.559949, Len:  3, Fitness_tra: -1
Rule 18: 0000000000c0040000, Class:  1, CF:0.273733, Len:  2, Fitness_tra: -1
Rule 19: 0c0000000000000000, Class:  0, CF:0.242974, Len:  1, Fitness_tra: 182
Rule 20: 00000000000000d000, Class:  1, CF:0.395628, Len:  1, Fitness_tra: -15
Rule 21: 515c4225c5c41c1785, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 00000000000000e000, Class:  1, CF:0.654021, Len:  1, Fitness_tra: 4
Rule 23: 00007000d080000000, Class:  1, CF:0.262162, Len:  3, Fitness_tra: 0
