------Generation 0------
Rule  1: d00b00000000000007, Class:  0, CF:0.0295781, Len:  3, Fitness_tra: 0
Rule  2: 000000000000000000, Class:  1, CF:2.27596e-15, Len:  0, Fitness_tra: 0
Rule  3: 000000000600000002, Class:  1, CF:0.167112, Len:  2, Fitness_tra: -1
Rule  4: 000000000000000000, Class:  1, CF:2.27596e-15, Len:  0, Fitness_tra: 0
Rule  5: 000000000000000000, Class:  1, CF:2.27596e-15, Len:  0, Fitness_tra: 0
Rule  6: 000000000000000000, Class:  1, CF:2.27596e-15, Len:  0, Fitness_tra: 0
Rule  7: 000900000030000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 1214b4252844182121, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule  9: 48844723151c221812, Class:  1, CF:0.453613, Len: 18, Fitness_tra: 0
Rule 10: c15117151821d11122, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 11: 55511c11894111c8c8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 8000007e007b000700, Class:  0, CF:0.893239, Len:  6, Fitness_tra: 0
Rule 13: 11312211c1211112d9, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 000000000000000000, Class:  1, CF:2.27596e-15, Len:  0, Fitness_tra: 0
Rule 15: 000000000000000000, Class:  1, CF:2.27596e-15, Len:  0, Fitness_tra: 0
Rule 16: 2d1111c54111811111, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 17: 3e15481111d5111111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: c55133151151111121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 815b47c5451c182222, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 000000000000000080, Class:  1, CF:0.102782, Len:  1, Fitness_tra: -12
Rule 21: 153111111115122555, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 002000000000000000, Class:  1, CF:0.100444, Len:  1, Fitness_tra: 0
Rule 23: 0c0000000000000000, Class:  0, CF:0.251639, Len:  1, Fitness_tra: 112
