------Generation 0------
Rule  1: 52122425c4c27211e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 00a000000000000000, Class:  1, CF:0.280778, Len:  1, Fitness_tra: 1
Rule  3: 000000000000000000, Class:  1, CF:2.27596e-15, Len:  0, Fitness_tra: 0
Rule  4: 215227131821112261, Class:  0, CF:0.982102, Len: 18, Fitness_tra: 0
Rule  5: 8000007e007bc03000, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule  6: 002000000000000000, Class:  1, CF:0.0966889, Len:  1, Fitness_tra: -1
Rule  7: 000000000000000000, Class:  1, CF:2.27596e-15, Len:  0, Fitness_tra: 0
Rule  8: 000000005000000000, Class:  1, CF:0.0719697, Len:  1, Fitness_tra: 0
Rule  9: 000000000000000000, Class:  1, CF:2.27596e-15, Len:  0, Fitness_tra: 0
Rule 10: 85517411c112188147, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 1615b7621e11121122, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: c5d814c31121544711, Class:  1, CF:0.213575, Len: 18, Fitness_tra: 0
Rule 13: 1335121191d3121119, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 14541129bc24122211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 000000000000000000, Class:  1, CF:2.27596e-15, Len:  0, Fitness_tra: 0
Rule 16: 5132218525c1241191, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 000000000000000000, Class:  1, CF:2.27596e-15, Len:  0, Fitness_tra: 0
Rule 18: d00000000000000200, Class:  1, CF:0.413448, Len:  2, Fitness_tra: -4
Rule 19: 00800b0040000c0060, Class:  0, CF:0.993611, Len:  5, Fitness_tra: 0
Rule 20: 000000000000000000, Class:  1, CF:2.27596e-15, Len:  0, Fitness_tra: 0
Rule 21: 0400000000004c0000, Class:  0, CF:0.842085, Len:  3, Fitness_tra: 9
Rule 22: 000000000000000000, Class:  1, CF:2.27596e-15, Len:  0, Fitness_tra: 0
Rule 23: 003000000000000000, Class:  0, CF:0.151928, Len:  1, Fitness_tra: 0
Rule 24: 0000c0000000000300, Class:  0, CF:0.682241, Len:  2, Fitness_tra: 0
Rule 25: 000000000000000000, Class:  1, CF:2.27596e-15, Len:  0, Fitness_tra: 0
Rule 26: 21221421c12218c174, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
