------Generation 0------
Rule  1: 812221ec, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule  2: 12512191, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule  3: d2271252, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule  4: d11d4195, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: d55211e2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 11122452, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 1cc217e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 112111e5, Class:  0, CF:0.999743, Len:  8, Fitness_tra: 0
Rule  9: 8818bb12, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: d5117238, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 8812441c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 13111131, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule 13: 58122155, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 851cbb18, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 81241b1c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 12121762, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 11112731, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 1d817b12, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 28d12238, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 51214498, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: d1127711, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 125c12e4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 21827255, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 58dcb198, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 2121b118, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 85214191, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 5214225c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 5dd87158, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: c5127b38, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 5dd14432, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 2122b111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 0d000000, Class:  0, CF:0.589805, Len:  1, Fitness_tra: 0
Rule 33: 82224191, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: c2c42b38, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 51d54154, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 1d15b412, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: d1814132, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 81227438, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 13d1bb91, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 5111fb91, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 83584418, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 5821b298, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 188c7231, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: dd1c2118, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule 45: 52217be8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 00000000, Class:  0, CF:0.940075, Len:  0, Fitness_tra: 1254
Rule 47: 1254b23c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 112c4491, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 3e2c7252, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 3d114b32, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 82541291, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 1218bb51, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 85284411, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 112c4751, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 41212b52, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 18512432, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 5d8171e2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 88221414, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule 59: 552c1295, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 1211b2e2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 2cd14192, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 18512298, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 55c1179c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 82c14758, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 1122175c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 191471e8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 35811b98, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: d3d12292, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 25817291, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: d1811418, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 00050000, Class:  0, CF:0.946524, Len:  1, Fitness_tra: 1
Rule 72: 185477e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 21811114, Class:  0, CF:0.997823, Len:  8, Fitness_tra: 0
Rule 74: 1111a798, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 125d7295, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 11547b38, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: d551b792, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 1522729c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 11147112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 9128249c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 851c7231, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 1218b114, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 1c422152, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule 84: 1585b798, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 85d117ec, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 51121298, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule 87: 1114723c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 1151b1d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: d182b731, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 1c514491, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 11211198, Class:  0, CF:0.997431, Len:  8, Fitness_tra: 0
Rule 92: 5d84b4e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: cc814b18, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 1882bb92, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 28821b18, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 315134e2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 1d811711, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 5d8812e2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 1d2c7b3c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 185d7b91, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:2.99625
------Result------
Miss_rate(tra)	:2.99625
Miss_rate(tst)	:2.68456
ARL				:6.42857

------Generation 0------
Rule  1: 812221ec, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule  2: 12512191, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule  3: d2271252, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule  4: d11d4195, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: d55211e2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 11122452, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 1cc217e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 112111e5, Class:  0, CF:0.999743, Len:  8, Fitness_tra: 0
Rule  9: 8818bb12, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: d5117238, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 8812441c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 13111131, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule 13: 58122155, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 851cbb18, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 81241b1c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 12121762, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 11112731, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 1d817b12, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 28d12238, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 51214498, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: d1127711, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 125c12e4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 21827255, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 58dcb198, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 2121b118, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 85214191, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 5214225c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 5dd87158, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: c5127b38, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 5dd14432, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 2122b111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 0d000000, Class:  0, CF:0.589805, Len:  1, Fitness_tra: 0
Rule 33: 82224191, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: c2c42b38, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
