------Generation 0------
Rule  1: 15512c8dc928512128, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 00000c000000000000, Class:  0, CF:0.0716315, Len:  1, Fitness_tra: 0
Rule  3: 1854114341128c1212, Class:  2, CF:0.999982, Len: 18, Fitness_tra: 0
Rule  4: 00000000008c000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 5152c255c188241111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 000070000000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 000000000000000002, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: c112cb111c84c42111, Class:  2, CF:0.902839, Len: 18, Fitness_tra: 0
Rule 10: 00e00c004040000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: e00000000020e00000, Class:  2, CF:0.918184, Len:  3, Fitness_tra: 6
Rule 12: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 032000000d00000000, Class:  0, CF:  1, Len:  3, Fitness_tra: 12
Rule 14: 00c0c0000000000b00, Class:  2, CF:0.41055, Len:  3, Fitness_tra: 16
Rule 15: d00000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 000000005000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 0000000e0000000000, Class:  0, CF:0.305342, Len:  1, Fitness_tra: 23
Rule 19: d000000005000c0020, Class:  2, CF:  1, Len:  4, Fitness_tra: 14
Rule 20: 000b0070007b000900, Class:  1, CF:0.224778, Len:  5, Fitness_tra: 0
Rule 21: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
