------Generation 0------
Rule  1: 5a6124e4931152111d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 133412111188581125, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 121144111212122252, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 003000000400000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 513d2c92135512d21d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 000000002000000090, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 511144515921141181, Class:  1, CF:0.0996498, Len: 18, Fitness_tra: -1
Rule  9: 82141b217141141136, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 0000c0000500000050, Class:  2, CF:  1, Len:  3, Fitness_tra: 0
Rule 12: 15511b11c588d12214, Class:  3, CF:0.357064, Len: 18, Fitness_tra: 9
Rule 13: 5118c11dc521823151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 33f11c329159321151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 00000000000000c0d2, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 1131115153d1e21581, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 81d1115dc58c141185, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 0000500000000000e0, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 151bb185118c822222, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 299c121d2118144125, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 152117cd42c4111218, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 291c211513188218c1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 25144429c111588114, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 219211812422242125, Class:  1, CF:0.679333, Len: 18, Fitness_tra: 12
Rule 29: 828c1211411452175e, Class:  1, CF:0.715702, Len: 18, Fitness_tra: 0
Rule 30: 16a1b4f739ea151124, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 1152c1cd48c4c11119, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 00e000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 931121323111a511c1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 300000000000580030, Class:  0, CF:  1, Len:  4, Fitness_tra: 1
Rule 36: 000000000d000c0030, Class:  2, CF:0.781097, Len:  3, Fitness_tra: 22
Rule 37: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 258142cd15221c5112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 3661441413e1121c11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 54d584c811cc121111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 513d4c315311328121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 885772c1154c11187b, Class:  3, CF:0.65573, Len: 18, Fitness_tra: 1
