------Generation 0------
Rule  1: 9312243299d39811d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 251c248143c212158d, Class:  1, CF:  1, Len: 18, Fitness_tra: 1
Rule  5: 1282142d18c4512511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: d0200b0040000c0000, Class:  2, CF:  1, Len:  5, Fitness_tra: 1
Rule  7: c81c41814cc4124111, Class:  2, CF:0.258386, Len: 18, Fitness_tra: -41
Rule  8: 000270000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 000000000000000980, Class:  1, CF:0.171363, Len:  2, Fitness_tra: 2
Rule 10: 000070000000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: d25214731111447c11, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 1957142183c2544115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 1e3d11549955111211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 8351218d45c1d41181, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 3165143c311d121151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 000080000000000000, Class:  0, CF:0.343023, Len:  1, Fitness_tra: 1
Rule 20: 02000c004040000000, Class:  2, CF:0.836014, Len:  4, Fitness_tra: 0
Rule 21: 5515c282151c121195, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 51111b1111181421e6, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 1368b73b6e363812c1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 111212c185212211d1, Class:  2, CF:0.409933, Len: 18, Fitness_tra: -2
Rule 26: 0000c0000000000b00, Class:  2, CF:0.221351, Len:  2, Fitness_tra: 31
Rule 27: 0000800040000c0000, Class:  0, CF:  1, Len:  3, Fitness_tra: 1
Rule 28: 009000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 000000005000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 0004000000070b0000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: cd841215cd82521211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 69f000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 521c17194147211163, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: d00b00000000000004, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 000000000000000009, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 000000000000005000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
