------Generation 0------
Rule  1: 3161119c11913131d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 281242c1154188c222, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule  3: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 000000000b00000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 000000004000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 000000000c00000044, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 000000000000000003, Class:  2, CF:0.0053599, Len:  1, Fitness_tra: -31
Rule  8: 000000000000000030, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: d00000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 0000000a0000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 00000b00000000000c, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 00000c034040000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 00000000e000000000, Class:  2, CF:  1, Len:  1, Fitness_tra: 14
Rule 16: 19a1115111d55415d9, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 000000005000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 5d51141585815421c1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 009c7b00000000000c, Class:  3, CF:0.14044, Len:  5, Fitness_tra: -10
Rule 22: 5188142142cc142519, Class:  1, CF:0.536304, Len: 18, Fitness_tra: 3
Rule 23: d35d1b1c1512148111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 03000c004900080000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 119c14c123cc121285, Class:  1, CF:0.262376, Len: 18, Fitness_tra: 2
Rule 26: 543070000400000000, Class:  2, CF:0.773898, Len:  5, Fitness_tra: 10
Rule 27: 000900000030000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 008000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 1165411119d1171119, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 00f080000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 121247491522121411, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 000000003000000002, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 521217134142142182, Class:  1, CF:0.229784, Len: 18, Fitness_tra: -2
Rule 35: 000000000000005000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 9155c4185d2558c135, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 112124412217212115, Class:  1, CF:0.0156922, Len: 18, Fitness_tra: -106
Rule 40: 1a3c72f4631a351121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 825c212e1412141811, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 2521412d18cc181227, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 000008000000000000, Class:  0, CF:0.663156, Len:  1, Fitness_tra: 3
Rule 45: 009000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 000000000b00000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: d00000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 125221c9821c185247, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 002000000000000008, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 211cc1c311221412e6, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 8152cb138122d21411, Class:  2, CF:0.0533609, Len: 18, Fitness_tra: 0
Rule 52: 81d21421c114d21225, Class:  1, CF:0.233662, Len: 18, Fitness_tra: 2
Rule 53: 0000b0000000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 0000000e0000000000, Class:  0, CF:0.227729, Len:  1, Fitness_tra: 17
Rule 55: 18111158c21c222191, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 0000000e777b000000, Class:  0, CF:0.3704, Len:  5, Fitness_tra: 0
Rule 57: 2521c18118821c2111, Class:  2, CF:  1, Len: 18, Fitness_tra: 0
