------Generation 0------
Rule  1: 00000000000000050f, Class:  2, CF:0.717647, Len:  2, Fitness_tra: 0
Rule  2: 0000000005000c0020, Class:  2, CF:0.712373, Len:  3, Fitness_tra: 0
Rule  3: 000000005000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 1161cc921313941189, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 03000c004900080000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 7000000000000000b0, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 1dd1c285151117129e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 21174b151881d81112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: c5121411282c551cc7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: d3000c0000000000c0, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 5511221151185c1122, Class:  2, CF:  1, Len: 18, Fitness_tra: 0
Rule 13: 000000004040000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 212c17cd41c1512285, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 0c000c000c00c00000, Class:  2, CF:  1, Len:  4, Fitness_tra: 1
Rule 16: 020000000000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 000000005000000900, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 000000000000000400, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 000000000000000006, Class:  2, CF:0.196797, Len:  1, Fitness_tra: 2
Rule 22: 0080c00000400800cc, Class:  0, CF:  1, Len:  6, Fitness_tra: 0
Rule 23: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: c221448948121c2412, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 000000003000000020, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: c12144132184d21242, Class:  3, CF:0.259375, Len: 18, Fitness_tra: -6
Rule 29: 15542ccdc3c81111c1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 551121c11918511c11, Class:  3, CF:0.29437, Len: 18, Fitness_tra: 0
Rule 31: 158212228112512193, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 1e31423251155119de, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 0a0000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 000000003000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 00ec7b00000000000c, Class:  3, CF:0.157486, Len:  5, Fitness_tra: 5
Rule 36: 000000000400c03000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: d00000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 0000000a0000800000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 00a0000b060e000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 090000000500000003, Class:  2, CF:0.724139, Len:  3, Fitness_tra: 10
Rule 42: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 1111123231913c1211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 005000000000000030, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 00808b004200008009, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 300000000000580030, Class:  0, CF:0.957175, Len:  4, Fitness_tra: 0
Rule 48: 8dd42c1525818482c2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 85d4111d218c1277c1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 911241146336181221, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 000008000000000000, Class:  0, CF:0.782059, Len:  1, Fitness_tra: 6
Rule 53: 0000c0000000000b00, Class:  2, CF:0.175846, Len:  2, Fitness_tra: 28
Rule 54: c15122c3484c152224, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 000000000000070000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 000000007d00007000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 000000000000005000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 66112ba23e33181184, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 000000000000d03000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 11121292111192121d, Class:  1, CF:0.420228, Len: 18, Fitness_tra: 0
Rule 62: e331283c31d111315e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 000000000b00000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 85824411852c11247b, Class:  3, CF:0.683341, Len: 18, Fitness_tra: 0
Rule 67: 0a0000000630002005, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 9e1122145359141119, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 000000004000005000, Class:  1, CF:0.151012, Len:  2, Fitness_tra: -15
Rule 70: 000000000008000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 811111851551111121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 000000000600000002, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 0c00007ebc7bc00000, Class:  0, CF:  1, Len:  8, Fitness_tra: 1
Rule 74: 15318115c111271291, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 600000002000000003, Class:  2, CF:0.355446, Len:  3, Fitness_tra: -7
