------Generation 0------
Rule  1: 335b, Class:  2, CF:  1, Len:  4, Fitness_tra: 1
Rule  2: 54c0, Class:  0, CF:0.416667, Len:  3, Fitness_tra: 0
Rule  3: 6007, Class:  2, CF:0.483607, Len:  2, Fitness_tra: 0
Rule  4: 0405, Class:  2, CF:0.364706, Len:  2, Fitness_tra: 7
Rule  5: 5300, Class:  2, CF:-2.77556e-17, Len:  2, Fitness_tra: 0
Rule  6: 1351, Class:  2, CF:0.847938, Len:  4, Fitness_tra: 1
Rule  7: 0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 3215, Class:  2, CF:0.412811, Len:  4, Fitness_tra: 0
Rule  9: 1321, Class:  2, CF:0.743509, Len:  4, Fitness_tra: 1
Rule 10: 0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 9505, Class:  0, CF:0.671958, Len:  3, Fitness_tra: 2
Rule 12: 1122, Class:  2, CF:0.917036, Len:  4, Fitness_tra: 4
Rule 13: 2055, Class:  2, CF:0.766382, Len:  3, Fitness_tra: 5
Rule 14: 0005, Class:  2, CF:0.337838, Len:  1, Fitness_tra: 7
Rule 15: 1619, Class:  2, CF:0.955832, Len:  4, Fitness_tra: 4
Rule 16: 351f, Class:  0, CF:0.95, Len:  4, Fitness_tra: 2
Rule 17: 0050, Class:  2, CF:0.404844, Len:  1, Fitness_tra: 23
Rule 18: 2211, Class:  0, CF:0.917322, Len:  4, Fitness_tra: 3
Rule 19: 6c50, Class:  2, CF:0.886792, Len:  3, Fitness_tra: 5
Rule 20: 5121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 5040, Class:  0, CF:0.399209, Len:  2, Fitness_tra: 1
Rule 22: 4400, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 0b00, Class:  2, CF:0.235294, Len:  1, Fitness_tra: -2
Rule 24: 1253, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 2050, Class:  2, CF:0.166667, Len:  2, Fitness_tra: 0
Rule 26: 0304, Class:  2, CF:0.578059, Len:  2, Fitness_tra: 15
Rule 27: 020b, Class:  0, CF:0.471154, Len:  2, Fitness_tra: 12
Rule 28: 3311, Class:  2, CF:0.301449, Len:  4, Fitness_tra: 0
Rule 29: 11a3, Class:  0, CF:0.333333, Len:  4, Fitness_tra: 0
Rule 30: 3025, Class:  2, CF:0.982196, Len:  3, Fitness_tra: 10
Rule 31: 1131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 5213, Class:  0, CF:0.997555, Len:  4, Fitness_tra: 1
Rule 33: 3040, Class:  2, CF:0.51417, Len:  2, Fitness_tra: 14
Rule 34: 5540, Class:  0, CF:0.940828, Len:  3, Fitness_tra: 19
Rule 35: 4211, Class:  0, CF:0.828236, Len:  4, Fitness_tra: 6
Rule 36: 5112, Class:  0, CF:0.142117, Len:  4, Fitness_tra: 0
Rule 37: 0403, Class:  0, CF:0.550847, Len:  2, Fitness_tra: 25
Rule 38: 2451, Class:  0, CF:0.130035, Len:  4, Fitness_tra: 0
Rule 39: 3312, Class:  2, CF:0.94362, Len:  4, Fitness_tra: 2
Rule 40: 1311, Class:  2, CF:0.135669, Len:  4, Fitness_tra: 0
Rule 41: b153, Class:  2, CF:0.418605, Len:  4, Fitness_tra: 0
Rule 42: 1221, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 1127, Class:  2, CF:0.757143, Len:  4, Fitness_tra: 0
Rule 44: 1593, Class:  0, CF:0.03125, Len:  4, Fitness_tra: 0
Rule 45: 3312, Class:  2, CF:0.94362, Len:  4, Fitness_tra: 0
Rule 46: 5242, Class:  0, CF:0.575205, Len:  4, Fitness_tra: 0
Rule 47: 111c, Class:  2, CF:0.365854, Len:  4, Fitness_tra: 0
Rule 48: 0005, Class:  2, CF:0.337838, Len:  1, Fitness_tra: 0
Rule 49: 3341, Class:  2, CF:0.765101, Len:  4, Fitness_tra: 0
Rule 50: 1311, Class:  2, CF:0.135669, Len:  4, Fitness_tra: 0
Rule 51: 1124, Class:  2, CF:0.84422, Len:  4, Fitness_tra: 4
Rule 52: 1321, Class:  2, CF:0.743509, Len:  4, Fitness_tra: 0
Rule 53: 3151, Class:  2, CF:0.838356, Len:  4, Fitness_tra: 1
Rule 54: 2231, Class:  0, CF:0.985838, Len:  4, Fitness_tra: 0
Rule 55: 5123, Class:  0, CF:0.272997, Len:  4, Fitness_tra: 0
Rule 56: 6000, Class:  2, CF:0.430353, Len:  1, Fitness_tra: 8
Rule 57: 0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 1251, Class:  2, CF:0.0328552, Len:  4, Fitness_tra: 0
Rule 59: 9215, Class:  0, CF:0.760409, Len:  4, Fitness_tra: 1
Rule 60: 2405, Class:  2, CF:0.0810811, Len:  3, Fitness_tra: 0
Rule 61: 1111, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 3640, Class:  2, CF:0.906383, Len:  3, Fitness_tra: 3
Rule 63: 9511, Class:  0, CF:  1, Len:  4, Fitness_tra: 2
Rule 64: 1136, Class:  0, CF:0.320151, Len:  4, Fitness_tra: 0
Rule 65: 1115, Class:  2, CF:0.690362, Len:  4, Fitness_tra: 2
Rule 66: 4256, Class:  0, CF:0.720812, Len:  4, Fitness_tra: 1
Rule 67: 4069, Class:  0, CF:0.393939, Len:  3, Fitness_tra: 1
Rule 68: 1261, Class:  0, CF:0.790882, Len:  4, Fitness_tra: 0
Rule 69: 0320, Class:  2, CF:0.699174, Len:  2, Fitness_tra: 27
Rule 70: 1111, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 0256, Class:  0, CF:0.492424, Len:  3, Fitness_tra: 2
Rule 72: 0340, Class:  2, CF:0.560166, Len:  2, Fitness_tra: 4
Rule 73: 3141, Class:  2, CF:0.496063, Len:  4, Fitness_tra: 0
Rule 74: 5312, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 5560, Class:  0, CF:  1, Len:  3, Fitness_tra: 4
Rule 76: 3131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 2400, Class:  0, CF:0.248139, Len:  2, Fitness_tra: -1
Rule 78: 3304, Class:  2, CF:0.926471, Len:  3, Fitness_tra: 7
Rule 79: 1141, Class:  2, CF:0.263376, Len:  4, Fitness_tra: 0
Rule 80: 5111, Class:  0, CF:0.697774, Len:  4, Fitness_tra: 2
Rule 81: a111, Class:  2, CF:0.170084, Len:  4, Fitness_tra: 0
Rule 82: 4232, Class:  0, CF:0.781053, Len:  4, Fitness_tra: 3
Rule 83: 5000, Class:  0, CF:0.385621, Len:  1, Fitness_tra: 6
Rule 84: 3611, Class:  2, CF:0.375221, Len:  4, Fitness_tra: 0
Rule 85: 1c11, Class:  0, CF:0.276647, Len:  4, Fitness_tra: 0
Rule 86: 2411, Class:  0, CF:0.822026, Len:  4, Fitness_tra: 5
Rule 87: 0230, Class:  0, CF:0.759197, Len:  2, Fitness_tra: 34
Rule 88: 5060, Class:  0, CF:0.875, Len:  2, Fitness_tra: 23
Rule 89: 4121, Class:  2, CF:0.216288, Len:  4, Fitness_tra: 0
Rule 90: 5020, Class:  0, CF:0.0795262, Len:  2, Fitness_tra: 0
Rule 91: 2205, Class:  0, CF:0.0897638, Len:  3, Fitness_tra: 0
Rule 92: 0255, Class:  2, CF:0.776504, Len:  3, Fitness_tra: 5
Rule 93: 1161, Class:  0, CF:0.0269966, Len:  4, Fitness_tra: 0
Rule 94: 1117, Class:  2, CF:0.119938, Len:  4, Fitness_tra: 0
Rule 95: 5507, Class:  0, CF:  1, Len:  3, Fitness_tra: 7
Rule 96: 0534, Class:  0, CF:0.851351, Len:  3, Fitness_tra: 5
Rule 97: 1531, Class:  0, CF:0.887435, Len:  4, Fitness_tra: 0
Rule 98: 1121, Class:  2, CF:0.502218, Len:  4, Fitness_tra: 0
Rule 99: 3541, Class:  0, CF:0.176101, Len:  4, Fitness_tra: 0
Rule100: 1111, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:17.6
------Result------
Miss_rate(tra)	:17.6
Miss_rate(tst)	:20.8
ARL				:3.26437

------Generation 0------
Rule  1: 0230, Class:  0, CF:0.759197, Len:  2, Fitness_tra: 28
Rule  2: 0320, Class:  2, CF:0.699174, Len:  2, Fitness_tra: 25
Rule  3: 0403, Class:  0, CF:0.550847, Len:  2, Fitness_tra: 16
Rule  4: 5060, Class:  0, CF:0.875, Len:  2, Fitness_tra: 21
Rule  5: 0050, Class:  2, CF:0.404844, Len:  1, Fitness_tra: 21
Rule  6: 5540, Class:  0, CF:0.940828, Len:  3, Fitness_tra: 17
Rule  7: 0304, Class:  2, CF:0.578059, Len:  2, Fitness_tra: 11
Rule  8: 3040, Class:  2, CF:0.51417, Len:  2, Fitness_tra: 11
Rule  9: 020b, Class:  0, CF:0.471154, Len:  2, Fitness_tra: 11
Rule 10: 3025, Class:  2, CF:0.982196, Len:  3, Fitness_tra: 9
Rule 11: 6000, Class:  2, CF:0.430353, Len:  1, Fitness_tra: 11
Rule 12: 5507, Class:  0, CF:  1, Len:  3, Fitness_tra: 7
Rule 13: 0005, Class:  2, CF:0.337838, Len:  1, Fitness_tra: 7
Rule 14: 3304, Class:  2, CF:0.926471, Len:  3, Fitness_tra: 2
Rule 15: 0405, Class:  2, CF:0.364706, Len:  2, Fitness_tra: 1
Rule 16: 4211, Class:  0, CF:0.828236, Len:  4, Fitness_tra: 2
Rule 17: 5000, Class:  0, CF:0.385621, Len:  1, Fitness_tra: 6
Rule 18: 0534, Class:  0, CF:0.851351, Len:  3, Fitness_tra: 5
Rule 19: 6c50, Class:  2, CF:0.886792, Len:  3, Fitness_tra: 3
Rule 20: 0255, Class:  2, CF:0.776504, Len:  3, Fitness_tra: 5
Rule 21: 2055, Class:  2, CF:0.766382, Len:  3, Fitness_tra: 5
Rule 22: 2411, Class:  0, CF:0.822026, Len:  4, Fitness_tra: 5
Rule 23: 1124, Class:  2, CF:0.84422, Len:  4, Fitness_tra: 0
Rule 24: 5560, Class:  0, CF:  1, Len:  3, Fitness_tra: 5
Rule 25: 1619, Class:  2, CF:0.955832, Len:  4, Fitness_tra: 3
Rule 26: 0340, Class:  2, CF:0.560166, Len:  2, Fitness_tra: 9
Rule 27: 1122, Class:  2, CF:0.917036, Len:  4, Fitness_tra: 4
Rule 28: 4232, Class:  0, CF:0.781053, Len:  4, Fitness_tra: 3
Rule 29: 2211, Class:  0, CF:0.917322, Len:  4, Fitness_tra: 2
Rule 30: 3640, Class:  2, CF:0.906383, Len:  3, Fitness_tra: 3
Rule 31: 3312, Class:  2, CF:0.94362, Len:  4, Fitness_tra: 0
Rule 32: 351f, Class:  0, CF:0.95, Len:  4, Fitness_tra: 1
Rule 33: 9511, Class:  0, CF:  1, Len:  4, Fitness_tra: 1
Rule 34: 1115, Class:  2, CF:0.690362, Len:  4, Fitness_tra: 2
Rule 35: 9505, Class:  0, CF:0.671958, Len:  3, Fitness_tra: 2
Rule 36: 5111, Class:  0, CF:0.697774, Len:  4, Fitness_tra: 1
Rule 37: 0256, Class:  0, CF:0.492424, Len:  3, Fitness_tra: 3
Rule 38: 335b, Class:  2, CF:  1, Len:  4, Fitness_tra: 1
Rule 39: 1321, Class:  2, CF:0.743509, Len:  4, Fitness_tra: 0
Rule 40: 3151, Class:  2, CF:0.838356, Len:  4, Fitness_tra: 1
Rule 41: 5040, Class:  0, CF:0.399209, Len:  2, Fitness_tra: 0
Rule 42: 9215, Class:  0, CF:0.760409, Len:  4, Fitness_tra: 1
Rule 43: 4256, Class:  0, CF:0.720812, Len:  4, Fitness_tra: 1
Rule 44: 4069, Class:  0, CF:0.393939, Len:  3, Fitness_tra: 1
Rule 45: 1351, Class:  2, CF:0.847938, Len:  4, Fitness_tra: 1
Rule 46: 5213, Class:  0, CF:0.997555, Len:  4, Fitness_tra: 1
Rule 47: 6007, Class:  2, CF:0.483607, Len:  2, Fitness_tra: 0
Rule 48: 0005, Class:  2, CF:0.337838, Len:  1, Fitness_tra: 0
Rule 49: 3341, Class:  2, CF:0.765101, Len:  4, Fitness_tra: 0
Rule 50: 1311, Class:  2, CF:0.135669, Len:  4, Fitness_tra: 0
Rule 51: 5121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 1321, Class:  2, CF:0.743509, Len:  4, Fitness_tra: 0
Rule 53: 1311, Class:  2, CF:0.135669, Len:  4, Fitness_tra: 0
Rule 54: 2231, Class:  0, CF:0.985838, Len:  4, Fitness_tra: 0
Rule 55: 5123, Class:  0, CF:0.272997, Len:  4, Fitness_tra: 0
Rule 56: b153, Class:  2, CF:0.418605, Len:  4, Fitness_tra: 0
Rule 57: 0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 1251, Class:  2, CF:0.0328552, Len:  4, Fitness_tra: 0
Rule 59: 1221, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 2405, Class:  2, CF:0.0810811, Len:  3, Fitness_tra: 0
Rule 61: 1111, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 4400, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 1111, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 1136, Class:  0, CF:0.320151, Len:  4, Fitness_tra: 0
Rule 65: 1253, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 1127, Class:  2, CF:0.757143, Len:  4, Fitness_tra: 0
Rule 67: 1593, Class:  0, CF:0.03125, Len:  4, Fitness_tra: 0
Rule 68: 1261, Class:  0, CF:0.790882, Len:  4, Fitness_tra: 0
Rule 69: 2050, Class:  2, CF:0.166667, Len:  2, Fitness_tra: 0
Rule 70: 1111, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 54c0, Class:  0, CF:0.416667, Len:  3, Fitness_tra: 0
Rule 72: 5300, Class:  2, CF:-2.77556e-17, Len:  2, Fitness_tra: 0
Rule 73: 3141, Class:  2, CF:0.496063, Len:  4, Fitness_tra: 0
Rule 74: 5312, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 3311, Class:  2, CF:0.301449, Len:  4, Fitness_tra: 0
Rule 76: 3131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 3541, Class:  0, CF:0.176101, Len:  4, Fitness_tra: 0
Rule 78: 11a3, Class:  0, CF:0.333333, Len:  4, Fitness_tra: 0
Rule 79: 1141, Class:  2, CF:0.263376, Len:  4, Fitness_tra: 0
Rule 80: 3312, Class:  2, CF:0.94362, Len:  4, Fitness_tra: 0
Rule 81: 0006, Class:  0, CF:0.464286, Len:  1, Fitness_tra: 21
Rule 82: 0004, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 0600, Class:  2, CF:0.473029, Len:  1, Fitness_tra: -1
Rule 84: 3c51, Class:  2, CF:0.647059, Len:  4, Fitness_tra: 0
Rule 85: 1112, Class:  2, CF:0.543846, Len:  4, Fitness_tra: 1
Rule 86: 1124, Class:  2, CF:0.84422, Len:  0, Fitness_tra: 0
Rule 87: 3640, Class:  2, CF:0.906383, Len:  0, Fitness_tra: 0
Rule 88: 3004, Class:  2, CF:0.553648, Len:  2, Fitness_tra: 7
Rule 89: 6300, Class:  2, CF:0.799308, Len:  2, Fitness_tra: 7
Rule 90: 0266, Class:  0, CF:0.977549, Len:  3, Fitness_tra: 6
Rule 91: e311, Class:  0, CF:0.684615, Len:  4, Fitness_tra: 0
Rule 92: c111, Class:  0, CF:0.0740157, Len:  4, Fitness_tra: 0
Rule 93: 0524, Class:  0, CF:0.114967, Len:  3, Fitness_tra: 0
Rule 94: 5315, Class:  2, CF:0.0555556, Len:  4, Fitness_tra: 0
Rule 95: 0409, Class:  2, CF:0.383529, Len:  2, Fitness_tra: 6
Rule 96: 3024, Class:  2, CF:0.862661, Len:  3, Fitness_tra: 5
Rule 97: 3054, Class:  2, CF:0.941606, Len:  3, Fitness_tra: 7
Rule 98: 3541, Class:  0, CF:0.176101, Len:  0, Fitness_tra: 0
Rule 99: 1503, Class:  0, CF:0.632432, Len:  3, Fitness_tra: 3
Rule100: 29c1, Class:  0, CF:0.963783, Len:  4, Fitness_tra: 5
------Current------
Miss_rate(tra)	:15.8
------Result------
Miss_rate(tra)	:15.8
