------Generation 0------
Rule  1: 315e91e1e3619e13169115e33e311fe3311693666191, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 0000000000000000a00000550000000000f000a00500, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: e1339e1a136a6e9119311e1111311a31131396113e33, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 0000a000000000000000000a00500e0000000099f000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 000e00000000000000d500090000a000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 0050009000900000000e00000000000006fa00000009, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 1e1313369e136111331ee6331e99616133311a13a161, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 00000000005000000000000000000000200000000000, Class:  0, CF:0.0367508, Len:  2, Fitness_tra: -3
Rule  9: 000000a000000000000d00000000000005e900f0000a, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 0f000000000055000060000000000000000f000005d0, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 500a00f000000000000f0f0000000000000900090000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 11339ee1116ee113ae5e11131131133a93369161e319, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 13331139113313153111319111111111131333311181, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: e3931ee11a61331613116131131116e61e33ef631193, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 1311513113331111111139e515111113156311111521, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 96913d36311111113691339131113163516191e13111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 33131993696666911939313e313313111366161a1313, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 31931133366a36366691613199e9331111319a611611, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 1191391e316391e6631e3915313166311633593336e6, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 0e600000000006e0e00009000000000000005e900000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 1911e333e1e631331351913e16e1616311a13e61113e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 61311911331393163693151139e91313111633313313, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 3e93931639611663f613e1133311313199ea11133616, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 00000000009000000900000000000000000000000e00, Class:  0, CF:0.378235, Len:  3, Fitness_tra: -2
Rule 25: 1111511111133111333111111311911111611e393151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 00000000000000000000000000000000050000000000, Class:  0, CF:0.120067, Len:  1, Fitness_tra: -29
Rule 27: 600050000005000000af000000009e00d0000d090f0a, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 311133e11331365e9111311959191136e19e11e61131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: e9131113e393661139911336661311131e6159163636, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 99113163131113161313613e393311e16e333e336111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 1111e133116e331119511199313131e1393311613611, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 31131533111111136311331515133116116111191581, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 09000000000000005d00000000000050050500009000, Class:  0, CF:0.599516, Len:  7, Fitness_tra: 0
Rule 34: 3ee33113113366ee3e931e11e119316611331e36e393, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 33311131331111333193331151113311151311e13111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 000e00000000000000d0009900000000000000000006, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 37: 0055000ae0000000000900f000a06a9005000ef00009, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 0000009000000009050500050500000000e000000000, Class:  0, CF:0.396813, Len:  7, Fitness_tra: 0
Rule 39: 115999933139996331916519e9133613e6331116a3e6, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: e6911316f66a163163e11391911e31611e11111163e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 1391e9316e61916ea15113e16311631e91e33116aa16, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 0d00006000000000002d006000000e00500000a00000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 00000000000000000000005000000000000000000000, Class:  0, CF:0.118766, Len:  1, Fitness_tra: -12
Rule 44: 96316ee1666f91aa3111a3631e1116669e6a11e313e3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: e111113633663331191611e33319136aee3e31636139, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 000f00000000000500000000050d0000050500000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 3151619ae51e1e161e99159119351a11111313e61111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 11191111113631111159311111311136111111151115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 005000000000000000000000000000990000d0000000, Class:  0, CF:0.185722, Len:  4, Fitness_tra: -2
Rule 50: 11111111133151111151111211131311151313131111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 600000000000000000000000000060000000000e0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 00000000000000090000000000000000000000000000, Class:  0, CF:0.225245, Len:  1, Fitness_tra: 62
Rule 53: 00000000000000000000000000000000500000f00000, Class:  1, CF:  1, Len:  2, Fitness_tra: 3
Rule 54: 05000000a000e00000000e00600000000000e0000900, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 9e133911e936116161d1eee96eee3311113aea1fa313, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 11311511e11635111151111d11311111111111111115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 0060f000000000f00000000000000009000000f0f005, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 3131153113311151195111555d111331196111113111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: e1133336316ee6136331111e63f11666931e3111e999, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 5513ee33e113311a1911119916e933113361113e3651, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 96911361163696613313113e1e39e1633333131663ea, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 00000060000000000000006000000e00500000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 1191933166f661116191e19133e113169e3111ee9111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 33313133133131553111119111e1113113113116e111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
