------Generation 0------
Rule  1: 000000000000000000000000550000a0000a00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: e93e3119e93653e111133e33e16133333311e1311113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 00000000000000000000090005000000000000090505, Class:  0, CF:0.563394, Len:  5, Fitness_tra: 0
Rule  4: 31e319a63911331ea11e11a631a1ee3ee16361a11133, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 3111353331131991661e311111111e36131113111511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 3e5159e163a3e61e193a31193e393336151eea6331e9, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 9311e9ee99e3113f1391133163e1aa919166d5313e3e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 00000d00000000000000000505000000000000090000, Class:  0, CF:0.541366, Len:  4, Fitness_tra: 18
Rule  9: 0500d000000e6006000a0660000e00005000000000e0, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 0000000500f005000900000000000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 000000000000000000000000000000000000000000d5, Class:  0, CF:0.303399, Len:  2, Fitness_tra: 43
Rule 12: 36e619333e13e33a1999111111a136a633113313e611, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 1331151e333311916e11111111631131113133111111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 000000000000000000000000d00d0000000000f000d0, Class:  1, CF:  1, Len:  4, Fitness_tra: 0
Rule 15: 000000500000000000d5050000000ea0000f0d090000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 00000000060000000a0a000000000000000f000f0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 31151111111111113315111111111153111111311111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 1333353311331111119119319133e61313119ee11311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: a111e16f1613116663de33313e11e31a361313336e11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 119e319e916116361153e1191a19331336e195611e11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 0000000000000000000000000500000000fa00a00500, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 3316e1e1611116113e1333eee39131131916963a3111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 000000000000000000000000000009000000aa000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 00000000000000000000000000a00000050000000000, Class:  1, CF:  1, Len:  2, Fitness_tra: 2
Rule 25: 00600009f00000000000a09000005000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 60e000006e0f0000000000000d0000000000000000d5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 131319e15de331e3ee93e1316319316a1611d1666131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 5000000000006000fa00006000000000500603000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 3e11131311331311a116319e36e1131113331e1361e3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 1133111e316e633133551e611193361ae11359161613, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 0000000000f900f000000000a0a60009000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 0000000000000000a0000000000000000000e00e0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: e65e1ee1333ae6631133313911ee9116391a13336353, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 913315131e6361593113933199953e6a5e13161a1e16, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
