------Generation 0------
Rule  1: 00000000f000000000000000000df000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 311ee11633131313a1163e11631e6e13311631113166, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 0000000000e0000000000a50000600ee000000000000, Class:  1, CF:  1, Len:  6, Fitness_tra: 0
Rule  4: 0000500ea00000000000000000000000050000090505, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 11e39e166e13e311313699133119131111319e133193, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 15111515111111111113111111111111131151111181, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 11111111111111111511115111111111311111121111, Class:  1, CF:  1, Len: 44, Fitness_tra: 0
Rule  8: 0000000000000000000000000f00000900000000006a, Class:  1, CF:  1, Len:  4, Fitness_tra: 1
Rule  9: e119e53131a13316113f1ae93139e3139e1693e13133, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 11111111111111111119513111112111111111111111, Class:  1, CF:  1, Len: 44, Fitness_tra: 0
Rule 11: 131339133333e13e1ee613133ea33f33933199631e19, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 0f000000000000000060000000000000000f0000e500, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 51319e1e111353316ee91933e139113f33e11e366193, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 3e119e33633611311119ee91e3396311113a3633a191, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 1f631931336336e361e6e3331315933a11e61111e3e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 1ee11131163311633691163e3361133a111613661e1e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: d200f6f006f00000000a00000000595efa0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 005500000e09e900000000a000a60009000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 316131e1131a93e36636131e111111111639e1a3661e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 6113e533333119931151131511116311391111335511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 00000d00000000000000000d00000000000000000000, Class:  0, CF:0.311358, Len:  2, Fitness_tra: 29
Rule 22: 00000d000000090000000005000000900000009e05d5, Class:  0, CF:0.712199, Len:  9, Fitness_tra: 0
Rule 23: 131e1311931363e363936113ee311311591113633631, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 31e191e1e56e111e633391311111633feee3916aa116, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 1519e3eee113311a169331136319a116113e9911611e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
