------Generation 0------
Rule  1: 1116113e11161111111131311111e1e1113151135181, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 000000000ae00000000000000000a00000a0000000d0, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 1133e363336691e13e1399e63339613a631311311611, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 0f000000a0000500090005000000000000af500095d0, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 000000a000000000000005000000000000000e000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 0000000000000900000000000000a00000a0000005d0, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 1111196166161111631e113331396313396331e91111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 35e911e119e96fe11e13136ea1e1133fe133516639e3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 1111311133661311111111915511e63311e333111e15, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 05000000000000a00000000000000000000000000000, Class:  1, CF:  1, Len:  2, Fitness_tra: 5
Rule 11: 935111163e66166133163e61363e6a3ae1a113ef3351, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: e35159e1611363ee6111111e39199133116133113151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 9111e361951163113e9ee9633e396116e116331aa9e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 111613e311ff11e133e11111e3113113356e1313e111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 313163161ee131111351e311619111313e3111313696, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 1311351311613339a11631e9e1113111596196113511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 63333111a133e3113e13631539e11e66131311191115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 000d000000000000000000000600a900000000f00000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 1e313513e61663331913ee11e11e1e1e311133613133, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 139193e1111136316691911913e9331f3e361a1316e3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: d20006f500f00000000a00000000d000fa0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 0050009e0000000e090e000000000000060f00e00009, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: eeee351e166156161eee193111951a3f11e391e13691, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 11111511111119111113311151111113111131111515, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 11196e1111311311111e911331191113113111116391, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 111111111111111111191311111111163e1111151111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 119e3569136e1116e3de11916e31611f16f39131e393, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 3311956aee6ae663a139e13e331161e13e331a366311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: e3e99e1111169631361331133631616a3331116f3333, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 13ee11161661ee16a15133131e31166631113e166911, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 331311e369161166a3116e1111693363111311336333, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 313165166913a3ee331e36e1113111161319116e3311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 3193313e311613e3e93331e1e3e5111a6313e1133191, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 1111511112313e111213311111112111118111121115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 0000000000900e00090000e00000000a060000000e5e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 0600000000006a000e000e000000a000000a00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 915515613116311133311111111133113931111e3111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: e1593e31ee1113e1a1931153393161113161361163e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 00000000f0000e0aaf00000000000000000f000000d0, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 500000a0050000050000faffa0000000000060000500, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 11111111111113111111131113112111138211111155, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: e31139631113639e639e13931ee3e13a9e1333611939, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 91919e163e633331635e311ee93ee1319e13e33636e3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 3116336111661111e351131511151113313911131351, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 00000000000000000000000000000000000960000000, Class:  1, CF:  1, Len:  2, Fitness_tra: 1
Rule 46: 00000000000000000000000000000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 1113111111331e111111311111111111191511111113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 169ee963161616566193339111991a1651133316e311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 05000000000000000000000500000000000000fe0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 963193e1e311e63931161699311991119e96313a6e33, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 11111111111111111151511111118111131211111111, Class:  1, CF:  1, Len: 44, Fitness_tra: 0
Rule 52: 00500000000e00f000000000a0a60059000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 311939111161333aa11e11e9eee51616113331633311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 003050000000050e0a00000090000000000000000000, Class:  1, CF:  1, Len:  6, Fitness_tra: 1
Rule 55: 161339eee9e13333331e91919111e11ae31616136311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 00000000000000000000000000000000000000900000, Class:  0, CF:0.234688, Len:  1, Fitness_tra: 45
Rule 57: 36e13e31e11111133611163136331613366651113313, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 1319133631636661613111191319111e31635e9e1191, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 0000000000000000a000000000000900500000000500, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 00000000000000000000000000a60000000000000000, Class:  1, CF:  1, Len:  2, Fitness_tra: 3
Rule 61: 111111111313111113511111111113111116d1935121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 00000000600f0ee0000000500d0000000000000095d5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 11993511316e1333115333e3ee396a1333e631116336, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 0000000000000000900e000000000000000000050000, Class:  0, CF:0.228991, Len:  3, Fitness_tra: -14
Rule 65: 0000000000500500000082d0000000052d000050000a, Class:  1, CF:  1, Len: 10, Fitness_tra: 1
Rule 66: 05060000000000000005000000a009f00000000e0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 3613e13111aa33e1e31331116111e611311911133119, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 161319311166e35e3113131111191161131311111151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 000000000005e0000000000a0f00905ed50000009000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: e63919a1ef3f6133a1139135e1116316513e96311399, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 113131e111133e366333a1351e1e131a161333111e1e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 500090e00eaf6000000e00e0000000000000f000000e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 391e19e1e96113936e3911133915113f199e96ea33e9, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 15151111311111111151111111115111111111352111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 600900000000000000000050dd000000000000e090d0, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 50000000e000000000060000000ee00000a000000050, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 135511e1111111131611111911311153391111111111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 11e31331116a3e3a33161199131e11133e1313331e13, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: e1e1e331eaaa1316361e3e3339e9131359311a6a1313, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 113161ea113f311e1191e93195193661113e16e3e13e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: e163193ee336a6316396e91136911613ee3e11361191, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: e69311396aaa3113339a13e3113ee63319fe93661ae1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: e193913a31e1161331d13163ee331316131616e1a111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 0000e000000000000e000000000500000e0000000000, Class:  0, CF:0.336178, Len:  4, Fitness_tra: 0
Rule 85: 0500000000000000000900000000e09055ee00000000, Class:  0, CF:0.346738, Len:  8, Fitness_tra: 0
Rule 86: 931111311111111113d1111111111111113111131121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 511119e133e3113e33111931911316e19e11111a3e1e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 1111e511613611911653319993e1ee113ee311195115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 513195e193e6e3e3113e9199eee36aaf1111136361e3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 6000000ef0f0000000009e000500000f050000009000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 311915311e363111131111111561313e15131e111551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: e11e1311e93111111153ae3633311a13933391361ee3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 15511111111113111111111115111111331111111111, Class:  1, CF:  1, Len: 44, Fitness_tra: 0
Rule 94: 000e000000e0000000d09099ee950e00660000000006, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 511e59e1631136e11113333133e933319ee311633311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 00000000000e60060036660033000000006a90e000e0, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 31111d111311133111111e31131511333111e33e1151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 0000000000000000000000000000000000ee000e0000, Class:  0, CF:0.382611, Len:  3, Fitness_tra: 2
Rule 99: 935991933163133661193139eee11116e1661a333691, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 000000000000000000000f0000000000000000000000, Class:  1, CF:  1, Len:  1, Fitness_tra: 4
------Current------
Miss_rate(tra)	:46.0733
------Result------
Miss_rate(tra)	:46.0733
Miss_rate(tst)	:70.3704
ARL				:9.28571

------Generation 0------
Rule  1: 00000000000000000000000000000000000000900000, Class:  0, CF:0.234688, Len:  1, Fitness_tra: 43
Rule  2: 05000000000000a00000000000000000000000000000, Class:  1, CF:  1, Len:  2, Fitness_tra: 5
Rule  3: 000000000000000000000f0000000000000000000000, Class:  1, CF:  1, Len:  1, Fitness_tra: 4
Rule  4: 00000000000000000000000000a60000000000000000, Class:  1, CF:  1, Len:  2, Fitness_tra: 3
Rule  5: 0000000000000000000000000000000000ee000e0000, Class:  0, CF:0.382611, Len:  3, Fitness_tra: 0
Rule  6: 003050000000050e0a00000090000000000000000000, Class:  1, CF:  1, Len:  6, Fitness_tra: 1
Rule  7: 0000000000500500000082d0000000052d000050000a, Class:  1, CF:  1, Len: 10, Fitness_tra: 1
Rule  8: 00000000000000000000000000000000000960000000, Class:  1, CF:  1, Len:  2, Fitness_tra: 1
Rule  9: 1116113e11161111111131311111e1e1113151135181, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 000000000ae00000000000000000a00000a0000000d0, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 935111163e66166133163e61363e6a3ae1a113ef3351, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: e35159e1611363ee6111111e39199133116133113151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
