------Generation 0------
Rule  1: 3331931113119913131331133319916a6e19531e1611, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 050000000000000000000000000000000000000e0000, Class:  0, CF:0.40953, Len:  2, Fitness_tra: 50
Rule  3: 11511ee113111113a191311ee19111111e1116331131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 0000a000a000f00f0f00000000000099000000f0a005, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 000000000000000500050000000d0000000000600505, Class:  1, CF:  1, Len:  6, Fitness_tra: 0
Rule  6: 96911d1a11661191ae1e93f333a11363531311163e31, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 11131111133111113391151111e11111339e33331151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: e333616e3e6131133639331e33991161131111a11156, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 00000005000005050000000000000000000500000000, Class:  0, CF:0.287205, Len:  4, Fitness_tra: -5
Rule 10: 333319e3113a1ee161e1319e39191133313131333131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 131313133331339e619111191d113e63596313191555, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 0000500000000000000000000000e050000000000000, Class:  0, CF:0.257447, Len:  3, Fitness_tra: -5
Rule 13: 11131113913311113351311112111113113135111121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 3191e96133131e39611315316361e113311ee3aa631a, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 0000000000005000000000000000000e000000000000, Class:  0, CF:0.226791, Len:  2, Fitness_tra: -32
Rule 16: 13e13e33191313333351913391333a3fe611111a1191, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 00000205000005050000000000000000000500000000, Class:  0, CF:0.305318, Len:  5, Fitness_tra: 0
Rule 18: 91e11111e33a31e363969316e133e1131e66336316ef, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: d0000650000000000000005000000a0a0e00009f0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 11e33133391e3e3116d111311911a1619e3633133311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 000f00050000000005000000aa0000000055f0000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: e3313531eea11333ee11313163331a661133e13a1611, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 31e315e6e3e36ee1311133113ee1611191e613616191, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 99933e16111313116e51311136e116319e31ee6131e6, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 1331e1e6e933111e111993e11113631a11619e161e39, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 13131111631661e3333113131115e31111e31e31a11a, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 31111e63616111966331e199e9e531111961ea3633e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
