------Generation 0------
Rule  1: 13e13ee1316a9191e191e1111e69ea333131e331e193, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 000000006e0a09e0000000500d00000f0000000000d5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 1e1115365913e119e3111e9eee9911613313311a1311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 1359e5e31e6e9e131611113ee16e61131e6111131696, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 9931913e1131166316e9ae1631e16336396e51111336, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 00005000000000000000000000000000000000000900, Class:  0, CF:0.36842, Len:  2, Fitness_tra: 33
Rule  7: 00505000000000000e00000000000000000000000000, Class:  0, CF:0.133339, Len:  3, Fitness_tra: -1
Rule  8: 6f61613663311333319661159e11e3319ee333e63e53, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 115999efe93133113e313111391131e69e33333a33e6, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 161e351f611316ee19916353e1353116361336163333, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 0d0d0000000005000000000d00000000000000000000, Class:  0, CF:0.335159, Len:  4, Fitness_tra: 6
Rule 12: 33616111e31311116e53a33393931333ee3111633359, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 11115111111113511111911911111111131111121115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 16516316e3311e13135e1e9311e111161111911313e3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 33ee11113e1e113316ee3633161113363e16991fee1e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 09005050000000000000500000505900000000000000, Class:  0, CF:0.437475, Len:  7, Fitness_tra: 0
Rule 17: 11111111113113118213133913312216131111111159, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 00000e00e0a00000e000000000056a000009000f0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 00500000000000a000000000000000e90000d0000000, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 20: 00000000660a00000000000000000000000000000005, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 13111961ee31333613e6313311311a16133391ea133e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 6191911333a3e6166311111361e111e3ee31316363e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 9651191369619e33313931e9e31ea31e3131336f3616, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 0000506000a0000eea00000000060e00000000009f00, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 00a00050000000000065050f00a000fe000000000a00, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 00000000000000000000005000005900000000000000, Class:  0, CF:0.365212, Len:  3, Fitness_tra: 23
Rule 27: 000d00000000ff00e500000fa0f0000f0055050005d0, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 135199161333631131331ee331136313e96319e3131e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: ee9991111331391111e1313ee1111693151313611193, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 11e1e11631363e316191ee9931196136ee63e3311e11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 16311116313e31116e5199113915e3ea31e1e1113191, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 3e9e33311936331133e11631ee13636611331e61e191, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 00000000000005a000000000000009000d000d000000, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 34: 1e1131131363933163e131331611eae61e613a313636, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 000000a000000000000000000000500000000f00a000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 05000000a0000500000500000000000005f000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 115e13e31e33111633111d31111e31e1e1aa313666e3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: e13e111313199e661139e111ee196a3313161aa1f31a, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 131339e6111a631311e3313e3339136611331166119e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: e1131536a1311113639131153515133a1e1111333151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
