------Generation 0------
Rule  1: c2123427b, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule  2: c54951282, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 000000000, Class:  1, CF:1.66533e-16, Len:  0, Fitness_tra: 0
Rule  4: 221857c24, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule  5: 28315187b, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule  6: 15e5145b1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 000020000, Class:  0, CF:0.061, Len:  1, Fitness_tra: 30
Rule  8: 854154117, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 1131d41b7, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 10: 151597822, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: c11132442, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 12: 82e214c21, Class:  0, CF:0.355366, Len:  9, Fitness_tra: 0
Rule 13: 11145bd21, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 154d14217, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 5c3554127, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 189c1227b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 000c00000, Class:  0, CF:0.167758, Len:  1, Fitness_tra: 73
Rule 18: 15125b117, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 19: 000d00000, Class:  0, CF:  1, Len:  1, Fitness_tra: 5
Rule 20: 21315727c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 1861141b1, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 22: 521217121, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 23: c23152171, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 500000000, Class:  0, CF:  1, Len:  1, Fitness_tra: 6
Rule 25: c13214c2b, Class:  0, CF:  1, Len:  9, Fitness_tra: 0
Rule 26: 000000000, Class:  1, CF:1.66533e-16, Len:  0, Fitness_tra: 0
Rule 27: 5161d1212, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 000000000, Class:  1, CF:1.66533e-16, Len:  0, Fitness_tra: 0
