------Generation 0------
Rule  1: 1135123c3155122221, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 1138472511c1211111, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule  4: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 511541d2115151125d, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule  6: 31311b371913311124, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule  7: 5215c415c422212131, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule  8: e11521341519e41111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 13ad11311ed1541d13, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 21521c118522582285, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 000000000000070000, Class:  0, CF:0.111346, Len:  1, Fitness_tra: 4
Rule 12: e3651ce293139c4319, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 700000000000000000, Class:  0, CF:0.125421, Len:  1, Fitness_tra: 53
Rule 15: 12d52b852222122591, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 0000000000000c000d, Class:  0, CF:0.609411, Len:  2, Fitness_tra: 0
Rule 17: 252bb125418c28c211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 35311294dd2d111151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 0b7000b60000000b00, Class:  1, CF:0.420641, Len:  5, Fitness_tra: 0
Rule 20: 51dc77811d8c521181, Class:  1, CF:0.542612, Len: 18, Fitness_tra: 0
Rule 21: 000500000c8c00b000, Class:  0, CF:0.580256, Len:  5, Fitness_tra: 0
Rule 22: 000000004000000000, Class:  1, CF:0.165742, Len:  1, Fitness_tra: 13
Rule 23: 1111c4dc81d81221dd, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: d91587dc538d1c115d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 00e070e73000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 000000000088000000, Class:  1, CF:0.18384, Len:  2, Fitness_tra: -1
Rule 28: 800050000000dc00e0, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 000000002300000000, Class:  1, CF:0.183232, Len:  2, Fitness_tra: 0
Rule 30: 0000b0000000000000, Class:  1, CF:0.0267047, Len:  1, Fitness_tra: 0
Rule 31: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 12dc4bc111112c431d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 0080000040000c0000, Class:  0, CF:0.86704, Len:  3, Fitness_tra: 1
Rule 34: 51982281158cd71115, Class:  1, CF:0.821988, Len: 18, Fitness_tra: 0
Rule 35: 5518411811528742d9, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 000000000000a00002, Class:  0, CF:0.0788211, Len:  2, Fitness_tra: 0
Rule 38: 050cc0000508000050, Class:  0, CF:  1, Len:  6, Fitness_tra: 0
Rule 39: 3e118251ded9112151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 00200000400000c000, Class:  1, CF:0.312679, Len:  3, Fitness_tra: 6
Rule 41: 118711c122c11211c2, Class:  1, CF:0.277684, Len: 18, Fitness_tra: 0
Rule 42: 113122346e13152111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 3111c21818d1511115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 51d211412111511291, Class:  0, CF:0.456194, Len: 18, Fitness_tra: 0
Rule 45: 11a1275c1111d42911, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 516d44e13951ec7111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 000000000080000000, Class:  1, CF:0.174335, Len:  1, Fitness_tra: -2
Rule 49: 1124272e7117c11827, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 50: d00000000000000000, Class:  1, CF:0.334454, Len:  1, Fitness_tra: 70
Rule 51: 211131214511511281, Class:  1, CF:0.171107, Len: 18, Fitness_tra: 0
Rule 52: 125cc12dcc12141115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 11244215c1c2122222, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 54: 12dc4451812c721513, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 55: 819242112522121121, Class:  1, CF:0.33033, Len: 18, Fitness_tra: 0
Rule 56: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 3e151c111125e41c2d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 000240002000008003, Class:  0, CF:0.460843, Len:  5, Fitness_tra: 0
Rule 59: 0008c0000000000000, Class:  0, CF:0.766416, Len:  2, Fitness_tra: 0
Rule 60: c5221b89281c121472, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 0000b0000000c00000, Class:  0, CF:0.025829, Len:  2, Fitness_tra: 0
Rule 62: 5112227112b2112233, Class:  1, CF:0.990954, Len: 18, Fitness_tra: 0
Rule 63: d8ed221c1851541119, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 000000000c00000000, Class:  0, CF:0.0683121, Len:  1, Fitness_tra: 0
Rule 65: 818221134142c11259, Class:  1, CF:0.656503, Len: 18, Fitness_tra: 0
Rule 66: 00000000000000000d, Class:  1, CF:0.198686, Len:  1, Fitness_tra: -3
Rule 67: 0000b0000000008000, Class:  1, CF:0.284229, Len:  2, Fitness_tra: 4
Rule 68: 070c0b0000c0c00000, Class:  1, CF:0.499858, Len:  5, Fitness_tra: 0
Rule 69: 14c27129121bc22242, Class:  1, CF:0.681705, Len: 18, Fitness_tra: 0
Rule 70: 5c1217121251412115, Class:  1, CF:0.932884, Len: 18, Fitness_tra: 0
Rule 71: 81514481118cc11155, Class:  1, CF:0.426505, Len: 18, Fitness_tra: 0
Rule 72: 03008b004000000069, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 0000c0000000000000, Class:  0, CF:0.860106, Len:  1, Fitness_tra: 19
Rule 74: 52d217511c152211e3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 00e5c0585050000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 000000490007000000, Class:  1, CF:0.0728264, Len:  3, Fitness_tra: 0
Rule 77: 11111114515391111d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: d71cc281cc1cc418d3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 0a00000b063e002000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 1168229413dd1115d3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 00e080004040000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 916821912d15925121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: e00240000000000000, Class:  1, CF:0.845279, Len:  3, Fitness_tra: 0
Rule 84: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 15511785c8c884823e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 116517343313181182, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 000000004000000000, Class:  1, CF:0.165742, Len:  1, Fitness_tra: 0
Rule 88: 1812472182c45c1112, Class:  0, CF:0.998254, Len: 18, Fitness_tra: 0
Rule 89: 00000070007000000b, Class:  0, CF:0.196955, Len:  3, Fitness_tra: 2
Rule 90: 3312b1621133651114, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: e33821179553515181, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 00e50b005000000d00, Class:  0, CF:0.245729, Len:  5, Fitness_tra: 0
Rule 93: c18717c38182181221, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 370000000000000000, Class:  0, CF:0.269535, Len:  2, Fitness_tra: 36
Rule 95: 133111671936112124, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 000000430000c00000, Class:  1, CF:0.306134, Len:  3, Fitness_tra: 1
Rule 97: d00000000800000000, Class:  1, CF:0.369792, Len:  2, Fitness_tra: 13
Rule 98: 000000000000009000, Class:  1, CF:0.441437, Len:  1, Fitness_tra: 14
Rule 99: 2c1144c122cc1211d5, Class:  1, CF:0.158164, Len: 18, Fitness_tra: 0
Rule100: 215111152122122222, Class:  1, CF:0.901704, Len: 18, Fitness_tra: 0
------Current------
Miss_rate(tra)	:54.947
------Result------
Miss_rate(tra)	:54.947
Miss_rate(tst)	:36.4706
ARL				:7.35484

------Generation 0------
Rule  1: d00000000000000000, Class:  1, CF:0.334454, Len:  1, Fitness_tra: 75
Rule  2: 700000000000000000, Class:  0, CF:0.125421, Len:  1, Fitness_tra: 46
Rule  3: 370000000000000000, Class:  0, CF:0.269535, Len:  2, Fitness_tra: 37
Rule  4: 0000c0000000000000, Class:  0, CF:0.860106, Len:  1, Fitness_tra: 20
Rule  5: 000000000000009000, Class:  1, CF:0.441437, Len:  1, Fitness_tra: 13
Rule  6: d00000000800000000, Class:  1, CF:0.369792, Len:  2, Fitness_tra: 13
Rule  7: 000000004000000000, Class:  1, CF:0.165742, Len:  1, Fitness_tra: 24
Rule  8: 00200000400000c000, Class:  1, CF:0.312679, Len:  3, Fitness_tra: 11
Rule  9: 000000000000070000, Class:  0, CF:0.111346, Len:  1, Fitness_tra: -3
Rule 10: 0000b0000000008000, Class:  1, CF:0.284229, Len:  2, Fitness_tra: 1
Rule 11: 00000070007000000b, Class:  0, CF:0.196955, Len:  3, Fitness_tra: 1
Rule 12: 000000430000c00000, Class:  1, CF:0.306134, Len:  3, Fitness_tra: 2
Rule 13: 0080000040000c0000, Class:  0, CF:0.86704, Len:  3, Fitness_tra: 1
Rule 14: 1135123c3155122221, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 12d52b852222122591, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 0000000000000c000d, Class:  0, CF:0.609411, Len:  2, Fitness_tra: 0
Rule 17: 252bb125418c28c211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
