------Generation 0------
Rule  1: c15221cd1282212172, Class:  1, CF:0.999378, Len: 18, Fitness_tra: 0
Rule  2: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 0050007e07b0000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 0005cb005000000000, Class:  0, CF:0.338557, Len:  4, Fitness_tra: 0
Rule  6: 000000000000000080, Class:  1, CF:0.119143, Len:  1, Fitness_tra: 11
Rule  7: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 21d8c42511c2111135, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: c004b0000000000002, Class:  1, CF:0.0319498, Len:  4, Fitness_tra: 0
Rule 10: 000000000000000002, Class:  1, CF:0.107865, Len:  1, Fitness_tra: 5
Rule 11: 000000000000000009, Class:  1, CF:0.180946, Len:  1, Fitness_tra: -4
Rule 12: 300000000000580030, Class:  0, CF:  1, Len:  4, Fitness_tra: 0
Rule 13: 313111929e1d9c1585, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 000000000b00000000, Class:  0, CF:0.0716373, Len:  1, Fitness_tra: -3
Rule 15: 0000000c000d000000, Class:  1, CF:  1, Len:  2, Fitness_tra: 0
Rule 16: 000000000c0000003e, Class:  1, CF:  1, Len:  3, Fitness_tra: 0
Rule 17: 04e040005400000000, Class:  1, CF:0.500291, Len:  5, Fitness_tra: 0
Rule 18: 0000080be00e000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 1111122dc182142281, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: c8814b2581c1d12121, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 22: 5c2111117211c812c1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 21dc1225851214228c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 1154211315c1141115, Class:  1, CF:0.646563, Len: 18, Fitness_tra: 0
Rule 25: 2812228dc81852111c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 006000000000000000, Class:  1, CF:0.0618307, Len:  1, Fitness_tra: 0
Rule 27: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 19a22151915514115d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 00000c000000000000, Class:  0, CF:  1, Len:  1, Fitness_tra: 3
Rule 30: c884148d2144d25847, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 133522129913315225, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 500c0000c000080000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 000c7000500000b000, Class:  0, CF:0.0707972, Len:  4, Fitness_tra: 0
Rule 35: 2d3421c521841c14c2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 12314151528122511d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 1281bbc18142dc2271, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 38: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 2932148d21c18415cd, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 00f000000000000000, Class:  0, CF:0.127579, Len:  1, Fitness_tra: 0
