------Generation 0------
Rule  1: 15d111c51552111811, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule  2: 331981e11115325e89, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 911227121519111512, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: e9a212529151921551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: c1113115151c111221, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule  7: 000000002008000000, Class:  1, CF:0.299246, Len:  2, Fitness_tra: 0
Rule  8: 000800000000000000, Class:  1, CF:0.291787, Len:  1, Fitness_tra: -3
Rule  9: 000000005005000000, Class:  0, CF:0.346319, Len:  2, Fitness_tra: 0
Rule 10: c52214238d4c5c2511, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 11: 000000000000000002, Class:  1, CF:0.111232, Len:  1, Fitness_tra: 1
Rule 12: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 000000090000000000, Class:  0, CF:0.352306, Len:  1, Fitness_tra: -3
Rule 14: 00000000000000000e, Class:  1, CF:0.114083, Len:  1, Fitness_tra: 0
Rule 15: 33124212a133611117, Class:  0, CF:0.120428, Len: 18, Fitness_tra: 0
Rule 16: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 000000000000000030, Class:  0, CF:0.258604, Len:  1, Fitness_tra: 18
Rule 18: 0000000000000000b0, Class:  0, CF:0.165936, Len:  1, Fitness_tra: 40
Rule 19: 1581c4114214172266, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 20: 1e611ce11113521121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 000000000c00000000, Class:  0, CF:0.0628623, Len:  1, Fitness_tra: 0
Rule 22: 000c00000000008000, Class:  1, CF:0.584962, Len:  2, Fitness_tra: 40
Rule 23: 12822441b414121291, Class:  0, CF:0.774982, Len: 18, Fitness_tra: 0
Rule 24: 000000000800000000, Class:  1, CF:0.13474, Len:  1, Fitness_tra: -1
Rule 25: 00000b000000500004, Class:  1, CF:0.408847, Len:  3, Fitness_tra: 0
Rule 26: 82dcc2cd141c4712dd, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 393312111351e233d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 00000000500000e000, Class:  1, CF:  1, Len:  2, Fitness_tra: 0
Rule 29: 189c14cd8144272193, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 531d211151599c2111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: e00000000000000000, Class:  1, CF:0.723791, Len:  1, Fitness_tra: 13
Rule 34: 00000000000000000a, Class:  0, CF:0.474896, Len:  1, Fitness_tra: 49
Rule 35: d000000b000000c000, Class:  1, CF:0.553875, Len:  3, Fitness_tra: 1
Rule 36: 0000000000000000e0, Class:  0, CF:0.480079, Len:  1, Fitness_tra: 14
Rule 37: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 3111c29155593111d3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 133811e139d9111929, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 1315cc941111e29181, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 000d00000500000000, Class:  1, CF:0.120198, Len:  2, Fitness_tra: 0
Rule 42: 21524785212c8c1c21, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 1d54442141c11c1181, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 44: 13182434e1131c1122, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 8551118119211821c2, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 47: d151211121212b8859, Class:  1, CF:0.23549, Len: 18, Fitness_tra: 0
Rule 48: 1151c7511282d11133, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 49: 991dc1119939521585, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 1a1d11979e31341213, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: d00000000000000000, Class:  1, CF:0.401522, Len:  1, Fitness_tra: 81
Rule 52: 009000000000000000, Class:  1, CF:0.396834, Len:  1, Fitness_tra: 26
Rule 53: 115c24c51811211459, Class:  1, CF:0.376619, Len: 18, Fitness_tra: 0
Rule 54: c81124c14224821481, Class:  0, CF:0.164336, Len: 18, Fitness_tra: 0
Rule 55: 000000000700000000, Class:  0, CF:0.132854, Len:  1, Fitness_tra: 31
Rule 56: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 9165c414de11e41515, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 020000000000000000, Class:  1, CF:0.0426228, Len:  1, Fitness_tra: 0
Rule 59: e36111919e591c4c29, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 311121a16396312181, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: d1382481c811c42235, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 000070000000007000, Class:  0, CF:0.0705442, Len:  2, Fitness_tra: 0
Rule 63: 815141c511cc275185, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 000b000000b0000000, Class:  0, CF:0.148816, Len:  2, Fitness_tra: 2
Rule 65: 2152211125c1812427, Class:  1, CF:0.433369, Len: 18, Fitness_tra: 0
Rule 66: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 000000000000000040, Class:  1, CF:0.101783, Len:  1, Fitness_tra: 15
Rule 68: 00dc00cd4000000200, Class:  1, CF:0.810105, Len:  6, Fitness_tra: 0
Rule 69: 0000000e0000000000, Class:  0, CF:0.346495, Len:  1, Fitness_tra: 0
