------Generation 0------
Rule  1: 99a14c125115315555, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 13184c925151141119, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 000000000600000002, Class:  1, CF:0.0887387, Len:  2, Fitness_tra: 0
Rule  5: 182c214111c1822112, Class:  1, CF:0.542587, Len: 18, Fitness_tra: 0
Rule  6: 00c700000000008200, Class:  0, CF:0.0831423, Len:  4, Fitness_tra: 0
Rule  7: 849c1b151c12177111, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule  8: e13dc2e43151912111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 000000003000000002, Class:  0, CF:0.214102, Len:  2, Fitness_tra: 91
Rule 10: ed61cc3132dd525159, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 1d24222121811122c2, Class:  1, CF:0.73953, Len: 18, Fitness_tra: 0
Rule 12: 531d129451d5122251, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 000000000000e02000, Class:  0, CF:0.585621, Len:  2, Fitness_tra: 0
Rule 14: 005000c500c00c0002, Class:  0, CF:  1, Len:  6, Fitness_tra: 0
Rule 15: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 00c000b0b07b400d88, Class:  1, CF:0.397558, Len:  9, Fitness_tra: 0
Rule 17: 19684c94999531115e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 000000005000000500, Class:  1, CF:0.232844, Len:  2, Fitness_tra: 0
Rule 19: 25582115182c522111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 21112b891218111212, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 21: 228c22294221b42111, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 22: 000000000000400000, Class:  0, CF:0.00250847, Len:  1, Fitness_tra: 0
Rule 23: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 18e2225c8818541811, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 25: 2d52141941111c1142, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 000070000000007000, Class:  0, CF:0.0839416, Len:  2, Fitness_tra: 6
Rule 28: 25112b451512118411, Class:  1, CF:0.545093, Len: 18, Fitness_tra: 0
Rule 29: 005000000000080000, Class:  0, CF:  1, Len:  2, Fitness_tra: 0
Rule 30: 300200000000000000, Class:  0, CF:0.234352, Len:  2, Fitness_tra: 11
Rule 31: 2154415dc528111181, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 00900000000000000e, Class:  1, CF:0.766807, Len:  2, Fitness_tra: 8
Rule 33: 81d227814182221115, Class:  1, CF:0.78707, Len: 18, Fitness_tra: 0
Rule 34: 11681114d3d35c5c55, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 133221179191322211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
