------Generation 0------
Rule  1: 2111721d15815115c5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 0000000000b0000000, Class:  0, CF:0.168415, Len:  1, Fitness_tra: 14
Rule  3: 0000c0000000000c00, Class:  0, CF:0.919381, Len:  2, Fitness_tra: 1
Rule  4: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 2c2421197727219821, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 000000000000000b00, Class:  0, CF:0.0319491, Len:  1, Fitness_tra: 1
Rule  7: 1931219131159c1151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 556547145d1d9411d5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 0c0000000000000000, Class:  0, CF:0.26085, Len:  1, Fitness_tra: 137
Rule 10: 1158cb21c2224c1569, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 003000000000009000, Class:  1, CF:0.123643, Len:  2, Fitness_tra: 0
Rule 12: 009000000000000000, Class:  1, CF:0.412935, Len:  1, Fitness_tra: 33
Rule 13: 90000000d000008000, Class:  1, CF:0.667581, Len:  3, Fitness_tra: 0
Rule 14: 0e0000000000000000, Class:  0, CF:0.138267, Len:  1, Fitness_tra: 0
Rule 15: 313111973359121511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 15111b1912c722121d, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 17: 0000000000000009d0, Class:  1, CF:0.677743, Len:  2, Fitness_tra: 2
Rule 18: 121811111144171819, Class:  1, CF:0.426325, Len: 18, Fitness_tra: 0
Rule 19: 17c2b14e421b111181, Class:  1, CF:0.354569, Len: 18, Fitness_tra: 0
Rule 20: 000000000000702000, Class:  0, CF:0.0456783, Len:  2, Fitness_tra: 0
Rule 21: 000000000000008000, Class:  1, CF:0.260555, Len:  1, Fitness_tra: 7
Rule 22: 000000000000050000, Class:  0, CF:  1, Len:  1, Fitness_tra: 4
Rule 23: 2111172e4517125212, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 133744cd25c22c2182, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: d00000000000000000, Class:  1, CF:0.406965, Len:  1, Fitness_tra: 97
Rule 26: 00000000000000dd00, Class:  1, CF:0.847698, Len:  2, Fitness_tra: 8
Rule 27: e131143259d1511253, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
