------Generation 0------
Rule  1: 6315123c51d31111d3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 000c00000000000002, Class:  1, CF:0.399323, Len:  2, Fitness_tra: 16
Rule  3: 000000000000007000, Class:  0, CF:0.0626889, Len:  1, Fitness_tra: -5
Rule  4: 19154c375119141351, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 5c87141e7474111211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 9332bb646133181112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 000000005000000400, Class:  1, CF:0.0920409, Len:  2, Fitness_tra: 0
Rule  8: d00000000000000000, Class:  1, CF:0.382943, Len:  1, Fitness_tra: 58
Rule  9: 000000000000080dcc, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 000000520000000000, Class:  1, CF:0.375539, Len:  2, Fitness_tra: 0
Rule 11: 000000000000000500, Class:  1, CF:0.364369, Len:  1, Fitness_tra: 22
Rule 12: 00f000003000000300, Class:  0, CF:0.585515, Len:  3, Fitness_tra: 6
Rule 13: d000000b0000000000, Class:  1, CF:0.494267, Len:  2, Fitness_tra: 11
Rule 14: 0e0000000500000003, Class:  0, CF:0.982644, Len:  3, Fitness_tra: 4
Rule 15: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 00900b002000000008, Class:  1, CF:0.581545, Len:  4, Fitness_tra: 0
Rule 17: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 951d711218d2521253, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 000080000000000000, Class:  0, CF:  1, Len:  1, Fitness_tra: 5
Rule 20: 5e6dc29213d91131d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 611111145955921513, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 259c14112d22d81215, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 51511b89212c821217, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 131124111511d41221, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 25: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 1e62175215139c5881, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 1138b4ab3333121114, Class:  1, CF:0.990358, Len: 18, Fitness_tra: 0
Rule 28: 000000000000000008, Class:  1, CF:0.192487, Len:  1, Fitness_tra: -39
Rule 29: 020000002000000000, Class:  1, CF:0.154384, Len:  2, Fitness_tra: 0
Rule 30: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 00f000000000000000, Class:  0, CF:0.0803862, Len:  1, Fitness_tra: 0
Rule 32: 00080b0000c0c00000, Class:  1, CF:0.478332, Len:  4, Fitness_tra: 0
Rule 33: 1e38415111d5111c21, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 25211b13c522d21422, Class:  1, CF:0.438946, Len: 18, Fitness_tra: 0
Rule 35: 1c151c282c88112531, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 1111146419e6651141, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 2851278dc221551111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 1d811721451c111521, Class:  0, CF:0.191474, Len: 18, Fitness_tra: 0
Rule 40: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 1d511411c522141119, Class:  1, CF:0.393767, Len: 18, Fitness_tra: 0
Rule 42: 00000000000000000c, Class:  1, CF:0.0547966, Len:  1, Fitness_tra: 0
Rule 43: 000080000000000000, Class:  0, CF:  1, Len:  1, Fitness_tra: 0
Rule 44: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 8000007e007bc03000, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 47: 00900b000000000002, Class:  1, CF:0.559777, Len:  3, Fitness_tra: 9
Rule 48: 9e6222915155521125, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 16a121673316182122, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
