------Generation 0------
Rule  1: 218b41c1c281581214, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 8514725d211c885115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 0d0080008088000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 000000004000009000, Class:  1, CF:0.631565, Len:  2, Fitness_tra: 11
Rule  5: 1332149c1ed591d159, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 000000000c00000080, Class:  1, CF:0.141106, Len:  2, Fitness_tra: -4
Rule  7: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 8511421281111211d5, Class:  1, CF:0.284357, Len: 18, Fitness_tra: 0
Rule  9: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 0000c0080000000000, Class:  0, CF:  1, Len:  2, Fitness_tra: 6
Rule 11: 30e04c0000000b0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 00e00c00404400000e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 000000000000000005, Class:  1, CF:0.175225, Len:  1, Fitness_tra: -22
Rule 14: 9161219cd55d545113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 51d11125c5c1521111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 05000000000008c000, Class:  0, CF:  1, Len:  3, Fitness_tra: 0
Rule 17: 0000b0070000000000, Class:  1, CF:0.133838, Len:  2, Fitness_tra: -3
Rule 18: 131c47626133321114, Class:  0, CF:0.500667, Len: 18, Fitness_tra: 0
Rule 19: 91312b3211133821c1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 22171113c222288d11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 000c70000000000000, Class:  1, CF:0.301221, Len:  2, Fitness_tra: -24
Rule 22: cd112ccdc112511111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 2d8222c9182c518122, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 521c21452142441412, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 26: 00000000b0d50b0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 080000000c00000082, Class:  1, CF:0.29521, Len:  4, Fitness_tra: -1
Rule 28: 000080000500000000, Class:  0, CF:  1, Len:  2, Fitness_tra: 0
Rule 29: 11a1445c13191c5e53, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 0a0000003030005008, Class:  1, CF:0.0438912, Len:  5, Fitness_tra: 0
Rule 31: 000400000040000000, Class:  1, CF:0.260274, Len:  2, Fitness_tra: 189
Rule 32: 000000000000000d00, Class:  1, CF:0.356922, Len:  1, Fitness_tra: 37
Rule 33: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 000000000000000002, Class:  1, CF:0.102545, Len:  1, Fitness_tra: -28
Rule 35: 00007700e000d00000, Class:  0, CF:  1, Len:  4, Fitness_tra: 0
Rule 36: 000080004000007000, Class:  0, CF:  1, Len:  3, Fitness_tra: 0
