------Generation 0------
Rule  1: 131144ab1113651282, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 500000000000000000, Class:  1, CF:0.425023, Len:  1, Fitness_tra: 11
Rule  3: 111124c5cd14181111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 211c22111124212131, Class:  0, CF:0.393376, Len: 18, Fitness_tra: 0
Rule  5: c527b485118c18c12b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 000cc0000000000000, Class:  0, CF:0.815323, Len:  2, Fitness_tra: 6
Rule  8: 5d11419c58d1d22181, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 115c421545cc811115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 00e000000000000002, Class:  1, CF:0.54602, Len:  2, Fitness_tra: 11
Rule 11: c814711142121c8818, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 12: 121c2119112c512781, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 000000000000070005, Class:  1, CF:0.188758, Len:  2, Fitness_tra: -3
Rule 14: c5821b1988211c5812, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 080000000507000000, Class:  1, CF:0.186236, Len:  3, Fitness_tra: 0
Rule 16: 5131c7d85d1d5c1115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 2c924b8124c1841122, Class:  1, CF:0.644037, Len: 18, Fitness_tra: 0
Rule 18: 182b2bc91814582214, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 000000004000000000, Class:  1, CF:0.173106, Len:  1, Fitness_tra: -65
Rule 20: 000000004000000000, Class:  1, CF:0.173106, Len:  1, Fitness_tra: 0
Rule 21: d000000005000c0020, Class:  0, CF:  1, Len:  4, Fitness_tra: 0
Rule 22: 115c22194212112728, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 003070000000000000, Class:  0, CF:0.251814, Len:  2, Fitness_tra: 32
Rule 24: cd12222d12c21c1282, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 00000c002020005003, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 000040003000000d03, Class:  1, CF:0.546571, Len:  4, Fitness_tra: 0
Rule 27: 5a6121113159311155, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 0000000000000000b8, Class:  1, CF:0.162956, Len:  2, Fitness_tra: -10
Rule 29: 008080000000000000, Class:  0, CF:  1, Len:  2, Fitness_tra: 4
Rule 30: 000000000090ec0000, Class:  0, CF:  1, Len:  3, Fitness_tra: 0
Rule 31: 9e11429713151452d3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 185121814812111155, Class:  1, CF:0.124913, Len: 18, Fitness_tra: 0
Rule 33: 3118223193d3911583, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 000c00000400000000, Class:  1, CF:0.32564, Len:  2, Fitness_tra: 7
Rule 35: 33314212518394dc81, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: c11224812211111141, Class:  1, CF:0.0172015, Len: 18, Fitness_tra: 0
Rule 38: 511117294524118221, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 5111c11d21c1225511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 000070000000000000, Class:  1, CF:0.00717344, Len:  1, Fitness_tra: 0
Rule 42: 5118c721221c121419, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 43: c151221dc84cd25112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 000070005000000000, Class:  1, CF:0.214324, Len:  2, Fitness_tra: 0
Rule 45: 00f000000000000000, Class:  0, CF:0.0629939, Len:  1, Fitness_tra: 0
Rule 46: 0d0000000000002000, Class:  1, CF:0.48602, Len:  2, Fitness_tra: 34
Rule 47: 800000000000040cc0, Class:  1, CF:0.391647, Len:  4, Fitness_tra: 0
Rule 48: 3318c25c1311975155, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 030000000000000000, Class:  0, CF:0.016209, Len:  1, Fitness_tra: 0
Rule 50: 2211c481185c1181d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 9931125c1959112115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: e9a1225491d1911119, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 115c112dc8c2511112, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 54: 1814448941111c1811, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 5511228d191c211125, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: cd1136111514511211, Class:  0, CF:0.107658, Len: 18, Fitness_tra: 0
Rule 57: 1e32c21751511418d5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 153524925515d11121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 000000004000000000, Class:  1, CF:0.173106, Len:  1, Fitness_tra: 0
Rule 61: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 15651411d12d514d19, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 020000000000005000, Class:  1, CF:0.532483, Len:  2, Fitness_tra: -10
Rule 64: 00e080004040000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 000200000000000006, Class:  0, CF:0.564945, Len:  2, Fitness_tra: 11
Rule 66: 211414c1c321541118, Class:  1, CF:0.520424, Len: 18, Fitness_tra: 0
Rule 67: 313d845131951cb111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 000000000000008200, Class:  1, CF:0.384944, Len:  2, Fitness_tra: 3
Rule 69: 1a154114391f1811cb, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 00000000000000000e, Class:  1, CF:0.047246, Len:  1, Fitness_tra: -6
Rule 71: 3931813c99d1945329, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 5d5841122112511555, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 73: 228441c1228c552212, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 000000000000000500, Class:  1, CF:0.341909, Len:  1, Fitness_tra: 14
Rule 75: 1d121c8dc188211185, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: d1958458cc2c121d11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 1e1dc2171e19e21111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: d40000000000b00030, Class:  1, CF:0.217871, Len:  4, Fitness_tra: 0
Rule 79: 009000000000000000, Class:  1, CF:0.388826, Len:  1, Fitness_tra: 68
Rule 80: dd0000000d00500000, Class:  1, CF:0.394757, Len:  4, Fitness_tra: 0
Rule 81: 3315cce21359511123, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 1d1111c11182212841, Class:  1, CF:0.00863098, Len: 18, Fitness_tra: 0
Rule 83: 9115c1e11139322221, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 81d41211c11c112111, Class:  1, CF:0.490869, Len: 18, Fitness_tra: 0
Rule 85: 393d143c1955119151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 009080002000000c00, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 21d1c7c915828c2213, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 815244c5251c1c11c5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 00000c000000009000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 936117341151181112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: c1c447412717181111, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 92: 33152b14631315c111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 1251c1814118c21d21, Class:  1, CF:0.646766, Len: 18, Fitness_tra: 0
Rule 94: 089000000000004800, Class:  1, CF:0.420566, Len:  4, Fitness_tra: 0
Rule 95: 25121ccd2112821118, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 000000060000000000, Class:  1, CF:0.211283, Len:  1, Fitness_tra: -1
Rule 97: d2152182118c4115e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 00d080004000000000, Class:  0, CF:  1, Len:  3, Fitness_tra: 0
Rule 99: 000d00000000000000, Class:  0, CF:0.300022, Len:  1, Fitness_tra: 0
Rule100: 196d48341955121211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:75.4417
------Result------
Miss_rate(tra)	:75.4417
Miss_rate(tst)	:62.3529
ARL				:6.17308

------Generation 0------
Rule  1: 009000000000000000, Class:  1, CF:0.388826, Len:  1, Fitness_tra: 69
Rule  2: 0d0000000000002000, Class:  1, CF:0.48602, Len:  2, Fitness_tra: 34
Rule  3: 003070000000000000, Class:  0, CF:0.251814, Len:  2, Fitness_tra: 24
Rule  4: 000000000000000500, Class:  1, CF:0.341909, Len:  1, Fitness_tra: 16
Rule  5: 500000000000000000, Class:  1, CF:0.425023, Len:  1, Fitness_tra: 13
Rule  6: 000200000000000006, Class:  0, CF:0.564945, Len:  2, Fitness_tra: 3
Rule  7: 00e000000000000002, Class:  1, CF:0.54602, Len:  2, Fitness_tra: 11
Rule  8: 000c00000400000000, Class:  1, CF:0.32564, Len:  2, Fitness_tra: 5
Rule  9: 000cc0000000000000, Class:  0, CF:0.815323, Len:  2, Fitness_tra: 6
Rule 10: 008080000000000000, Class:  0, CF:  1, Len:  2, Fitness_tra: 4
Rule 11: 000000000000008200, Class:  1, CF:0.384944, Len:  2, Fitness_tra: -3
Rule 12: 131144ab1113651282, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 196d48341955121211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: c5821b1988211c5812, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 080000000507000000, Class:  1, CF:0.186236, Len:  3, Fitness_tra: 0
Rule 16: 5131c7d85d1d5c1115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 2c924b8124c1841122, Class:  1, CF:0.644037, Len: 18, Fitness_tra: 0
Rule 18: 182b2bc91814582214, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 000000004000000000, Class:  1, CF:0.173106, Len:  1, Fitness_tra: -60
Rule 20: d000000005000c0020, Class:  0, CF:  1, Len:  4, Fitness_tra: 0
Rule 21: 115c22194212112728, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: c527b485118c18c12b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: cd12222d12c21c1282, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 00000c002020005003, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 000040003000000d03, Class:  1, CF:0.546571, Len:  4, Fitness_tra: 0
Rule 26: 5a6121113159311155, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 000000000090ec0000, Class:  0, CF:  1, Len:  3, Fitness_tra: 0
Rule 29: 9e11429713151452d3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
