------Generation 0------
Rule  1: c1314c8d19c11c81c5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 118111134c44121111, Class:  0, CF:0.0929593, Len: 18, Fitness_tra: 0
Rule  3: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: d8000000080000c000, Class:  1, CF:0.480605, Len:  4, Fitness_tra: 16
Rule  5: d00b00000000000004, Class:  1, CF:0.312466, Len:  3, Fitness_tra: 3
Rule  6: cd14142d8882512128, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule  7: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 2d124c1d211c1c4125, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 363dc212931e5721c3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 21d2c211112c122125, Class:  0, CF:0.45503, Len: 18, Fitness_tra: 0
Rule 11: 009070000050000000, Class:  0, CF:0.512877, Len:  3, Fitness_tra: 1
Rule 12: 15a5c151d12d122111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 6000080c000000000e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 133524171931381122, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 55351cd815d1141159, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 5ea5223c191de23c89, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 000500025c00000000, Class:  0, CF:0.0481253, Len:  4, Fitness_tra: 0
Rule 18: 0000000005000c0020, Class:  0, CF:  1, Len:  3, Fitness_tra: 0
Rule 19: 0000000f0000000000, Class:  1, CF:0.0157647, Len:  1, Fitness_tra: 0
Rule 20: 00a040000080000003, Class:  1, CF:  1, Len:  4, Fitness_tra: 0
Rule 21: 21c2b441818c252241, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 51e121521121522185, Class:  1, CF:0.939374, Len: 18, Fitness_tra: 0
Rule 23: 002050000000000000, Class:  0, CF:  1, Len:  2, Fitness_tra: 2
Rule 24: 000000000000000b00, Class:  0, CF:0.0967253, Len:  1, Fitness_tra: 30
Rule 25: 02000c00404000e000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 0a0000000a00000000, Class:  1, CF:0.102168, Len:  2, Fitness_tra: -2
Rule 27: 1914141dc1c11124c5, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 28: 000d00d0d000000000, Class:  0, CF:0.0978641, Len:  3, Fitness_tra: 0
Rule 29: 116242921159942151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 0e000000e00e0700c0, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 31: 050000000000000000, Class:  1, CF:0.198468, Len:  1, Fitness_tra: -12
Rule 32: 00f070000000000000, Class:  0, CF:0.0883789, Len:  2, Fitness_tra: 0
Rule 33: c1147223112255c111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 000000004000000000, Class:  1, CF:0.168928, Len:  1, Fitness_tra: 3
Rule 35: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: ed38115cd111122111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 182747814c111c51c8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 800000000000000000, Class:  1, CF:0.19018, Len:  1, Fitness_tra: 3
Rule 39: 51d51b5c8528141155, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 39611431111534d88d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 000000000000c00000, Class:  0, CF:0.0624128, Len:  1, Fitness_tra: 7
Rule 42: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
