------Generation 0------
Rule  1: c484271e2112c11124, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule  2: 000000008088000050, Class:  1, CF:0.399939, Len:  4, Fitness_tra: 0
Rule  3: 0000000c5000000000, Class:  1, CF:  1, Len:  2, Fitness_tra: 0
Rule  4: 000000000000000003, Class:  0, CF:0.384384, Len:  1, Fitness_tra: 85
Rule  5: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 1565c15c8515d22d1d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 1812212341cb2211c1, Class:  1, CF:0.241091, Len: 18, Fitness_tra: 0
Rule  8: 9112741113366211c1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 000080004000000000, Class:  0, CF:  1, Len:  2, Fitness_tra: 0
Rule 10: 000070000000000000, Class:  1, CF:0.0115957, Len:  1, Fitness_tra: 0
Rule 11: 531414cd15c1111285, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 00c0000007b0080004, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 13: 5c21112942c7cc2c15, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 11352212d959171d55, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 8312241559241c21c5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 000000004000000050, Class:  0, CF:0.00519463, Len:  2, Fitness_tra: 0
Rule 18: 241814cd121217251e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 21811bc94284112221, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 24dc12124182121111, Class:  1, CF:0.167148, Len: 18, Fitness_tra: 0
Rule 21: 0d00c0000000d00005, Class:  1, CF:0.597061, Len:  4, Fitness_tra: 0
Rule 22: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 2252478348421c4412, Class:  0, CF:0.993631, Len: 18, Fitness_tra: 0
Rule 24: 003c400d50000b5000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 13312b115111121115, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 26: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 181cc4551c8c241115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 31381711d585511121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
