------Generation 0------
Rule  1: 111142151221215522, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule  2: 000000000000003000, Class:  0, CF:0.0317706, Len:  1, Fitness_tra: -67
Rule  3: 155c14211dc72c218d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 316174141933112521, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 5c122b43b142c1c293, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 1662116b6e31a811cb, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 336117143991121112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 51352111d111111151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: c127b425c1c4812142, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 111124515151523213, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 11: 155221c2111c245228, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 12: 111122cd418228c221, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 13: 25d22b8148228c1821, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 14: 36f14117339aa11114, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 3135141231d5141151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: d8274111121481c5c1, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 17: 1d51181141c8541218, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 13d11121c1c2187215, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 211ccc8519c1dc5882, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 57517b794c44121196, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 519121114514141466, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 22: 331524329153345155, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 1e311c343951521153, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: d03000000000000000, Class:  0, CF:0.00258189, Len:  2, Fitness_tra: 0
Rule 25: c187124924224722e3, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 26: 1111249113d91211d9, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 14d2228542c4114115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 5005008d848c000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: d000c0000000400000, Class:  0, CF:  1, Len:  3, Fitness_tra: 0
Rule 30: 218224c51144181172, Class:  1, CF:0.999579, Len: 18, Fitness_tra: 0
