------Generation 0------
Rule  1: c1117c851dc11cd2c5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 22d121192842125151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 2114241971c282c4d5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 25121285c124d1b111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 81d212434887212451, Class:  0, CF:0.99838, Len: 18, Fitness_tra: 0
Rule  6: 000b000000000cd008, Class:  1, CF:  1, Len:  4, Fitness_tra: 0
Rule  7: 1531175c211212c119, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 000000060000000800, Class:  0, CF:  1, Len:  2, Fitness_tra: 51
Rule  9: 871227b97171b22c31, Class:  1, CF:0.994142, Len: 18, Fitness_tra: 0
Rule 10: 22127229244744181e, Class:  1, CF:0.965156, Len: 18, Fitness_tra: 0
Rule 11: 519c415585241b7113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 8114122d5ec8522c18, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 19e52cdc111d521253, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 513142e45153544125, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 8152b1212221512241, Class:  0, CF:0.999798, Len: 18, Fitness_tra: 0
Rule 16: d5d7212978121c1425, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 19d1412159cc148115, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 18: 53151112de8934155d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: ddd81b118822211155, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 20: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 581211c94811549111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 136112143355915511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 1c3144821c81822551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 916112925311921111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 82c777c91814815521, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 81124181531451c881, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 27: e61142929113319485, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 00000b02505000300d, Class:  0, CF:  1, Len:  6, Fitness_tra: 0
Rule 29: 5d311458c5c1241119, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 1918418d21c1d8c251, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 1211114348c211c893, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 8122111e4242b122d8, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 33: 1d542b29c82cd11211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 15111325211411125d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 119d2752d1511c1c95, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 00000b000000000000, Class:  1, CF:0.00795389, Len:  1, Fitness_tra: 63
Rule 37: 1111c715418c141133, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 523871581852121113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 128141232cb1c21115, Class:  0, CF:0.864685, Len: 18, Fitness_tra: 0
