------Generation 0------
Rule  1: 113d419191d1141115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 8214724e211b74211e, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule  3: 000000000000007000, Class:  1, CF:0.0627596, Len:  1, Fitness_tra: 188
Rule  4: 5ead14111119541555, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 9161445cd521521191, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 111211791122277112, Class:  1, CF:0.879459, Len: 18, Fitness_tra: 0
Rule  7: c55171c1418cd52874, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 511241d11122c42113, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule  9: 131221e45151945529, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 115811c14d18229811, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 11: 1252842d1241c1111e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 11222771217b711195, Class:  0, CF:0.771186, Len: 18, Fitness_tra: 0
Rule 13: 8d11241121125c5212, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 14: 9162441213d5515525, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 000b00b00000000d00, Class:  0, CF:0.705134, Len:  3, Fitness_tra: 22
Rule 16: 828717254cc2218211, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 17: 000070000000000000, Class:  0, CF:0.0792352, Len:  1, Fitness_tra: -167
Rule 18: 141144212121424115, Class:  0, CF:0.271893, Len: 18, Fitness_tra: 0
Rule 19: 02d00b080000009000, Class:  1, CF:0.935172, Len:  5, Fitness_tra: 1
Rule 20: 125122211224114111, Class:  0, CF:0.79113, Len: 18, Fitness_tra: 0
Rule 21: 000000000000c00d00, Class:  0, CF:0.934118, Len:  2, Fitness_tra: -1
Rule 22: 81d22bcd421c518285, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 1814b44122712c24c4, Class:  1, CF:0.877932, Len: 18, Fitness_tra: 0
Rule 24: c1511121c1cc221124, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 25: 53384c55c5c4112212, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 15e8242c2511141239, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
