------Generation 0------
Rule  1: 1511c47e2114c41791, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 4111142948c1114211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 000000800080000000, Class:  0, CF:  1, Len:  2, Fitness_tra: 179
Rule  4: 11c24111128418121b, Class:  1, CF:0.899544, Len: 18, Fitness_tra: -1
Rule  5: 316d425115d19422d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 1d91111dc58c111515, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 1132772125cc8c1113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 2c1741cd1114211142, Class:  1, CF:0.881844, Len: 18, Fitness_tra: -2
Rule  9: 913111e21193112119, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: e3122c9c51d1545111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 936527325151542559, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 1d53111d4534d31115, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 13: 815c1155292c2c4215, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 133c221291d15c1128, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 82144413212b2725e6, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 18512711782b178211, Class:  1, CF:0.803549, Len: 18, Fitness_tra: 0
Rule 17: 1211c1254824111233, Class:  1, CF:0.528938, Len: 18, Fitness_tra: 0
Rule 18: d51117811528242211, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 19: 85dc12151882d21281, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 215224131111221115, Class:  0, CF:0.934199, Len: 18, Fitness_tra: 1
Rule 21: 0000000005000000d0, Class:  0, CF:0.866077, Len:  2, Fitness_tra: 8
Rule 22: 21d2c2c125821c3221, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 23: 81127173b27b41d114, Class:  0, CF:0.618395, Len: 18, Fitness_tra: 0
Rule 24: 333124111151925111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 133517341193311111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: c11741c189cc141521, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 27: 336114326131612112, Class:  1, CF:0.329358, Len: 18, Fitness_tra: -1
Rule 28: 12217bc5cd24512811, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 511842521581541111, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 30: 5c912785411c841151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 91151b175111188181, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 00000000000000c002, Class:  1, CF:0.0271189, Len:  2, Fitness_tra: 57
Rule 33: 00000000000000000c, Class:  1, CF:0.0634219, Len:  1, Fitness_tra: 218
Rule 34: c114b7414127c15121, Class:  0, CF:0.523857, Len: 18, Fitness_tra: 1
Rule 35: 111c112e1527c7c231, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 511514345359311119, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 1c1142112244141451, Class:  0, CF:0.812925, Len: 18, Fitness_tra: -3
Rule 38: 513cc715cd2217159e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 27141723b21b712116, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 40: 15d4122545c25211c1, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 41: 1111212921211b2163, Class:  1, CF:0.0815213, Len: 18, Fitness_tra: 0
