------Generation 0------
Rule  1: 813211cd13822181c1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 28114271152184c251, Class:  0, CF:0.971424, Len: 18, Fitness_tra: 0
Rule  3: 116511122555174219, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 0700000004b0000000, Class:  1, CF:0.27195, Len:  3, Fitness_tra: 163
Rule  5: 12111755c1ccc14951, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 000000000b00000000, Class:  1, CF:0.0787295, Len:  1, Fitness_tra: 14
Rule  7: 51158415211c111111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 235c12214dc81c4b15, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: d35c1c1d1312184211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 11131115415c112c81, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 223421214184c11555, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 11314711c521d25113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 55d8c18521118112e3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 5151215519215c2dcd, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 5135c2158d25573131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 316124911315311115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 1d3772c5851c521841, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 815c215d1d12121211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 5552c12d18cc17146a, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: d42714434177721c18, Class:  0, CF:0.999081, Len: 18, Fitness_tra: 0
Rule 21: 528c44231871c21133, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 22: 3315cc9153d9125115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 855412c5c52822c125, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 911822911511118251, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 25: 02000c000040200000, Class:  1, CF:0.480075, Len:  4, Fitness_tra: 0
Rule 26: 916111129353141211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: c521c21122248c1c1c, Class:  1, CF:0.987116, Len: 18, Fitness_tra: 0
Rule 28: 885441214522811442, Class:  0, CF:0.999652, Len: 18, Fitness_tra: 0
Rule 29: 11181721c412141193, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 111844371199381511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 8881128145c1d1871b, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 32: 519511d85c28111511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 1938141d1d21515c1d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 5d5331214111111111, Class:  0, CF:0.999338, Len: 18, Fitness_tra: 0
Rule 36: 8554248d83cc121588, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 996522e25315325189, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 111b4115c12c222c74, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 1c51211228c2122953, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 112217437247458114, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 41: 0d200b000000d00000, Class:  0, CF:0.994048, Len:  4, Fitness_tra: 169
Rule 42: 1212441114424b1131, Class:  1, CF:0.0514642, Len: 18, Fitness_tra: 0
Rule 43: 8191c1c5cd211b2153, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 51511111c58c8451e1, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 45: 00000000000000000c, Class:  1, CF:0.0757534, Len:  1, Fitness_tra: -4
Rule 46: 8c12c141782bcb1266, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 0d00008d8080d00000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 24114b217c112111dd, Class:  0, CF:0.532962, Len: 18, Fitness_tra: 0
Rule 49: 511c11c5c5c2c241e3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: cd1c148111425114c2, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 51: 22211b138811881121, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 52: 121c4111222c242111, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 53: 1135119411533c212d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 52e8c11d2d22271c53, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 1665c1145111111411, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 111114149e93682121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 295814218d28541151, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 58: 1334115d4118882228, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: dd352c11111151315e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
