------Generation 0------
Rule  1: d6d421d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 23814e2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 0000000, Class:  1, CF:1.11022e-16, Len:  0, Fitness_tra: 0
Rule  4: 3952435, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 1155831, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 0077000, Class:  0, CF:0.160214, Len:  2, Fitness_tra: 0
Rule  7: 007b000, Class:  0, CF:0.139498, Len:  2, Fitness_tra: 0
Rule  8: 5317133, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 0007000, Class:  0, CF:0.188248, Len:  1, Fitness_tra: 0
Rule 10: 00b0000, Class:  1, CF:0.303793, Len:  1, Fitness_tra: -1
Rule 11: 00000d0, Class:  0, CF:0.215113, Len:  1, Fitness_tra: 0
Rule 12: 0000000, Class:  1, CF:1.11022e-16, Len:  0, Fitness_tra: 0
Rule 13: 1ed4411, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 14: 1e5b231, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 1184218, Class:  0, CF:0.95607, Len:  7, Fitness_tra: 0
Rule 16: 55d1731, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: d351211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 5922111, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 19: 4040004, Class:  0, CF:0.578159, Len:  3, Fitness_tra: 21
Rule 20: 3135111, Class:  1, CF:0.151481, Len:  7, Fitness_tra: 0
Rule 21: de811e2, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 22: 135176d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 0000000, Class:  1, CF:1.11022e-16, Len:  0, Fitness_tra: 0
Rule 24: 0008000, Class:  0, CF:0.486715, Len:  1, Fitness_tra: 3
Rule 25: 0604700, Class:  1, CF:0.730411, Len:  3, Fitness_tra: 0
Rule 26: 0000000, Class:  1, CF:1.11022e-16, Len:  0, Fitness_tra: 0
Rule 27: 5151261, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 8614431, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 007b000, Class:  0, CF:0.139498, Len:  2, Fitness_tra: 0
Rule 30: 000c000, Class:  0, CF:0.363576, Len:  1, Fitness_tra: 2
Rule 31: 0600000, Class:  1, CF:0.707879, Len:  1, Fitness_tra: 0
Rule 32: 0000000, Class:  1, CF:1.11022e-16, Len:  0, Fitness_tra: 0
Rule 33: 9e51515, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 34: 5582151, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 35: 5155c11, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 36: 531113d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 5611418, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 2552251, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 39: 4040007, Class:  0, CF:0.394958, Len:  3, Fitness_tra: 0
Rule 40: 0000000, Class:  1, CF:1.11022e-16, Len:  0, Fitness_tra: 0
Rule 41: 0600000, Class:  1, CF:0.707879, Len:  1, Fitness_tra: 0
Rule 42: 161581d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
