------Generation 0------
Rule  1: 13c2b, Class:  0, CF:0.962908, Len:  5, Fitness_tra: 0
Rule  2: 9c414, Class:  0, CF:0.358464, Len:  5, Fitness_tra: 0
Rule  3: d0000, Class:  2, CF:0.162746, Len:  1, Fitness_tra: -25
Rule  4: 31447, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 00000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 52241, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 231b2, Class:  2, CF:0.982954, Len:  5, Fitness_tra: 3
Rule  8: 11142, Class:  2, CF:0.958461, Len:  5, Fitness_tra: 0
Rule  9: 35c77, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 10: d1142, Class:  2, CF:0.987394, Len:  5, Fitness_tra: 0
Rule 11: d1227, Class:  2, CF:0.896521, Len:  5, Fitness_tra: 0
Rule 12: 18112, Class:  1, CF:0.141243, Len:  5, Fitness_tra: 0
Rule 13: 51274, Class:  2, CF:0.945338, Len:  5, Fitness_tra: 0
Rule 14: d2144, Class:  2, CF:0.883912, Len:  5, Fitness_tra: 0
Rule 15: 1c141, Class:  0, CF:0.242335, Len:  5, Fitness_tra: 0
Rule 16: 52174, Class:  2, CF:0.883981, Len:  5, Fitness_tra: 0
Rule 17: 1c122, Class:  0, CF:0.576504, Len:  5, Fitness_tra: 0
Rule 18: e11b1, Class:  2, CF:0.958954, Len:  5, Fitness_tra: 2
Rule 19: 09500, Class:  1, CF:  1, Len:  2, Fitness_tra: 0
Rule 20: d224b, Class:  2, CF:0.419818, Len:  5, Fitness_tra: 0
Rule 21: 11577, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 22: 00000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 05c00, Class:  1, CF:  1, Len:  2, Fitness_tra: 7
Rule 24: 62411, Class:  1, CF:0.999165, Len:  5, Fitness_tra: 1
Rule 25: 04700, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 35c4b, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 27: 5c241, Class:  0, CF:0.256437, Len:  5, Fitness_tra: 0
Rule 28: 322b4, Class:  1, CF:0.763925, Len:  5, Fitness_tra: 0
Rule 29: 51242, Class:  2, CF:0.97523, Len:  5, Fitness_tra: 0
Rule 30: 11412, Class:  2, CF:0.440728, Len:  5, Fitness_tra: 0
Rule 31: 18144, Class:  0, CF:0.0831971, Len:  5, Fitness_tra: 0
Rule 32: 18411, Class:  1, CF:0.868466, Len:  5, Fitness_tra: 11
Rule 33: 00000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 581b4, Class:  0, CF:0.413929, Len:  5, Fitness_tra: 0
Rule 35: 31441, Class:  1, CF:0.560127, Len:  5, Fitness_tra: 0
Rule 36: d1477, Class:  2, CF:0.866295, Len:  5, Fitness_tra: 0
Rule 37: dd1b4, Class:  1, CF:0.0305063, Len:  5, Fitness_tra: 0
Rule 38: 04700, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: dc112, Class:  0, CF:0.868447, Len:  5, Fitness_tra: 0
Rule 40: 12442, Class:  2, CF:0.707152, Len:  5, Fitness_tra: 0
Rule 41: 12174, Class:  2, CF:0.640848, Len:  5, Fitness_tra: 0
Rule 42: 31222, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: a4000, Class:  1, CF:  1, Len:  2, Fitness_tra: 1
Rule 44: 91c71, Class:  1, CF:0.94508, Len:  5, Fitness_tra: 0
Rule 45: 51217, Class:  2, CF:0.452163, Len:  5, Fitness_tra: 0
Rule 46: 34412, Class:  1, CF:0.370901, Len:  5, Fitness_tra: 0
Rule 47: 892bb, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 48: 92cb1, Class:  1, CF:0.985733, Len:  5, Fitness_tra: 0
Rule 49: 51447, Class:  2, CF:0.926177, Len:  5, Fitness_tra: 0
Rule 50: 127b4, Class:  2, CF:0.416835, Len:  5, Fitness_tra: 0
Rule 51: 51214, Class:  2, CF:0.580718, Len:  5, Fitness_tra: 0
Rule 52: 11124, Class:  2, CF:0.94502, Len:  5, Fitness_tra: 0
Rule 53: 1c422, Class:  0, CF:0.361482, Len:  5, Fitness_tra: 0
Rule 54: 91422, Class:  2, CF:0.983784, Len:  5, Fitness_tra: 0
Rule 55: 98c24, Class:  1, CF:0.970754, Len:  5, Fitness_tra: 0
Rule 56: dc417, Class:  0, CF:0.869536, Len:  5, Fitness_tra: 0
Rule 57: d5c42, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 58: d2241, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 00000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: e5122, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 61: 91cb7, Class:  1, CF:0.790081, Len:  5, Fitness_tra: 0
Rule 62: 00000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 9d222, Class:  1, CF:0.996493, Len:  5, Fitness_tra: 0
Rule 64: 51414, Class:  2, CF:0.580718, Len:  5, Fitness_tra: 0
Rule 65: c3111, Class:  0, CF:0.185479, Len:  5, Fitness_tra: 0
Rule 66: 95c24, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 67: 35c41, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 68: 04000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 12211, Class:  1, CF:0.775226, Len:  5, Fitness_tra: 1
Rule 70: 1c12b, Class:  0, CF:0.773547, Len:  5, Fitness_tra: 0
Rule 71: 12277, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 00000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 00500, Class:  1, CF:  1, Len:  1, Fitness_tra: 1
Rule 74: 13527, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: d0000, Class:  2, CF:0.162746, Len:  1, Fitness_tra: 0
Rule 76: 212bb, Class:  2, CF:0.764842, Len:  5, Fitness_tra: 0
Rule 77: 03000, Class:  2, CF:0.390229, Len:  1, Fitness_tra: -72
Rule 78: 92121, Class:  2, CF:0.487482, Len:  5, Fitness_tra: 0
Rule 79: d8427, Class:  0, CF:0.596123, Len:  5, Fitness_tra: 0
Rule 80: 13142, Class:  2, CF:0.975876, Len:  5, Fitness_tra: 0
Rule 81: 21174, Class:  2, CF:0.956615, Len:  5, Fitness_tra: 2
Rule 82: 5112b, Class:  2, CF:0.96829, Len:  5, Fitness_tra: 0
Rule 83: dd274, Class:  1, CF:0.408498, Len:  5, Fitness_tra: 0
Rule 84: 00000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 11747, Class:  2, CF:0.730769, Len:  5, Fitness_tra: 0
Rule 86: 34211, Class:  1, CF:0.908414, Len:  5, Fitness_tra: 0
Rule 87: 1c12b, Class:  0, CF:0.773547, Len:  5, Fitness_tra: 0
Rule 88: e1211, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 00000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 52444, Class:  2, CF:0.785275, Len:  5, Fitness_tra: 0
Rule 91: 58c12, Class:  1, CF:0.951922, Len:  5, Fitness_tra: 0
Rule 92: 52742, Class:  2, CF:0.90994, Len:  5, Fitness_tra: 0
Rule 93: 32444, Class:  1, CF:0.704473, Len:  5, Fitness_tra: 0
Rule 94: 11171, Class:  2, CF:0.457379, Len:  5, Fitness_tra: 0
Rule 95: 13111, Class:  0, CF:0.0149039, Len:  5, Fitness_tra: 0
Rule 96: 952b2, Class:  1, CF:0.998481, Len:  5, Fitness_tra: 0
Rule 97: 81412, Class:  2, CF:0.652189, Len:  5, Fitness_tra: 0
Rule 98: 11111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 00500, Class:  1, CF:  1, Len:  1, Fitness_tra: 0
Rule100: 15c74, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
------Current------
Miss_rate(tra)	:69.7674
------Result------
Miss_rate(tra)	:69.7674
Miss_rate(tst)	:69.7674
ARL				:4.64198

------Generation 0------
Rule  1: 18411, Class:  1, CF:0.868466, Len:  5, Fitness_tra: 8
Rule  2: 05c00, Class:  1, CF:  1, Len:  2, Fitness_tra: 7
Rule  3: 231b2, Class:  2, CF:0.982954, Len:  5, Fitness_tra: 0
Rule  4: 21174, Class:  2, CF:0.956615, Len:  5, Fitness_tra: 5
Rule  5: e11b1, Class:  2, CF:0.958954, Len:  5, Fitness_tra: 5
Rule  6: 62411, Class:  1, CF:0.999165, Len:  5, Fitness_tra: 1
Rule  7: a4000, Class:  1, CF:  1, Len:  2, Fitness_tra: 1
Rule  8: 12211, Class:  1, CF:0.775226, Len:  5, Fitness_tra: -4
Rule  9: 00500, Class:  1, CF:  1, Len:  1, Fitness_tra: 1
Rule 10: 13c2b, Class:  0, CF:0.962908, Len:  5, Fitness_tra: 0
Rule 11: d1227, Class:  2, CF:0.896521, Len:  5, Fitness_tra: 0
Rule 12: 18112, Class:  1, CF:0.141243, Len:  5, Fitness_tra: 0
Rule 13: 51274, Class:  2, CF:0.945338, Len:  5, Fitness_tra: 0
Rule 14: d2144, Class:  2, CF:0.883912, Len:  5, Fitness_tra: 0
Rule 15: 1c141, Class:  0, CF:0.242335, Len:  5, Fitness_tra: 0
Rule 16: 52174, Class:  2, CF:0.883981, Len:  5, Fitness_tra: 0
Rule 17: 1c122, Class:  0, CF:0.576504, Len:  5, Fitness_tra: 0
Rule 18: 15c74, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 19: 09500, Class:  1, CF:  1, Len:  2, Fitness_tra: 0
Rule 20: d224b, Class:  2, CF:0.419818, Len:  5, Fitness_tra: 0
Rule 21: 11577, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 22: 00000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 31447, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 00000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 04700, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 35c4b, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
