------Generation 0------
Rule  1: e8414, Class:  1, CF:0.486703, Len:  5, Fitness_tra: 0
Rule  2: 58247, Class:  0, CF:0.491681, Len:  5, Fitness_tra: 0
Rule  3: 00000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: d8277, Class:  0, CF:0.758347, Len:  5, Fitness_tra: 0
Rule  5: 00000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 11272, Class:  2, CF:0.902461, Len:  5, Fitness_tra: 0
Rule  7: 51172, Class:  2, CF:0.98605, Len:  5, Fitness_tra: 0
Rule  8: 55212, Class:  1, CF:0.779485, Len:  5, Fitness_tra: 0
Rule  9: 95414, Class:  1, CF:0.989322, Len:  5, Fitness_tra: 0
Rule 10: 5d112, Class:  1, CF:0.448354, Len:  5, Fitness_tra: 0
Rule 11: 21111, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 98122, Class:  0, CF:0.318972, Len:  5, Fitness_tra: 0
Rule 13: 04708, Class:  2, CF:  1, Len:  3, Fitness_tra: 1
Rule 14: d12b1, Class:  2, CF:0.501604, Len:  5, Fitness_tra: 0
Rule 15: 2114b, Class:  2, CF:0.929885, Len:  5, Fitness_tra: 2
Rule 16: 3c7b1, Class:  1, CF:0.770435, Len:  5, Fitness_tra: 0
Rule 17: 111bb, Class:  2, CF:0.69035, Len:  5, Fitness_tra: 0
Rule 18: 5c244, Class:  0, CF:0.653628, Len:  5, Fitness_tra: 0
Rule 19: 51117, Class:  2, CF:0.727515, Len:  5, Fitness_tra: 5
Rule 20: d2117, Class:  0, CF:0.0501403, Len:  5, Fitness_tra: 0
Rule 21: 11722, Class:  2, CF:0.93474, Len:  5, Fitness_tra: 0
Rule 22: 17b22, Class:  2, CF:0.862775, Len:  5, Fitness_tra: 0
Rule 23: 52444, Class:  2, CF:0.832494, Len:  5, Fitness_tra: 0
Rule 24: 31241, Class:  1, CF:0.758839, Len:  5, Fitness_tra: 0
Rule 25: 9c141, Class:  0, CF:0.318326, Len:  5, Fitness_tra: 0
Rule 26: 1e242, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 27: 582b1, Class:  1, CF:0.321554, Len:  5, Fitness_tra: 0
Rule 28: 21172, Class:  2, CF:0.971402, Len:  5, Fitness_tra: 3
Rule 29: 51121, Class:  2, CF:0.943262, Len:  5, Fitness_tra: 1
Rule 30: d0000, Class:  2, CF:0.166086, Len:  1, Fitness_tra: -74
Rule 31: 15141, Class:  1, CF:0.968815, Len:  5, Fitness_tra: 0
Rule 32: 18cb7, Class:  1, CF:0.96428, Len:  5, Fitness_tra: 0
Rule 33: 37411, Class:  1, CF:0.410536, Len:  5, Fitness_tra: -3
Rule 34: 00000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 38111, Class:  1, CF:0.969373, Len:  5, Fitness_tra: 6
Rule 36: 21521, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 37: 2151b, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
