------Generation 0------
Rule  1: dc444, Class:  0, CF:0.941444, Len:  5, Fitness_tra: 0
Rule  2: 92c41, Class:  1, CF:0.985733, Len:  5, Fitness_tra: 0
Rule  3: 13211, Class:  0, CF:0.214225, Len:  5, Fitness_tra: 0
Rule  4: 222b1, Class:  1, CF:0.174271, Len:  5, Fitness_tra: 0
Rule  5: 00000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 18721, Class:  1, CF:0.681239, Len:  5, Fitness_tra: 0
Rule  7: 17712, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 00000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 00000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 15c74, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 11: 00500, Class:  1, CF:  1, Len:  1, Fitness_tra: 6
Rule 12: 3d247, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 13: 15272, Class:  1, CF:0.992517, Len:  5, Fitness_tra: 0
Rule 14: 22122, Class:  2, CF:0.902927, Len:  5, Fitness_tra: 0
Rule 15: 517b4, Class:  2, CF:0.918341, Len:  5, Fitness_tra: 0
Rule 16: a3000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 38172, Class:  1, CF:0.915786, Len:  5, Fitness_tra: 0
Rule 18: 12741, Class:  1, CF:0.188627, Len:  5, Fitness_tra: 0
Rule 19: 11227, Class:  2, CF:0.815677, Len:  5, Fitness_tra: 0
Rule 20: 92227, Class:  2, CF:0.4773, Len:  5, Fitness_tra: 0
Rule 21: 12247, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 00000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 31424, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 9817b, Class:  1, CF:0.20795, Len:  5, Fitness_tra: 0
Rule 25: 11117, Class:  2, CF:0.282734, Len:  5, Fitness_tra: -2
Rule 26: 55127, Class:  1, CF:0.899257, Len:  5, Fitness_tra: 0
Rule 27: 512b2, Class:  2, CF:0.957219, Len:  5, Fitness_tra: 0
Rule 28: 1117b, Class:  2, CF:0.79512, Len:  5, Fitness_tra: 0
Rule 29: 95cbb, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 30: 92414, Class:  1, CF:0.00966897, Len:  5, Fitness_tra: 0
Rule 31: 11211, Class:  1, CF:0.208342, Len:  5, Fitness_tra: 0
