<CommandLineArguments>
ImbalancedDataset_FGBML.exe page-blocks 1 FGBML_SMOTE 20 20 5 n 
<HyperParameter>
NUM_MEMBERSHIP_FUNC = 15
POPULATION_SIZE = 100
NUM_ITERATION = 5000
PROB_CROSSOVER = 0.900000
PER_REPLACEMENT = 20
SEED = 1234
INTERVAL_GRAPH = 100
IS_SELECT_PARENTS_ONLY_FROM_WINNER_RULE = 0
NUM_TRIAL = 20

<RUNNING_SECOND>
30457 [s]

<Evaluation>
PER MISS TRA:32.0376
PER MISS TST:35.2834
LEN OF RULE:7.27273
Confusion Matrix tra:
13314, 158, 1450, 2, 665
175, 23, 5, 0, 1
15, 0, 7, 0, 0
3, 0, 2, 1, 0
77, 0, 0, 0, 13
Confusion Matrix tst:
671, 14, 63, 0, 208
6, 13, 22, 0, 6
2, 0, 3, 0, 1
1, 0, 1, 1, 3
1, 0, 0, 0, 20

<BestRules> [att, class, weight]
b211a01144, 4, 0.987711
0000b9000b, 0, 0.605540
7421686110, 4, 0.952766
b170021582, 2, 1.000000
0221d81742, 2, 0.988434
72119e1244, 2, 0.996055
3211de1742, 2, 0.878783
07100100d7, 2, 1.000000
0844504300, 1, 0.987458
4421af1424, 4, 1.000000
000008b0e1, 2, 1.000000
b4b16f112b, 4, 0.999826
0080500000, 2, 1.000000
b721af14b4, 4, 0.999999
b4216f142b, 4, 0.999999
0844202000, 1, 0.831347
b141227428, 2, 0.995492
5010f01000, 3, 1.000000
0010f01c02, 4, 1.000000
2621331147, 4, 0.988292
005039000b, 4, 0.999909
0841582700, 1, 0.730397

<Prediction> [generation][index_pattern]
Training:
