------Generation 0------
Rule  1: c2123447b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 000500000, Class:  4, CF:0.0559772, Len:  1, Fitness_tra: 0
Rule  6: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 83b512812, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 0000000d0, Class:  4, CF:0.472471, Len:  1, Fitness_tra: 0
Rule  9: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 1c6891827, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 000000d00, Class:  4, CF:0.303825, Len:  1, Fitness_tra: 0
Rule 12: 0003b0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: d00000d00, Class:  1, CF:0.573997, Len:  2, Fitness_tra: 3
Rule 17: 000700000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: d00000d00, Class:  1, CF:0.573997, Len:  2, Fitness_tra: 0
Rule 19: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 500000000, Class:  1, CF:0.438861, Len:  1, Fitness_tra: -3
Rule 21: c1193b1c7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: c51d511d1, Class:  6, CF:  1, Len:  9, Fitness_tra: 0
Rule 23: 1538d1c71, Class:  6, CF:  1, Len:  9, Fitness_tra: 0
Rule 24: 000d00000, Class:  6, CF:0.372991, Len:  1, Fitness_tra: -4
Rule 25: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
