------Generation 0------
Rule  1: c13211cb1, Class:  6, CF:  1, Len:  9, Fitness_tra: 0
Rule  2: 2523171c1, Class:  6, CF:  1, Len:  9, Fitness_tra: 0
Rule  3: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 281152c12, Class:  4, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 000970000, Class:  4, CF:0.100539, Len:  2, Fitness_tra: 0
Rule  7: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 197934211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: c21112247, Class:  2, CF:0.427876, Len:  9, Fitness_tra: -1
Rule 10: 00a000000, Class:  6, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 18e817c22, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 12111b87b, Class:  6, CF:  1, Len:  9, Fitness_tra: 0
Rule 14: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 0c0000000, Class:  5, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 000f000e0, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 817d51251, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 286814541, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: c13111142, Class:  4, CF:0.811984, Len:  9, Fitness_tra: 0
Rule 27: 8c153187b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 000000b50, Class:  6, CF:0.581658, Len:  2, Fitness_tra: 1
Rule 29: d00000d00, Class:  1, CF:0.609416, Len:  2, Fitness_tra: 3
Rule 30: 020000300, Class:  6, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 00d000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 005000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 0d0700000, Class:  6, CF:0.0414796, Len:  2, Fitness_tra: -7
Rule 35: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 000c00000, Class:  4, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 1d1814141, Class:  6, CF:  1, Len:  9, Fitness_tra: 1
Rule 39: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 854111117, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 000c00000, Class:  4, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 11e817c22, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 29b132584, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 1111524b2, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: d00000d00, Class:  1, CF:0.609416, Len:  2, Fitness_tra: 0
Rule 49: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 400000000, Class:  4, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 080200000, Class:  6, CF:0.0152495, Len:  2, Fitness_tra: -79
Rule 52: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 1329911c2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 000500000, Class:  6, CF:0.029031, Len:  1, Fitness_tra: -1
Rule 55: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: d00000d00, Class:  1, CF:0.609416, Len:  2, Fitness_tra: 0
Rule 59: 00a000000, Class:  6, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 400d00400, Class:  6, CF:0.377503, Len:  3, Fitness_tra: 9
Rule 61: 500000000, Class:  1, CF:0.423485, Len:  1, Fitness_tra: 0
Rule 62: d00000000, Class:  1, CF:0.1747, Len:  1, Fitness_tra: 0
Rule 63: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 090000000, Class:  5, CF:0.841551, Len:  1, Fitness_tra: 0
Rule 69: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 5de184221, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 002000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 005040000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 18e551517, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 15319214b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 00a000000, Class:  6, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 000c00000, Class:  4, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 000080000, Class:  6, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 85159b524, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 500000000, Class:  1, CF:0.423485, Len:  1, Fitness_tra: 0
Rule 81: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: c295d7144, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 500000000, Class:  1, CF:0.423485, Len:  1, Fitness_tra: 0
Rule 87: 300000000, Class:  6, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 5168d1222, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 52122182c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 2ce292841, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: c531541b2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
