------Generation 0------
Rule  1: 18615b8bb, Class:  6, CF:  1, Len:  9, Fitness_tra: 0
Rule  2: 0c0000070, Class:  6, CF:0.840416, Len:  2, Fitness_tra: 10
Rule  3: 851314c11, Class:  6, CF:0.559094, Len:  9, Fitness_tra: -4
Rule  4: 85311b241, Class:  6, CF:  1, Len:  9, Fitness_tra: 0
Rule  5: 226c5717b, Class:  6, CF:  1, Len:  9, Fitness_tra: 0
Rule  6: 000000000, Class:  6, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 000000000, Class:  6, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 00d000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 000000000, Class:  6, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 000000000, Class:  6, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 005040000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 000000000, Class:  6, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 45e254c17, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 00d000d00, Class:  1, CF:  1, Len:  2, Fitness_tra: 1
Rule 15: 000000000, Class:  6, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 000000000, Class:  6, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 00a000000, Class:  6, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 000000005, Class:  4, CF:0.327314, Len:  1, Fitness_tra: -4
Rule 19: c1151b214, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 000400000, Class:  6, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 000000000, Class:  6, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 00000c000, Class:  6, CF:0.644168, Len:  1, Fitness_tra: 1
Rule 23: 000000000, Class:  6, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 000000000, Class:  6, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 000000000, Class:  6, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 121897c74, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 000000000, Class:  6, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 020000305, Class:  4, CF:  0, Len:  0, Fitness_tra: 0
