------Generation 0------
Rule  1: 2111d2171, Class:  6, CF:0.593928, Len:  9, Fitness_tra: -3
Rule  2: 00a000000, Class:  6, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 8161db871, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 030000000, Class:  4, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 82e15211b, Class:  2, CF:  1, Len:  9, Fitness_tra: 0
Rule  6: 894d32cd7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 1c1852817, Class:  4, CF:0.491061, Len:  9, Fitness_tra: 1
Rule  9: 0c0000000, Class:  5, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: d00000d05, Class:  1, CF:  1, Len:  3, Fitness_tra: 1
Rule 11: bc0a26770, Class:  2, CF:  1, Len:  7, Fitness_tra: 0
Rule 12: 0d0700000, Class:  5, CF:0.0177353, Len:  2, Fitness_tra: -1
Rule 13: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: c898145b1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 400000400, Class:  4, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 853c52114, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: c8e21b842, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 090000000, Class:  5, CF:0.841551, Len:  1, Fitness_tra: 0
Rule 23: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 000000400, Class:  5, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 00a000000, Class:  6, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 8865d282b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 82321127b, Class:  1, CF:  1, Len:  9, Fitness_tra: 0
Rule 28: 257e142c1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 009000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 15111b2c1, Class:  6, CF:  1, Len:  9, Fitness_tra: 0
Rule 32: 29b334c1b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 000c00000, Class:  4, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 817552211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 12981b1b1, Class:  6, CF:  1, Len:  9, Fitness_tra: 1
Rule 38: 000f000e0, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: c94917c44, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 181131c24, Class:  1, CF:  1, Len:  9, Fitness_tra: 1
Rule 41: 00a000000, Class:  6, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 000970000, Class:  4, CF:0.672467, Len:  2, Fitness_tra: -3
Rule 46: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 5111175b2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 005000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 440000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 0c00e0000, Class:  5, CF:0.827798, Len:  2, Fitness_tra: 0
Rule 51: 040cf8000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 000000400, Class:  5, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 23b55b817, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: bc0a7f000, Class:  2, CF:0.44539, Len:  5, Fitness_tra: -8
Rule 58: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 006000000, Class:  6, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: e00000000, Class:  1, CF:  1, Len:  1, Fitness_tra: 2
Rule 66: 214992511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: c565db171, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 000400000, Class:  6, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 090000000, Class:  5, CF:0.841551, Len:  1, Fitness_tra: 0
Rule 70: 000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
