------Generation 0------
Rule  1: e3122734, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: eec2b412, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 5121135c, Class:  1, CF:0.526297, Len:  8, Fitness_tra: 292
Rule  4: d1527412, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 15c824e2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 15271be8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 515212e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 113cb1ec, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 1818b791, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 5d112234, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 2182b715, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: e3112198, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 8d21273c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 151174e2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 33412719, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 9d1147ec, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 39124b11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 9322429c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 2581b411, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 9181b718, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 3e211b54, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 1321721c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 11217b1c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 5141b131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 5d551111, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule 28: e3111291, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 855cb19c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 9982bbe4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 81217b11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 81214718, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 3318223c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 1c14713c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 652c77e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 114cb732, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 334227ec, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 851d2b3c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: e18c7112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 5152241c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 33717418, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 82544431, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 61427be2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 1e42b23c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 1e8cb25c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: eec14795, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: c8527bec, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: dd81b211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: d511143c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 35cc2431, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 1d81bb92, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 51122b95, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 5512423c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 1e827b1c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: e341271c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 1e18129c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: c152b191, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 1e121b11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 31814498, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 118812e4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 99212718, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 18814b9c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 311c4b51, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 15cc17e2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: dd122118, Class:  0, CF:  1, Len:  8, Fitness_tra: 1
Rule 66: 11214132, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 151c4b1c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 8d412b3c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: e3252be1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 2118b491, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: e52242ec, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 3e287b1c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 59121752, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 31817be4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 22121b51, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 1e81b734, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 1512461c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 5ecc121c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 998c175c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 55884b18, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 39884bec, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: e18c1b51, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 33184754, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 52114418, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 18114b18, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 33182412, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 591c7731, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 11ccb491, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: e182bb5c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 914442ec, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 91b8425c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 11512251, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 1214411c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 931c27e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 31254114, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 1211b79c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 852c7118, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 19211498, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 35c2b711, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:99.4988
------Result------
Miss_rate(tra)	:99.4988
Miss_rate(tst)	:98.6486
ARL				:4

------Generation 0------
Rule  1: 5121135c, Class:  1, CF:0.526297, Len:  8, Fitness_tra: 292
Rule  2: dd122118, Class:  0, CF:  1, Len:  8, Fitness_tra: 1
Rule  3: e3122734, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: d1527412, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 15c824e2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 15271be8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 515212e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 113cb1ec, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 1818b791, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 5d112234, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 2182b715, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
