------Generation 0------
Rule  1: 5d5147ec, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: e9117432, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 19112712, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 11117798, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 11222711, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 95121412, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 1558b791, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 51544be2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 19481498, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 1d247112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 59214b51, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 19117258, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 15174291, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 9112213c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 13114711, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: e11c479c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 1351b411, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 9911bbd2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 1e254b3c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 3e21b43c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 12c24132, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 18c11231, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 315177e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: c51c71e2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: e3114be5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 9e184195, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 9e251be1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 99127b92, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 532247ec, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 151c2218, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 13c24418, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 332cbb92, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: e5112718, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 251c2112, Class:  0, CF:  1, Len:  8, Fitness_tra: 1
Rule 35: 1215721c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: e18827e4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 25c1223c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: e11842e8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 11d24432, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 55217b92, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 6e111291, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 15524b9c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 39c1b7dc, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 39cc1468, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 591174e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: e122f792, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 312c2731, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 11122711, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 192e4b11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 18221712, Class:  0, CF:  1, Len:  8, Fitness_tra: 1
Rule 51: e1c1bb18, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 151d7112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 6ec2b412, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 5282141c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 1128b764, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: e9127b38, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
