------Generation 0------
Rule  1: 000000000d0000000000000000000000000005090000, Class:  1, CF:0.286718, Len:  3, Fitness_tra: 0
Rule  2: 00000000000000600000000060000a00006a00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 000500000000000000000e0000000000000000000000, Class:  1, CF:0.416043, Len:  2, Fitness_tra: 0
Rule  4: 111131e111611119331311119111113e19e1e13163e3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 13111531313611511151e31155351111131111911511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 00000000000000000000000000000000000000000000, Class:  1, CF:0.585062, Len:  0, Fitness_tra: 133
Rule  7: 1311111111311111631119e151111113111111e11515, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 13111113313311113311131111311311111613111111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 11111119111311113111111122115113111111312111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 0a000000600090000e00000000000000000000009550, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 000000000000000000000905050d0000000000600505, Class:  1, CF:  1, Len:  7, Fitness_tra: 0
Rule 12: 11131511131a11153151111511113113551311115522, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 0000000000000000000000000000000000e000000000, Class:  1, CF:0.549283, Len:  1, Fitness_tra: 0
Rule 14: 00000000000000000000000000000000000000000000, Class:  1, CF:0.585062, Len:  0, Fitness_tra: 0
Rule 15: 00000000000000009000000000000000000000000000, Class:  1, CF:0.565449, Len:  1, Fitness_tra: 0
Rule 16: 00000000000000000000000000000a00000000000000, Class:  1, CF:  1, Len:  1, Fitness_tra: 1
Rule 17: 3199e961f11ae1111111339131196361136611111911, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 000000000000a0000000000000000000000000000000, Class:  1, CF:  1, Len:  1, Fitness_tra: 3
Rule 19: 00000e0000000000000000000000000000000000000f, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 1919313e11163193631931955531313113e333113111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 00d00000000000000000000000000000000000000000, Class:  1, CF:0.510313, Len:  1, Fitness_tra: 0
Rule 22: 000d0d00000000e0000000050060000050e000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 00000000000000000000a0000000000a000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 0000000000000000a000000000000900050000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 00000000000000000000000000000000000000000000, Class:  1, CF:0.585062, Len:  0, Fitness_tra: 0
Rule 26: 0000000005000000000900000000000000000e000909, Class:  0, CF:0.0660152, Len:  5, Fitness_tra: 0
Rule 27: 000000000e000000000e000000006000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 550500000909000000000000000000e00000d5000000, Class:  1, CF:0.290469, Len:  8, Fitness_tra: 0
Rule 29: 11111511111113111111111351111111111111211111, Class:  1, CF:  1, Len: 44, Fitness_tra: 0
Rule 30: 000d0000000005e00000000000000909000000090000, Class:  0, CF:0.00267529, Len:  6, Fitness_tra: 0
Rule 31: 00000000000000000000000000000090000000f00060, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
