------Generation 0------
Rule  1: 6000000000000000000500000000000000000000f000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 00000000000000000000000000000000000000000000, Class:  1, CF:0.591667, Len:  0, Fitness_tra: 134
Rule  3: 11111511121133511211911511112211111111121111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 1313193663f1111131111139e361e613116193391111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 000000000000005000000000000000000000000a0000, Class:  1, CF:  1, Len:  2, Fitness_tra: 0
Rule  6: 00000000000f00000000000000000e00009000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 600000000000000000d0000000006000000000000000, Class:  1, CF:  1, Len:  3, Fitness_tra: 0
Rule  8: 00600000000000009000000000000000000000000000, Class:  1, CF:  1, Len:  2, Fitness_tra: 0
Rule  9: 1111111111e111111151111111115111111119511111, Class:  1, CF:  1, Len: 44, Fitness_tra: 0
Rule 10: 000000000d0000000000000000000000000005090000, Class:  1, CF:0.30948, Len:  3, Fitness_tra: 0
Rule 11: 00000000000000000000000000000000000000000000, Class:  1, CF:0.591667, Len:  0, Fitness_tra: 0
Rule 12: 00000000000000000000000000000000000009000000, Class:  1, CF:0.511986, Len:  1, Fitness_tra: 0
Rule 13: 955005e0a0000000000000000000000050a0000000e0, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 60e000006e0a0000000000000d0000000000000000d5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 0a0000050f0000000000050dfa00000060f000090000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 1111111111311511111e331511311136111113111151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 00900000000e000000000000a0a60009000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: e3111911116131e1a13611939911e133116311131111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 11111111111311116311111111311311111111131111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 00500000000000000000000000000000050000000000, Class:  1, CF:0.432256, Len:  2, Fitness_tra: 0
Rule 21: 000000000900009ee009000000000060e00000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 00000000000000000000000000050000000000000000, Class:  1, CF:0.529817, Len:  1, Fitness_tra: 0
Rule 23: e0090000a00000000050000000900e0000ee000e0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: e359513616311333311339139319116a3e31931119d3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 000000090f000000000a000000000000600000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 11919131113311131e1111151d131113113111339111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 00000000000000000000000000000000000000000000, Class:  1, CF:0.591667, Len:  0, Fitness_tra: 0
Rule 28: 0000000000000f00000500000000000000000d090000, Class:  1, CF:  1, Len:  4, Fitness_tra: 0
