------Generation 0------
Rule  1: 000000090f000000000a00000000000060f000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 13311111111a11111319115112913111191111111511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 00000000000000000000000000000000050000000000, Class:  1, CF:0.507335, Len:  1, Fitness_tra: 0
Rule  4: 11131111311111211183111111111193111113111111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 00000000000000000000000000000000000000000000, Class:  1, CF:0.591667, Len:  0, Fitness_tra: 140
Rule  6: 00800000000000000000000000000000000000000000, Class:  1, CF:0.582611, Len:  1, Fitness_tra: 0
Rule  7: 13311111913111111511311121111113111111511142, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 00000000000000000000000000000000000009000000, Class:  1, CF:0.480505, Len:  1, Fitness_tra: 0
Rule  9: 9e111d3113339111333331111511113311a311e13133, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: e000006000000000f600006000000909500000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 1111e11331111131331e111515333133911313135521, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 0000000000000000000000a000000000000000000000, Class:  1, CF:  1, Len:  1, Fitness_tra: 2
Rule 13: 000000000e0000590090000000900000550000006000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 11111111113111511553119111311113311191111111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 60e000006e0f0000000000000d0000000000000000d5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 6000000000000000000500000000000000000000f000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 1393151339333911313135311515113e351313313111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 0000000000000000000000000fa6000e050000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 36331516f116111e3331133951931e115e1333131151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 0000000000000000000000500000000000f000a00500, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 500e0060000000000000000000000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 133133311113e1131e1311e531e51133136616163913, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 31315513f13ae1111e1e1195131531631113333e11d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 0000000000000000000e060ee000000050000000e050, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 0000000005000e050000a0000000000e050000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 19131d1ee1f619511915e19111911131313111311111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 000000000000000000e000000f6e000e050005000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 9131911111111133361939319511363e536633e39311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 11311511136111113313331111913113193111135111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 331335e33363e11366311113991116615e11316161e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 00000000000000000000000000000000000000f00060, Class:  1, CF:  1, Len:  2, Fitness_tra: 0
Rule 32: 33111211313111111151111121311111111113111121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 139119136131133116e11111153311611e36331e1159, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 0000500ef0000000a600000000000900000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 111111111131315111111e3113311113118811111153, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: e11113113113311333e3113113391111913191e11113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 000000000000d000000a000000000050d00f00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 31111113111111131353339991313636391153135911, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
