------Generation 0------
Rule  1: 19f19dd915821, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 0000000089000, Class:  0, CF:0.999474, Len:  2, Fitness_tra: 91
Rule  3: b53351891d121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 1332328551121, Class:  0, CF:0.998374, Len: 13, Fitness_tra: 0
Rule  5: a162916112815, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule  6: a9b21552d1518, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 11a21d132d11e, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule  8: 142d295851d99, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: b1a55515539d4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: b4b551325c922, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 4441191228153, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 2da115818521e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 61f1e54531d51, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 17b1111235111, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 15: 156411852591d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 71a1218d855cd, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: b4bdd2dc15195, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: f16b863121211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 12414815e1911, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: feb15d9919558, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: a375551951228, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 17bdd95115151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 6e71118291321, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: b5132d3153e22, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
